Datum;Uhrzeit;Bezeichnung;Intervall;D111Z;D111B;V112_AnfZ;V112_AnfB;D21Z;D21B;D22Z;D22B;V23_AnfZ;V23_AnfB;V24_AnfZ;V24_AnfB;D51Z;D51B;V52_AnfZ;V52_AnfB;V53_AnfZ;V53_AnfB;D81Z;D81B;D82Z;D82B;V83_AnfZ;V83_AnfB;V84_AnfZ;V84_AnfB;D85Z;D85B;TF32_AnfZ;TF32_AnfB;TBS32_AnfZ;TBS32_AnfB;TF35_AnfZ;TF35_AnfB;TBS35_AnfZ;TBS35_AnfB;TF38_AnfZ;TF38_AnfB;TF41_AnfZ;TF41_AnfB;TF32a_AnfZ;TF32a_AnfB;TBS32a_AnfZ;TBS32a_AnfB;TF35a_AnfZ;TF35a_AnfB;TBS35a_AnfZ;TBS35a_AnfB;TF38a_AnfZ;TF38a_AnfB;TF41a_AnfZ;TF41a_AnfB
19.08.2024;09:22;A126;1;1;56;1;5;0;100;0;0;1;2;0;0;1;1;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:21;A126;1;2;0;2;7;0;100;0;0;2;70;0;0;0;14;0;0;1;2;1;12;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:20;A126;1;2;38;0;37;0;100;0;2;3;11;0;0;1;3;1;5;0;0;2;32;0;0;2;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:19;A126;1;2;13;2;17;0;100;2;43;2;8;2;10;2;24;2;23;1;6;1;0;2;14;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:18;A126;1;1;0;2;4;0;100;0;0;2;51;0;0;2;2;2;12;3;3;1;2;2;17;1;5;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:17;A126;1;0;0;0;0;0;100;0;4;3;41;0;0;3;2;1;4;1;4;2;5;1;2;2;11;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:16;A126;1;2;20;2;7;0;100;2;28;3;40;2;8;1;24;1;6;1;2;4;33;0;29;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:15;A126;1;1;1;0;0;0;100;2;11;0;25;1;14;1;2;0;0;0;0;1;16;1;21;3;22;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:14;A126;1;1;25;2;5;0;100;1;9;1;58;1;14;1;0;0;0;0;0;3;5;1;4;2;11;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:13;A126;1;0;0;0;0;0;100;2;2;1;74;3;9;1;22;3;5;1;2;2;5;3;42;0;21;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:12;A126;1;2;18;5;24;0;100;1;0;2;31;0;0;1;27;1;5;1;2;4;7;1;36;4;37;1;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:11;A126;1;1;19;1;4;0;100;2;4;1;55;1;15;0;0;0;0;0;0;1;1;2;2;1;4;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:10;A126;1;0;0;0;0;0;100;1;0;3;10;1;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:09;A126;1;0;0;0;0;0;100;4;2;3;30;1;3;2;57;2;8;1;2;5;10;4;37;3;22;2;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:08;A126;1;1;20;1;3;0;100;1;1;1;6;1;6;2;2;1;4;1;1;4;5;2;11;4;16;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:07;A126;1;2;3;1;9;0;100;3;25;0;55;3;19;0;11;0;11;2;7;0;0;0;0;1;0;1;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:06;A126;1;1;25;0;26;0;100;3;15;3;35;1;6;1;30;1;36;1;1;3;48;1;1;1;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:05;A126;1;2;45;4;29;0;100;0;0;1;3;0;0;1;15;1;6;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:04;A126;1;2;5;2;10;0;100;0;0;1;3;0;0;5;30;2;31;7;12;1;41;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:03;A126;1;2;51;2;39;0;100;0;7;3;14;0;0;1;39;2;38;1;2;5;19;2;3;2;31;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:02;A126;1;0;0;0;0;0;100;1;26;0;0;1;6;0;0;0;0;0;0;5;8;4;26;5;60;4;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
19.08.2024;09:01;A126;1;2;21;2;9;0;100;1;26;0;40;1;8;2;2;2;8;2;2;2;38;2;37;0;0;4;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
19.08.2024;09:00;A126;1;2;29;2;7;0;100;2;0;3;29;1;1;2;23;1;33;2;4;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
19.08.2024;08:59;A126;1;3;25;4;16;0;100;0;0;3;6;0;0;2;45;3;47;3;5;4;29;1;6;2;5;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:58;A126;1;4;25;3;15;0;100;0;0;1;4;0;0;2;13;2;16;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:57;A126;1;1;16;1;6;0;100;0;0;2;36;0;0;0;18;0;0;1;3;3;7;2;9;5;14;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:56;A126;1;3;33;1;35;0;100;1;4;4;12;1;4;2;54;1;5;1;2;7;32;2;8;5;49;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:55;A126;1;0;17;1;4;0;100;1;5;1;44;3;10;2;36;2;45;1;2;5;32;6;47;1;45;2;72;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
