Datum;Uhrzeit;Bezeichnung;Intervall;D1Z;D1B;D2Z;D2B;FG35HZ;FG35HB;FG35WZ;FG35WB;TS_SchluesselschalterZ;TS_SchluesselschalterB;TS_WarteZ;TS_WarteB;TS_BrandmeldungZ;TS_BrandmeldungB;D3Z;D3B
19.08.2024;09:24;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;6;6
19.08.2024;09:23;A102;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
19.08.2024;09:22;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3
19.08.2024;09:21;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;7;12
19.08.2024;09:20;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;9
19.08.2024;09:19;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;11;13
19.08.2024;09:18;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3
19.08.2024;09:17;A102;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3
19.08.2024;09:16;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;11;12
19.08.2024;09:15;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;7;10
19.08.2024;09:14;A102;1;6;7;0;0;0;0;0;0;0;0;0;0;0;0;8;9
19.08.2024;09:13;A102;1;4;7;0;0;0;0;0;0;0;0;0;0;0;0;8;8
19.08.2024;09:12;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;5
19.08.2024;09:11;A102;1;4;11;0;0;0;0;0;0;0;0;0;0;0;0;3;3
19.08.2024;09:10;A102;1;2;8;0;0;0;0;0;0;0;0;0;0;0;0;4;6
19.08.2024;09:09;A102;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;7;9
19.08.2024;09:08;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
19.08.2024;09:07;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;11;11
19.08.2024;09:06;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;7;6
19.08.2024;09:05;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3
19.08.2024;09:04;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;9
19.08.2024;09:03;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;6
19.08.2024;09:02;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;8;8
19.08.2024;09:01;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3
19.08.2024;09:00;A102;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;5;5
19.08.2024;08:59;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;8;11
19.08.2024;08:58;A102;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;6;7
19.08.2024;08:57;A102;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;8;10
19.08.2024;08:56;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;5
19.08.2024;08:55;A102;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;9;9
19.08.2024;08:54;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;11;13
19.08.2024;08:53;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3
19.08.2024;08:52;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;5;4
19.08.2024;08:51;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;4;4
19.08.2024;08:50;A102;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;5;5
19.08.2024;08:49;A102;1;2;25;0;0;0;0;1;1;0;0;0;0;0;0;7;8
19.08.2024;08:48;A102;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2
19.08.2024;08:47;A102;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;5;5
19.08.2024;08:46;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;8
19.08.2024;08:45;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;4
19.08.2024;08:44;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;5
19.08.2024;08:43;A102;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
19.08.2024;08:42;A102;1;1;35;0;0;1;1;0;0;0;0;0;0;0;0;6;9
19.08.2024;08:41;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;6;9
19.08.2024;08:40;A102;1;2;1;0;0;0;0;1;1;0;0;0;0;0;0;11;14
19.08.2024;08:39;A102;1;4;5;1;2;0;0;0;0;0;0;0;0;0;0;5;5
19.08.2024;08:38;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;13
19.08.2024;08:37;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;9
19.08.2024;08:36;A102;1;2;2;0;0;0;0;1;1;0;0;0;0;0;0;7;6
19.08.2024;08:35;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;6
19.08.2024;08:34;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;7;7
19.08.2024;08:33;A102;1;9;15;0;0;0;0;0;0;0;0;0;0;0;0;11;14
19.08.2024;08:32;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;6
19.08.2024;08:31;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6
19.08.2024;08:30;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;13
19.08.2024;08:29;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8
19.08.2024;08:28;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1
19.08.2024;08:27;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;12;15
19.08.2024;08:26;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;7;7
19.08.2024;08:25;A102;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;4;4
19.08.2024;08:24;A102;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;10;11
19.08.2024;08:23;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
19.08.2024;08:22;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;5;8
19.08.2024;08:21;A102;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;7;7
19.08.2024;08:20;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;8
19.08.2024;08:19;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
19.08.2024;08:18;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3
19.08.2024;08:17;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
19.08.2024;08:16;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;6;6
19.08.2024;08:15;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;9;10
19.08.2024;08:14;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;5
19.08.2024;08:13;A102;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;7;8
19.08.2024;08:12;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4
