Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D50Z;D50B;D51Z;D51B;D52Z;D52B;V53Z;V53B;V54Z;V54B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;V85Z;V85B;D110Z;D110B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;V115Z;V115B;T32Z;T32B;T32bZ;T32bB;T35bZ;T35bB;T38Z;T38B;T38bZ;T38bB;T41bZ;T41bB;T35Z;T35B;T41Z;T41B
19.08.2024;09:23;A 17;1;2;1;2;32;0;0;0;0;1;1;0;0;1;64;0;0;1;3;5;17;1;5;2;34;1;8;1;8;0;0;2;84;0;0;2;82;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:22;A 17;1;2;2;2;8;0;0;0;0;1;0;1;1;2;23;1;7;1;3;8;60;2;55;4;81;2;59;1;4;0;0;3;24;1;19;0;29;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:21;A 17;1;6;6;8;48;1;2;0;0;0;0;1;1;0;0;0;0;0;0;11;18;3;9;4;44;1;24;4;27;0;0;1;41;0;0;1;48;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:20;A 17;1;1;0;1;2;0;0;0;0;1;20;2;61;1;0;3;12;0;0;6;40;1;33;2;62;1;35;0;0;0;0;5;69;1;36;0;76;1;36;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:19;A 17;1;0;0;1;68;0;0;0;0;3;3;3;6;0;16;3;13;0;0;8;82;2;13;0;100;1;12;2;6;0;0;3;59;1;4;2;52;1;5;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:18;A 17;1;5;46;1;22;3;4;0;0;0;0;0;0;3;4;0;0;1;3;15;18;0;0;6;65;0;0;0;0;0;0;1;54;0;0;2;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:17;A 17;1;1;0;1;50;0;0;1;13;3;5;3;55;1;54;2;49;2;2;4;47;1;25;1;61;1;27;1;3;0;0;2;56;2;60;1;53;2;7;3;23;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
19.08.2024;09:16;A 17;1;5;2;2;25;0;0;0;0;1;1;1;14;1;33;1;15;1;3;7;63;1;1;1;81;1;2;1;3;0;0;1;40;2;25;1;6;2;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:15;A 17;1;0;0;1;87;0;0;1;36;1;1;1;42;1;59;2;40;1;3;12;21;1;2;3;53;2;7;1;8;0;0;1;59;1;0;1;5;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:14;A 17;1;0;0;2;43;0;0;0;0;2;0;3;61;2;2;0;69;0;0;2;45;1;9;2;63;1;10;1;4;0;0;4;47;2;0;2;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
