Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;TF32Z;TF32B;TB32Z;TB32B;VK1_2StoerZ;VK1_2StoerB
19.08.2024;09:22;A150;1;1;6;1;13;0;0;0;0;0;0
19.08.2024;09:21;A150;1;2;12;1;6;0;0;0;0;0;0
19.08.2024;09:20;A150;1;0;28;2;6;0;0;0;0;0;0
19.08.2024;09:19;A150;1;1;60;1;7;0;0;0;0;0;0
19.08.2024;09:18;A150;1;2;11;3;16;0;0;0;0;0;0
19.08.2024;09:17;A150;1;1;6;0;0;0;0;1;3;0;0
19.08.2024;09:16;A150;1;2;28;1;0;0;0;0;0;0;0
19.08.2024;09:15;A150;1;2;17;3;8;0;0;0;0;0;0
19.08.2024;09:14;A150;1;3;27;1;2;0;0;0;0;0;0
19.08.2024;09:13;A150;1;0;0;3;23;0;0;0;0;0;0
19.08.2024;09:12;A150;1;2;18;2;13;0;0;0;0;0;0
19.08.2024;09:11;A150;1;1;14;3;19;0;0;0;0;0;0
19.08.2024;09:10;A150;1;0;0;1;10;0;0;0;0;0;0
19.08.2024;09:09;A150;1;2;33;2;29;0;0;0;0;0;0
19.08.2024;09:08;A150;1;3;16;1;6;0;0;0;0;0;0
19.08.2024;09:07;A150;1;2;6;3;28;0;0;0;0;0;0
19.08.2024;09:06;A150;1;2;10;3;21;0;0;0;0;0;0
19.08.2024;09:05;A150;1;6;31;3;8;0;0;0;0;0;0
19.08.2024;09:04;A150;1;0;0;2;17;0;0;0;0;0;0
19.08.2024;09:03;A150;1;0;9;1;14;0;0;0;0;0;0
19.08.2024;09:02;A150;1;1;55;2;17;0;0;0;0;0;0
19.08.2024;09:01;A150;1;3;49;2;15;0;0;0;0;0;0
19.08.2024;09:00;A150;1;4;20;2;43;0;0;0;0;0;0
19.08.2024;08:59;A150;1;1;5;3;16;0;0;0;0;0;0
19.08.2024;08:58;A150;1;3;34;5;14;0;0;0;0;0;0
19.08.2024;08:57;A150;1;2;18;1;20;0;0;0;0;0;0
19.08.2024;08:56;A150;1;4;23;1;11;0;0;0;0;0;0
19.08.2024;08:55;A150;1;0;0;0;100;0;0;0;0;0;0
19.08.2024;08:54;A150;1;1;13;1;6;1;1;0;0;0;0
19.08.2024;08:53;A150;1;1;25;2;14;0;0;0;0;0;0
19.08.2024;08:52;A150;1;2;9;1;44;0;0;0;0;0;0
19.08.2024;08:51;A150;1;0;0;3;33;0;0;0;0;0;0
19.08.2024;08:50;A150;1;5;21;1;18;0;0;0;0;0;0
19.08.2024;08:49;A150;1;2;14;3;4;0;0;0;0;0;0
19.08.2024;08:48;A150;1;5;32;0;0;0;0;0;0;0;0
19.08.2024;08:47;A150;1;6;28;1;0;0;0;0;0;0;0
19.08.2024;08:46;A150;1;3;37;1;10;0;0;0;0;0;0
19.08.2024;08:45;A150;1;1;7;4;27;0;0;0;0;0;0
