Datum;Uhrzeit;Bezeichnung;Intervall;D21_1Z;D21_1B;D21_2Z;D21_2B;V22Z;V22B;D51Z;D51B;D52Z;D52B;V53Z;V53B;V54Z;V54B;V55Z;V55B;D61_1Z;D61_1B;D61_2Z;D61_2B;V62Z;V62B;D81Z;D81B;D82_1Z;D82_1B;D82_2Z;D82_2B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;V115Z;V115B;D121_1Z;D121_1B;D121_2Z;D121_2B;V122Z;V122B;TF32Z;TF32B;TF35Z;TF35B;TF38Z;TF38B;TF41Z;TF41B;TBS32Z;TBS32B;TBS35Z;TBS35B;TBS38Z;TBS38B;TBS41Z;TBS41B;VK1StoerZ;VK1StoerB;VK2StoerZ;VK2StoerB;VK3StoerZ;VK3StoerB;VK4StoerZ;VK4StoerB
19.08.2024;09:23;A 97;1;2;36;1;36;2;15;0;100;0;100;4;22;2;4;0;100;0;100;1;5;0;0;0;100;0;100;0;0;0;100;3;6;2;0;3;9;2;4;0;0;3;60;3;60;3;58;0;0;0;0;0;0;2;3;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;;
19.08.2024;09:22;A 97;1;2;36;2;8;2;6;0;100;0;100;2;44;3;11;0;100;0;100;1;7;0;31;1;42;1;44;1;1;6;64;2;6;2;52;2;91;1;84;4;11;0;7;0;7;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;5;1;5;0;0;0;0;0;0;0;0;;
19.08.2024;09:21;A 97;1;1;99;0;90;1;24;0;100;0;100;3;34;1;17;0;100;0;100;0;0;1;42;1;91;1;94;0;0;1;98;3;2;3;3;3;8;3;8;0;0;1;65;1;66;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.08.2024;09:20;A 97;1;0;0;1;0;1;15;0;100;0;100;4;55;3;30;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;7;40;3;33;6;50;3;7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.08.2024;09:19;A 97;1;4;65;4;64;0;72;0;100;0;100;1;76;1;8;0;100;0;100;0;0;1;17;0;58;0;56;1;6;0;0;7;65;2;11;8;80;2;8;0;0;2;19;1;22;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;
19.08.2024;09:18;A 97;1;3;38;3;39;4;56;0;100;0;100;2;36;0;37;0;100;0;100;1;44;0;0;2;19;2;20;1;2;1;4;2;2;0;68;2;6;0;0;0;0;0;0;1;7;2;10;1;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.08.2024;09:17;A 97;1;2;86;2;85;3;53;0;100;0;100;3;48;5;60;0;100;0;100;5;12;0;0;0;0;0;0;0;0;1;3;5;29;1;34;5;39;1;5;0;0;1;50;1;50;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.08.2024;09:16;A 97;1;3;70;3;71;2;71;0;100;0;100;1;68;1;67;0;100;0;100;0;0;0;0;1;26;1;26;2;3;1;3;1;5;4;39;1;35;1;40;2;2;1;29;1;29;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.08.2024;09:15;A 97;1;2;63;2;62;3;35;0;100;0;100;3;63;3;80;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;1;52;1;43;2;11;2;9;0;0;1;51;1;52;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.08.2024;09:14;A 97;1;1;62;1;63;2;7;0;100;0;100;1;55;2;25;0;100;0;100;1;3;0;0;0;0;0;0;0;0;0;0;8;8;2;38;8;26;2;38;0;0;1;0;1;0;0;35;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;
19.08.2024;09:13;A 97;1;5;5;5;18;2;20;0;100;0;100;2;74;1;8;0;100;0;100;1;1;0;0;0;0;0;0;0;0;0;0;4;5;6;50;3;13;6;56;0;0;1;40;1;39;2;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.08.2024;09:12;A 97;1;8;30;8;29;1;42;0;100;0;100;0;89;1;29;0;100;0;100;1;5;0;14;0;14;0;13;0;0;0;0;3;14;2;52;2;19;3;30;1;0;1;43;1;44;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
