Datum;Uhrzeit;Bezeichnung;Intervall;D1Z;D1B;D2Z;D2B;D3Z;D3B;D4Z;D4B;D5Z;D5B;D6Z;D6B;D7Z;D7B;D8Z;D8B;D9Z;D9B;D10Z;D10B;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D15Z;D15B;D16Z;D16B;D17Z;D17B;D18Z;D18B;D19Z;D19B;D20Z;D20B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B
19.08.2024;09:24;A  6;1;0;100;0;100;0;0;5;4;1;1;2;3;2;2;2;2;5;4;5;5;0;100;0;100;0;0;0;0;1;1;1;1;4;4;4;4;0;100;0;100;1;1;1;1;3;3;3;2
19.08.2024;09:23;A  6;1;0;100;0;100;0;0;2;1;4;3;4;5;6;6;6;4;6;4;6;6;0;100;0;100;0;0;0;0;3;2;3;2;10;10;10;10;0;100;0;100;1;1;1;1;8;9;9;8
19.08.2024;09:22;A  6;1;0;100;0;100;0;0;12;8;5;5;5;7;3;4;3;2;5;3;5;4;0;100;0;100;0;0;0;0;3;2;3;3;4;4;4;5;0;100;0;100;4;3;4;2;9;8;9;7
19.08.2024;09:21;A  6;1;0;100;0;100;1;1;7;4;3;3;5;7;5;5;5;3;6;8;6;10;0;100;0;100;0;0;0;0;2;1;2;1;11;13;11;13;0;100;0;100;0;1;1;1;8;12;8;11
19.08.2024;09:20;A  6;1;0;100;0;100;3;1;10;12;2;2;1;1;2;2;2;2;11;8;11;11;0;100;0;100;0;0;0;0;3;2;3;2;7;6;7;6;0;100;0;100;3;2;2;2;8;6;7;5
19.08.2024;09:19;A  6;1;0;100;0;100;0;0;10;8;3;2;4;5;3;3;2;2;5;4;5;5;0;100;0;100;0;0;0;0;2;2;2;2;9;7;9;8;0;100;0;100;3;2;3;2;5;9;5;9
19.08.2024;09:18;A  6;1;0;100;0;100;8;3;9;12;2;1;2;3;5;5;3;3;7;11;7;13;0;100;0;100;0;0;0;0;1;0;0;0;10;17;10;18;0;100;0;100;0;0;0;0;8;11;8;11
19.08.2024;09:17;A  6;1;0;100;0;100;0;0;5;3;6;5;6;9;5;5;5;3;2;1;3;3;0;100;0;100;0;0;0;0;4;3;4;3;4;3;5;3;0;100;0;100;4;3;4;3;5;6;5;6
19.08.2024;09:16;A  6;1;0;100;0;100;0;0;6;6;6;5;5;7;3;3;2;1;4;5;4;6;0;100;0;100;0;0;0;0;1;1;1;1;6;8;6;8;0;100;0;100;1;1;1;1;6;6;6;5
19.08.2024;09:15;A  6;1;0;100;0;100;0;0;6;7;3;2;3;3;3;3;3;2;3;7;4;8;0;100;0;100;0;0;0;0;1;1;1;1;11;14;11;15;0;100;0;100;1;1;1;1;12;17;12;17
19.08.2024;09:14;A  6;1;0;100;0;100;0;0;13;12;4;3;3;6;3;4;1;1;10;10;11;14;0;100;0;100;0;0;0;0;1;1;1;1;9;7;8;8;0;100;0;100;2;2;2;2;4;6;4;6
19.08.2024;09:13;A  6;1;0;100;0;100;0;0;8;8;2;2;3;3;3;3;3;2;6;5;8;7;0;100;0;100;0;0;0;0;6;6;6;6;7;5;8;5;0;100;0;100;6;6;6;5;4;5;3;5
19.08.2024;09:12;A  6;1;0;100;0;100;0;0;10;9;3;2;4;5;5;5;3;3;9;8;10;11;0;100;0;100;1;11;1;10;5;5;5;5;11;12;11;12;0;100;0;100;3;2;3;2;10;11;10;10
19.08.2024;09:11;A  6;1;0;100;0;100;5;2;12;10;2;2;3;3;2;2;2;1;7;10;7;10;0;100;0;100;0;0;0;0;1;1;1;1;8;9;8;9;0;100;0;100;1;1;1;1;9;8;9;8
19.08.2024;09:10;A  6;1;0;100;0;100;0;0;6;4;4;3;3;4;3;3;3;2;6;5;6;7;0;100;0;100;0;0;0;0;4;4;5;3;7;7;8;8;0;100;0;100;2;2;2;1;9;8;9;7
19.08.2024;09:09;A  6;1;0;100;0;100;3;1;5;3;4;3;5;7;6;6;6;5;1;1;2;3;0;100;0;100;0;0;0;0;1;1;1;1;11;13;11;14;0;100;0;100;0;0;0;0;11;10;11;9
19.08.2024;09:08;A  6;1;0;100;0;100;0;0;8;8;9;9;8;11;6;7;6;5;7;8;8;11;0;100;0;100;0;0;0;0;3;3;3;3;3;5;3;5;0;100;0;100;4;3;4;3;2;5;2;4
19.08.2024;09:07;A  6;1;0;100;0;100;0;0;5;4;0;0;0;0;1;1;1;1;5;5;5;6;0;100;0;100;0;0;0;0;1;1;1;1;6;9;6;10;0;100;0;100;0;0;0;0;6;10;6;10
19.08.2024;09:06;A  6;1;0;100;0;100;0;0;6;8;3;2;5;7;4;4;3;2;8;7;8;10;0;100;0;100;0;0;0;0;2;2;2;2;10;8;10;8;0;100;0;100;2;1;2;1;8;6;8;6
19.08.2024;09:05;A  6;1;0;100;0;100;0;0;5;3;4;4;3;3;5;5;5;3;3;2;3;3;0;100;0;100;0;0;0;0;2;1;2;1;7;5;7;6;0;100;0;100;2;2;2;1;5;4;6;4
