Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D23Z;D23B;V24Z;V24B;V25Z;V25B;V26Z;V26B;D81Z;D81B;V82Z;V82B;D91Z;D91B;V92Z;V92B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;TF32Z;TF32B;TF35Z;TF35B;TF37Z;TF37B;TF38Z;TF38B;TF39Z;TF39B;TF41Z;TF41B;TB32Z;TB32B;TB35Z;TB35B;TB37Z;TB37B;TB38Z;TB38B;TB39Z;TB39B;TB41Z;TB41B;ST58Z;ST58B;ST59Z;ST59B
19.08.2024;09:23;A 51;1;3;28;5;73;1;35;1;3;2;66;2;54;5;43;6;33;5;51;3;42;1;11;0;0;1;11;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:22;A 51;1;0;0;1;83;0;0;0;0;1;90;0;0;11;19;5;50;1;16;2;7;3;38;3;11;2;67;2;47;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:21;A 51;1;0;0;2;64;1;73;0;0;1;75;1;8;3;17;2;36;1;53;1;6;1;22;0;0;0;27;0;63;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:20;A 51;1;1;0;8;38;0;0;1;3;3;60;0;0;8;8;6;40;0;84;0;0;1;41;1;1;2;39;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:19;A 51;1;0;0;1;74;0;0;0;0;3;80;0;0;4;4;0;9;2;26;1;25;2;46;3;6;1;38;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:18;A 51;1;0;0;5;54;0;0;0;0;2;75;1;3;4;6;2;43;1;22;2;27;1;41;1;4;1;8;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:17;A 51;1;0;13;5;10;0;0;0;0;0;25;1;3;7;6;4;34;2;3;2;10;1;96;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
19.08.2024;09:16;A 51;1;1;19;1;1;0;0;1;4;3;66;0;0;6;4;2;24;2;20;1;12;1;1;3;12;3;12;3;18;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:15;A 51;1;0;0;3;54;3;1;0;0;2;72;0;0;2;63;1;73;0;100;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:14;A 51;1;1;0;6;26;1;4;1;3;3;42;6;7;3;18;3;33;1;10;1;6;1;94;0;0;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:13;A 51;1;0;0;2;40;0;0;0;0;1;88;0;0;4;29;5;21;0;0;0;0;5;72;1;3;1;90;3;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:12;A 51;1;2;5;7;73;1;41;2;11;0;100;1;6;4;3;2;18;3;29;0;34;2;71;0;0;3;72;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:11;A 51;1;0;0;5;51;2;18;0;0;1;87;0;23;6;6;2;31;1;95;1;83;1;0;1;6;1;1;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:10;A 51;1;0;0;1;68;1;38;0;0;1;16;3;6;3;2;2;8;0;33;1;2;1;48;1;1;1;8;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:09;A 51;1;0;0;2;4;0;0;0;0;1;59;0;0;7;20;4;54;1;24;1;5;2;9;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:08;A 51;1;0;0;9;22;0;0;0;0;1;46;0;0;5;20;0;35;3;30;2;40;1;19;0;0;2;25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:07;A 51;1;0;0;1;81;0;0;0;0;1;89;0;0;1;68;2;25;0;16;0;0;1;0;2;5;2;6;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:06;A 51;1;3;3;5;69;2;34;0;0;0;80;1;41;5;63;2;73;1;41;1;7;3;4;1;2;1;10;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:05;A 51;1;0;0;3;49;1;31;0;0;1;61;0;0;13;16;4;58;2;70;0;73;1;42;0;0;1;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:04;A 51;1;0;0;1;71;1;54;0;0;2;78;1;10;1;1;0;2;1;37;2;26;3;10;1;1;3;21;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:03;A 51;1;1;0;6;47;1;43;1;4;1;59;0;44;10;25;3;58;3;58;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:02;A 51;1;0;0;9;63;0;0;0;0;4;80;1;4;2;59;1;72;2;78;2;49;2;1;1;46;1;4;1;49;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:01;A 51;1;0;0;1;69;0;0;0;0;1;79;0;0;3;35;3;27;1;19;1;19;1;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:00;A 51;1;1;0;7;51;1;61;0;0;3;78;1;11;7;67;4;58;2;35;4;18;0;0;1;1;1;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:59;A 51;1;0;0;6;17;1;27;0;0;1;35;1;7;8;23;4;47;1;19;1;5;1;20;3;6;1;10;3;35;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:58;A 51;1;1;1;7;48;0;0;1;2;1;71;0;0;11;10;1;43;0;41;1;2;4;73;0;0;0;80;1;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
19.08.2024;08:57;A 51;1;1;38;3;92;0;0;1;6;0;100;0;0;10;32;5;68;2;59;4;17;1;78;1;3;1;87;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:56;A 51;1;0;0;9;57;0;8;0;0;1;87;0;0;5;51;3;73;2;73;1;7;1;1;5;14;2;8;6;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:55;A 51;1;0;0;2;58;2;34;0;0;2;55;1;14;6;4;3;26;1;1;1;5;2;71;3;52;1;55;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:54;A 51;1;2;38;7;76;0;0;2;6;0;98;1;4;2;2;1;9;1;0;1;0;2;18;2;4;1;9;2;16;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:53;A 51;1;1;0;10;50;0;0;1;2;2;70;0;0;9;8;5;42;1;19;1;5;1;9;1;2;1;13;1;6;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:52;A 51;1;1;1;1;79;0;0;1;5;1;86;0;0;3;3;0;8;0;0;0;0;5;5;1;1;1;21;1;5;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:51;A 51;1;0;0;9;55;2;43;0;0;1;85;1;49;12;11;6;53;0;0;0;0;0;0;1;1;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:50;A 51;1;1;0;11;44;1;28;2;7;1;73;2;15;5;7;3;39;1;3;1;6;0;0;2;2;1;1;2;48;0;0;0;0;0;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
19.08.2024;08:49;A 51;1;0;0;7;80;0;0;0;0;1;99;0;0;9;8;0;28;0;33;0;0;1;26;2;30;1;8;0;75;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:48;A 51;1;0;0;4;5;6;10;0;0;0;100;4;18;15;36;3;79;3;24;2;22;0;0;3;11;1;5;1;98;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:47;A 51;1;0;0;5;15;0;0;0;0;1;63;0;0;3;51;3;63;1;99;1;88;1;0;1;47;1;0;1;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:46;A 51;1;1;2;3;75;0;0;2;4;2;88;0;0;5;60;2;22;3;71;1;26;1;1;1;2;1;6;1;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
19.08.2024;08:45;A 51;1;2;1;11;72;0;0;0;0;0;100;0;0;4;5;4;27;0;0;1;4;2;2;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:44;A 51;1;0;0;7;32;0;16;0;8;4;64;1;14;19;31;1;80;8;81;0;99;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:43;A 51;1;0;0;1;92;1;97;2;70;1;91;0;100;1;88;1;97;1;74;1;84;0;0;1;22;1;2;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
19.08.2024;08:42;A 51;1;0;0;4;61;0;0;0;0;1;73;1;6;6;6;3;26;2;25;1;20;0;0;3;8;2;2;2;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:41;A 51;1;0;0;10;54;0;30;0;0;1;83;2;4;4;2;3;27;0;100;1;48;1;0;1;6;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:40;A 51;1;0;0;2;70;1;74;0;0;2;84;1;8;2;2;0;3;1;46;1;6;4;25;1;2;3;33;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:39;A 51;1;0;0;6;45;3;8;0;0;3;32;1;7;5;32;4;28;4;14;1;5;3;4;1;1;2;18;2;10;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;2;4;0;0;0;0;0;0
19.08.2024;08:38;A 51;1;0;0;8;22;0;0;0;0;1;44;0;0;11;9;8;60;3;61;2;38;0;0;1;2;2;3;2;12;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
19.08.2024;08:37;A 51;1;0;0;3;37;0;0;0;0;3;55;0;0;7;8;1;35;0;0;0;0;1;62;1;3;2;25;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:36;A 51;1;2;0;7;69;1;58;0;0;1;83;0;59;9;70;0;95;0;0;0;0;3;56;2;3;4;19;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
