Datum;Uhrzeit;Bezeichnung;Intervall;V21_AnfZ;V21_AnfB;V81_AnfZ;V81_AnfB;V381_AnfZ;V381_AnfB;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB
19.08.2024;08:13;A151;1;1;23;4;31;1;1;1;3;2;14;0;0;0;0
19.08.2024;08:12;A151;1;3;30;3;22;0;0;0;0;3;4;0;0;0;0
19.08.2024;08:11;A151;1;1;14;2;8;0;0;0;0;3;6;0;0;0;0
19.08.2024;08:10;A151;1;1;13;4;26;0;0;0;0;1;2;0;0;0;0
19.08.2024;08:09;A151;1;3;23;1;20;0;0;0;0;4;8;0;0;0;0
19.08.2024;08:08;A151;1;3;33;2;12;0;0;0;0;2;3;0;0;0;0
19.08.2024;08:07;A151;1;3;32;1;17;0;0;0;0;0;0;0;0;0;0
19.08.2024;08:06;A151;1;1;29;1;0;0;0;0;0;3;12;0;0;0;0
19.08.2024;08:05;A151;1;1;15;4;27;1;1;1;1;3;8;0;0;0;0
19.08.2024;08:04;A151;1;4;19;3;11;0;0;0;0;1;2;0;0;0;0
19.08.2024;08:03;A151;1;4;35;7;50;0;0;0;0;3;2;0;0;0;0
19.08.2024;08:02;A151;1;1;13;3;18;0;0;0;0;4;9;0;0;0;0
19.08.2024;08:01;A151;1;4;67;3;58;0;0;0;0;2;5;0;0;0;0
19.08.2024;08:00;A151;1;3;32;2;26;1;3;0;0;5;21;0;0;0;0
19.08.2024;07:59;A151;1;1;64;3;45;0;0;0;0;4;16;1;1;1;1
19.08.2024;07:58;A151;1;2;18;3;36;0;0;0;0;3;4;0;0;0;0
19.08.2024;07:57;A151;1;1;8;1;16;0;0;0;0;5;12;0;0;0;0
19.08.2024;07:56;A151;1;0;99;3;28;0;0;0;0;2;3;0;0;0;0
19.08.2024;07:55;A151;1;2;24;2;10;0;0;0;0;3;11;0;0;0;0
19.08.2024;07:54;A151;1;4;41;2;20;0;0;0;0;1;1;0;0;0;0
19.08.2024;07:53;A151;1;3;33;2;8;0;0;0;0;3;8;0;0;0;0
19.08.2024;07:52;A151;1;1;16;5;48;0;0;0;0;3;13;0;0;0;0
19.08.2024;07:51;A151;1;3;18;1;32;1;1;0;0;4;10;0;0;0;0
19.08.2024;07:50;A151;1;1;5;2;86;0;0;0;0;5;31;0;0;0;0
19.08.2024;07:49;A151;1;2;22;3;16;1;1;1;2;4;13;2;3;1;1
19.08.2024;07:48;A151;1;2;4;5;33;0;0;0;0;2;3;0;0;0;0
19.08.2024;07:47;A151;1;2;27;1;29;0;0;0;0;5;11;0;0;0;0
19.08.2024;07:46;A151;1;4;22;3;20;0;0;0;0;1;0;0;0;0;0
19.08.2024;07:45;A151;1;0;12;3;18;0;0;0;0;1;1;0;0;0;0
19.08.2024;07:44;A151;1;1;40;4;30;0;0;0;0;1;1;0;0;0;0
19.08.2024;07:43;A151;1;2;60;3;64;0;0;0;0;2;23;0;0;1;1
19.08.2024;07:42;A151;1;6;49;1;4;0;0;0;0;1;3;0;0;0;0
19.08.2024;07:41;A151;1;0;0;3;39;0;0;0;0;1;2;0;0;0;0
19.08.2024;07:40;A151;1;3;25;2;16;0;0;0;0;2;3;0;0;0;0
19.08.2024;07:39;A151;1;1;10;6;40;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:38;A151;1;3;40;1;41;0;0;0;0;3;8;0;0;0;0
19.08.2024;07:37;A151;1;2;30;2;15;0;0;0;0;2;19;0;0;1;1
19.08.2024;07:36;A151;1;1;21;2;20;0;0;0;0;1;3;0;0;0;0
19.08.2024;07:35;A151;1;1;8;2;12;0;0;0;0;2;3;0;0;0;0
19.08.2024;07:34;A151;1;3;26;4;45;0;0;0;0;2;2;0;0;0;0
19.08.2024;07:33;A151;1;1;56;3;13;0;0;0;0;5;20;0;0;0;0
19.08.2024;07:32;A151;1;1;23;5;41;1;1;0;0;2;11;0;0;0;0
