Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;D23Z;D23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;D83Z;D83B;V84Z;V84B;TF38Z;TF38B;TB38Z;TB38B;TF38aZ;TF38aB;TB38aZ;TB38aB;VK1_iOZ;VK1_iOB;VK2_iOZ;VK2_iOB
19.08.2024;09:23;A 61;1;4;2;4;3;4;4;3;21;42;6;5;7;3;3;4;25;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:22;A 61;1;2;12;1;0;0;0;0;5;6;1;4;8;4;5;1;14;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:21;A 61;1;0;0;1;2;2;2;2;16;9;1;5;9;4;8;3;41;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:20;A 61;1;4;7;2;2;2;2;2;14;19;3;6;6;7;6;5;27;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:19;A 61;1;3;1;3;3;3;4;3;20;1;0;1;1;1;1;2;7;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:18;A 61;1;1;0;1;0;1;1;4;10;4;1;5;5;7;9;4;22;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:17;A 61;1;4;2;6;6;5;7;4;38;3;1;3;3;2;2;3;21;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:16;A 61;1;1;0;4;3;3;1;2;18;4;0;5;5;3;3;3;25;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:15;A 61;1;9;11;8;11;10;14;5;61;6;3;3;7;6;22;3;21;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:14;A 61;1;0;0;0;0;0;0;0;0;8;0;4;3;3;2;3;16;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:13;A 61;1;4;3;3;15;3;3;4;41;14;2;5;19;7;8;5;56;1;1;1;1;0;0;0;0;0;100;0;100
19.08.2024;09:12;A 61;1;2;1;1;0;1;0;1;5;4;0;4;4;4;4;3;19;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:11;A 61;1;2;2;1;1;1;1;1;7;71;7;3;3;2;2;2;16;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:10;A 61;1;2;1;2;2;1;1;1;9;27;2;6;4;6;5;2;21;1;1;1;1;0;0;0;0;0;100;0;100
19.08.2024;09:09;A 61;1;6;6;8;11;8;13;2;45;33;4;7;7;7;7;3;32;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:08;A 61;1;5;7;2;3;2;5;2;17;15;4;5;7;5;5;4;27;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:07;A 61;1;4;10;3;3;1;1;2;16;42;3;3;2;1;1;1;5;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:06;A 61;1;1;2;3;2;5;5;2;19;140;16;6;8;5;6;5;33;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:05;A 61;1;3;5;2;2;2;2;1;12;179;16;3;3;3;3;1;13;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:04;A 61;1;5;4;4;4;3;3;2;18;155;15;7;8;7;7;3;36;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:03;A 61;1;4;6;4;18;3;4;2;41;150;15;7;8;6;7;2;28;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:02;A 61;1;6;3;7;6;6;7;5;36;72;5;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;100;0;100
19.08.2024;09:01;A 61;1;1;0;2;1;1;1;2;7;27;3;4;4;2;2;4;24;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;09:00;A 61;1;1;0;2;1;2;1;1;6;90;7;2;1;4;4;3;17;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:59;A 61;1;3;3;2;2;1;1;1;12;13;2;3;4;4;6;3;19;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:58;A 61;1;1;0;1;0;1;1;1;6;17;2;1;1;1;1;1;7;0;0;0;0;1;1;1;1;0;100;0;100
19.08.2024;08:57;A 61;1;6;4;6;6;5;5;2;27;57;7;6;6;5;5;3;23;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:56;A 61;1;5;7;5;7;6;9;4;38;33;3;3;4;3;3;2;13;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:55;A 61;1;2;1;2;1;1;1;1;15;20;2;5;5;4;4;2;19;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:54;A 61;1;7;6;7;6;8;8;4;36;11;1;5;6;6;8;5;29;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:53;A 61;1;4;3;4;3;4;4;4;24;2;0;3;2;2;1;2;10;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:52;A 61;1;0;0;0;0;0;0;0;0;4;0;4;4;4;4;3;18;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:51;A 61;1;9;8;8;29;6;8;1;60;7;2;6;7;7;9;3;33;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:50;A 61;1;6;6;8;25;10;16;4;72;5;3;3;4;3;4;1;17;1;1;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:49;A 61;1;2;2;1;0;1;1;1;6;2;0;4;3;2;2;2;15;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:48;A 61;1;3;1;3;2;4;3;2;17;10;3;14;14;8;9;7;63;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:47;A 61;1;5;4;4;6;3;3;2;25;6;3;2;5;5;5;2;13;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:46;A 61;1;2;1;2;1;1;2;2;19;2;0;2;15;3;4;2;33;0;0;1;1;0;0;0;0;0;100;0;100
19.08.2024;08:45;A 61;1;4;11;5;11;6;7;2;43;4;1;5;5;4;3;4;22;1;1;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:44;A 61;1;6;4;7;6;6;7;4;37;0;0;3;1;2;2;1;4;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:43;A 61;1;1;0;1;0;0;0;1;1;2;1;2;2;3;3;2;15;1;1;1;1;0;0;0;0;0;100;0;100
19.08.2024;08:42;A 61;1;2;1;2;1;2;2;2;14;2;0;2;2;2;2;1;10;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:41;A 61;1;3;1;3;2;3;3;3;19;4;1;6;8;4;5;2;26;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:40;A 61;1;3;1;3;3;3;3;1;18;1;0;0;0;2;2;1;3;0;0;0;0;5;8;1;1;0;100;0;100
19.08.2024;08:39;A 61;1;1;0;1;0;1;1;1;7;3;0;4;4;4;4;3;19;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:38;A 61;1;1;0;1;0;1;1;1;7;8;1;1;1;1;1;1;6;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:37;A 61;1;3;2;4;3;3;3;2;24;36;3;4;4;3;3;2;14;0;0;0;0;1;1;1;1;0;100;0;100
19.08.2024;08:36;A 61;1;2;1;2;2;3;3;2;16;53;6;6;8;4;5;3;30;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:35;A 61;1;7;5;6;6;6;7;2;32;23;3;3;35;5;6;2;48;2;3;1;1;0;0;0;0;0;100;0;100
19.08.2024;08:34;A 61;1;4;5;2;1;2;2;2;14;16;1;4;4;4;3;3;19;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:33;A 61;1;4;3;4;19;3;3;2;40;18;5;6;37;3;3;5;36;0;0;0;0;1;1;0;0;0;100;0;100
19.08.2024;08:32;A 61;1;4;3;3;2;3;3;1;14;23;1;1;1;4;4;1;5;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:31;A 61;1;2;1;3;2;2;2;4;17;16;1;1;1;2;1;1;5;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:30;A 61;1;3;4;5;16;4;6;1;32;101;10;3;31;3;2;3;43;0;0;0;0;0;0;2;3;0;100;0;100
19.08.2024;08:29;A 61;1;4;4;4;27;3;4;2;49;16;2;5;6;5;7;2;24;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:28;A 61;1;2;1;2;2;3;4;2;13;1;0;1;1;1;0;1;5;1;1;0;0;1;1;1;1;0;100;0;100
19.08.2024;08:27;A 61;1;3;3;3;9;4;5;2;31;5;0;4;4;4;3;3;23;0;0;0;0;2;3;3;6;0;100;0;100
19.08.2024;08:26;A 61;1;2;1;4;8;2;2;2;29;6;2;4;4;3;3;1;15;1;1;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:25;A 61;1;3;1;3;2;1;1;2;16;8;1;7;6;5;5;8;30;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:24;A 61;1;3;2;3;2;4;5;2;16;2;0;1;1;0;0;1;5;0;0;0;0;1;1;1;1;0;100;0;100
19.08.2024;08:23;A 61;1;6;5;6;7;5;6;4;40;5;1;6;6;7;6;4;29;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:22;A 61;1;2;1;2;2;2;2;1;12;12;1;2;2;3;3;1;10;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:21;A 61;1;2;1;3;2;2;2;4;18;6;1;9;30;9;10;4;49;0;0;0;0;1;1;0;0;0;100;0;100
19.08.2024;08:20;A 61;1;6;5;5;32;6;8;2;64;1;0;1;1;0;0;1;6;0;0;0;0;1;1;0;0;0;100;0;100
19.08.2024;08:19;A 61;1;1;1;0;0;0;0;0;1;4;0;4;5;1;1;1;17;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:18;A 61;1;0;0;3;2;2;1;1;10;10;3;7;50;11;13;3;45;0;0;0;0;1;1;1;1;0;100;0;100
19.08.2024;08:17;A 61;1;5;2;2;1;2;2;2;13;3;0;2;2;1;1;3;12;0;0;0;0;2;3;1;1;0;100;0;100
19.08.2024;08:16;A 61;1;2;1;5;37;2;2;1;82;8;4;5;13;2;2;2;23;0;0;1;1;0;0;0;0;0;100;0;100
19.08.2024;08:15;A 61;1;0;0;1;9;3;6;1;21;2;0;5;14;7;9;5;37;0;0;0;0;0;0;1;1;0;100;0;100
19.08.2024;08:14;A 61;1;3;1;4;3;2;2;2;21;0;0;1;1;1;0;1;4;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:13;A 61;1;2;3;2;2;3;3;3;17;3;0;1;1;0;0;1;6;0;0;0;0;0;0;1;1;0;100;0;100
19.08.2024;08:12;A 61;1;1;0;1;0;0;0;0;0;16;1;4;4;5;6;4;22;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:11;A 61;1;7;5;6;7;6;7;2;40;22;5;7;8;6;6;5;29;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:10;A 61;1;1;0;1;0;0;0;1;7;8;2;1;1;0;0;0;3;0;0;0;0;0;0;1;1;0;100;0;100
19.08.2024;08:09;A 61;1;1;0;1;1;2;1;2;10;12;1;3;3;4;4;3;18;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:08;A 61;1;2;1;2;1;1;0;3;5;6;1;5;6;5;6;1;20;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:07;A 61;1;2;6;1;1;1;1;1;6;5;1;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:06;A 61;1;5;3;4;6;3;3;2;31;3;1;5;5;6;7;2;21;0;0;0;0;1;1;1;1;0;100;0;100
19.08.2024;08:05;A 61;1;5;3;5;5;5;5;6;35;3;1;3;3;4;4;2;16;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:04;A 61;1;8;5;8;10;8;11;4;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:03;A 61;1;1;0;1;0;2;2;1;5;3;0;6;5;6;6;3;26;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:02;A 61;1;2;1;2;2;2;2;2;15;5;1;4;4;0;0;1;16;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:01;A 61;1;3;6;2;1;2;2;2;10;4;2;6;7;10;12;4;35;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;08:00;A 61;1;1;0;0;0;0;0;0;0;4;2;2;5;0;0;0;13;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:59;A 61;1;5;4;5;6;5;6;2;29;0;0;1;0;1;1;2;65;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:58;A 61;1;1;0;1;1;1;1;1;6;4;8;4;3;5;9;3;34;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:57;A 61;1;2;2;1;0;1;0;1;7;2;0;7;7;8;10;6;34;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:56;A 61;1;4;7;3;3;3;3;2;19;6;2;6;6;4;4;4;23;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:55;A 61;1;3;2;1;0;1;0;2;8;3;1;4;4;6;7;3;22;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:54;A 61;1;3;3;4;6;4;6;2;24;1;0;3;2;2;2;3;14;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:53;A 61;1;5;3;5;5;6;6;4;32;2;0;3;3;3;3;3;17;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:52;A 61;1;2;0;2;1;2;2;2;14;1;0;2;1;3;3;2;13;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:51;A 61;1;3;7;2;2;2;2;1;16;5;1;7;7;7;7;5;34;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:50;A 61;1;1;1;3;8;3;6;1;35;2;0;2;2;1;0;1;7;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:49;A 61;1;3;1;2;1;2;1;1;9;4;1;5;5;4;6;2;27;1;1;1;1;0;0;0;0;0;100;0;100
19.08.2024;07:48;A 61;1;5;5;6;6;6;8;4;32;7;3;4;6;4;6;4;24;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:47;A 61;1;2;1;3;1;2;2;2;12;6;1;4;6;4;4;2;23;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:46;A 61;1;4;2;1;2;1;3;1;8;1;4;1;3;2;3;1;21;1;1;1;1;0;0;0;0;0;100;0;100
19.08.2024;07:45;A 61;1;4;8;6;8;4;8;3;45;3;1;6;4;6;12;4;20;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:44;A 61;1;5;9;2;1;1;1;1;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:43;A 61;1;4;2;3;3;3;3;4;24;1;0;1;0;1;0;1;4;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:42;A 61;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;2;8;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:41;A 61;1;0;0;1;3;1;3;3;27;2;1;4;4;3;3;3;19;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:40;A 61;1;4;2;4;4;4;4;3;25;2;0;3;2;4;4;2;13;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:39;A 61;1;4;2;4;3;3;3;1;15;1;0;3;4;2;2;2;14;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:38;A 61;1;4;3;4;3;4;4;4;30;1;26;4;40;5;7;2;72;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:37;A 61;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;4;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:36;A 61;1;1;0;2;1;1;1;1;7;3;0;7;8;6;8;3;34;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:35;A 61;1;3;2;3;3;3;3;2;18;2;1;4;5;3;4;3;23;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:34;A 61;1;2;0;2;2;3;3;2;16;1;0;3;3;3;3;3;15;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:33;A 61;1;2;2;2;2;2;3;2;15;4;2;8;10;8;8;2;33;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:32;A 61;1;5;2;6;4;3;3;6;25;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:31;A 61;1;2;2;3;3;4;4;2;20;1;0;1;1;1;0;1;6;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:30;A 61;1;3;3;3;4;4;6;2;22;1;1;4;4;3;4;3;18;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:29;A 61;1;6;4;8;12;8;14;2;44;0;0;5;3;4;5;3;15;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:28;A 61;1;1;0;1;0;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:27;A 61;1;4;3;4;4;4;4;2;21;2;0;3;3;4;3;2;14;0;0;0;0;0;0;0;0;0;100;0;100
19.08.2024;07:26;A 61;1;1;0;1;0;1;1;1;6;0;0;4;5;4;5;2;19;0;0;0;0;0;0;0;0;0;100;0;100
