Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;V15Z;V15B;V16Z;V16B;V17Z;V17B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B;V26Z;V26B;V27Z;V27B;V28Z;V28B;V29Z;V29B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D34Z;D34B;V36Z;V36B;V37Z;V37B;V38Z;V38B;V39Z;V39B;V40Z;V40B;V41Z;V41B;V42Z;V42B;D43Z;D43B;V45Z;V45B;V46Z;V46B;V47Z;V47B;V48Z;V48B
19.05.2024;20:00;A 36;1;0;0;1;44;0;0;0;0;1;54;0;0;0;0;0;0;0;0;0;0;9;77;0;0;0;0;0;0;3;98;3;81;3;74;2;49;0;0;1;88;2;76;3;27;0;0;0;0;0;0;0;0;0;0;1;4;1;5;0;0;0;0
19.05.2024;19:59;A 36;1;0;0;3;48;2;23;0;0;2;37;1;34;0;0;1;2;0;0;0;0;1;57;1;7;0;0;0;0;1;65;0;0;3;30;0;0;0;0;1;7;5;40;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;7;0;0;0;0
19.05.2024;19:58;A 36;1;0;0;8;59;5;45;0;0;4;73;1;26;0;0;2;5;0;0;0;0;0;0;2;31;0;0;0;0;0;0;0;9;6;25;6;43;0;0;0;0;2;39;5;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:57;A 36;1;2;24;3;81;3;9;0;0;2;79;4;76;0;0;3;37;0;0;0;0;0;0;2;54;0;0;0;0;0;0;3;65;3;23;4;6;0;0;1;40;4;25;3;28;0;0;0;0;0;0;0;0;0;0;2;4;1;2;0;0;0;0
19.05.2024;19:56;A 36;1;0;0;1;33;1;31;0;0;1;9;0;6;0;0;0;0;0;0;0;0;3;31;0;0;0;0;0;0;2;19;3;78;4;4;2;40;0;0;2;85;3;15;0;44;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
19.05.2024;19:55;A 36;1;0;0;3;41;2;19;1;23;1;51;2;29;1;4;2;38;0;0;0;0;2;69;2;43;0;0;0;0;2;70;2;56;3;42;4;54;0;0;1;63;0;45;2;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:54;A 36;1;0;0;3;52;0;0;0;0;3;43;0;0;0;0;0;5;0;0;0;0;5;68;0;3;0;0;0;0;2;66;2;15;4;82;3;25;0;0;1;21;2;84;2;15;0;0;0;0;0;0;0;0;1;23;0;0;0;0;1;28;1;27
19.05.2024;19:53;A 36;1;2;2;1;39;0;0;0;0;1;8;0;0;0;0;1;34;0;0;0;0;3;63;1;42;0;0;0;0;2;71;4;53;5;48;1;12;0;0;3;38;5;27;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:52;A 36;1;0;0;3;14;0;0;0;6;2;24;0;0;0;0;2;5;0;0;0;0;2;76;1;4;0;0;0;0;3;17;0;0;6;79;3;82;0;0;0;0;1;94;1;82;0;0;0;0;0;0;0;0;0;0;2;11;3;9;0;0;0;0
19.05.2024;19:51;A 36;1;0;0;4;71;2;2;1;2;2;31;1;13;1;5;2;6;0;0;0;0;3;64;2;17;0;0;0;0;3;9;0;86;4;88;3;72;0;0;0;0;3;50;2;89;0;0;0;0;0;0;0;0;1;12;0;0;1;2;0;68;0;68
