Datum;Uhrzeit;Bezeichnung;Intervall;D41Z;D41B;V42Z;V42B;D71Z;D71B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D811Z;D811B;D812Z;D812B;V813Z;V813B;V814Z;V814B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D115Z;D115B;D121Z;D121B;D122Z;D122B;V123Z;V123B;V124Z;V124B;D125Z;D125B;D126Z;D126B;TF32Z;TF32B;TF33Z;TF33B;TF35Z;TF35B;TF36Z;TF36B;TF37Z;TF37B;TF38Z;TF38B;TF41Z;TF41B;TF42Z;TF42B;TB31Z;TB31B;TB32Z;TB32B;TB33Z;TB33B;TB35Z;TB35B;TB36Z;TB36B;TB37Z;TB37B;TB38Z;TB38B;TB41Z;TB41B;TB42Z;TB42B;V521Z;V521B;ST52Z;ST52B;Weiche_GAZ;Weiche_GAB;Weiche_LAZ;Weiche_LAB
19.05.2024;19:59;A 81;1;0;100;1;5;5;10;0;0;0;0;3;25;3;8;0;0;2;2;2;6;0;0;0;0;3;11;0;0;1;22;3;8;1;0;5;23;1;2;1;42;4;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:58;A 81;1;0;100;0;2;1;1;0;0;1;12;2;11;0;80;0;0;1;1;1;3;0;0;0;0;2;49;0;0;2;64;2;4;0;0;3;43;2;8;2;58;6;10;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:57;A 81;1;0;100;2;14;5;1;0;0;0;0;0;0;2;33;1;1;1;1;1;3;1;3;3;51;5;15;1;14;2;74;2;2;1;1;3;5;1;5;4;35;6;10;27;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:56;A 81;1;0;100;0;0;1;1;0;0;0;0;2;5;5;14;0;0;1;0;1;3;0;0;2;2;3;11;2;12;4;32;4;14;0;0;0;0;1;11;0;0;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:55;A 81;1;0;100;0;0;3;4;0;0;0;0;3;17;4;10;0;0;0;0;1;4;0;0;0;0;1;2;0;0;1;9;1;2;1;1;3;19;0;0;1;44;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:54;A 81;1;0;100;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;2;80;1;7;0;86;0;0;3;6;5;10;1;2;4;41;5;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0
19.05.2024;19:53;A 81;1;0;100;0;0;2;1;0;0;2;1;4;7;1;11;0;0;0;0;3;8;0;0;1;24;2;28;0;0;2;39;5;9;0;0;1;0;0;0;1;7;3;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;4;2;4;1;1;1;59;0;0;0;0;0;0
19.05.2024;19:52;A 81;1;0;100;2;5;0;0;0;0;0;0;2;2;1;1;1;0;1;0;2;14;1;2;0;3;1;61;0;3;0;66;0;0;0;0;2;4;0;0;2;18;2;2;2;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:51;A 81;1;0;100;0;0;1;0;0;0;0;0;2;13;1;0;0;0;0;0;1;3;0;0;2;1;4;46;1;3;3;67;4;7;3;5;3;6;0;0;2;29;4;7;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2024;19:50;A 81;1;0;100;0;0;3;6;0;0;0;0;1;21;1;10;0;0;0;0;0;0;0;0;2;10;5;50;1;13;1;73;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
