Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D41Z;D41B;D42Z;D42B;res1Z;res1B;res2Z;res2B;res3Z;res3B;FG-AF_41aZ;FG-AF_41aB;FG-AF_BF41aZ;FG-AF_BF41aB;FG-AF_41bZ;FG-AF_41bB;FG-AF_BF41bZ;FG-AF_BF41bB;A88_MP2Z;A88_MP2B;A117/MP1Z;A117/MP1B;A117_MP2Z;A117_MP2B;A118_MP3Z;A118_MP3B;A117_MP3Z;A117_MP3B;A117_MP4Z;A117_MP4B
11.01.2024;13:19;A117;1;0;0;0;0;20;22;4;9;4;3;;;;;;;1;3;1;3;1;3;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:18;A117;1;0;0;0;0;9;10;15;23;6;4;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:17;A117;1;0;64;1;1;9;11;11;20;1;1;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:16;A117;1;1;32;0;0;12;11;14;14;6;3;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:15;A117;1;0;0;0;0;9;9;13;15;1;0;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:14;A117;1;0;0;0;0;10;10;15;17;4;2;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:13;A117;1;0;0;0;0;12;11;6;6;3;1;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:12;A117;1;0;0;0;0;12;13;9;39;0;0;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:11;A117;1;1;67;0;0;11;11;14;16;3;1;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:10;A117;1;0;0;0;0;13;12;11;10;1;0;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:09;A117;1;0;48;0;0;14;14;8;14;4;2;;;;;;;0;0;0;0;0;0;0;100;1;2;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:08;A117;1;1;2;0;0;10;8;18;36;3;4;;;;;;;0;0;0;0;0;0;0;100;2;4;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:07;A117;1;0;13;0;0;10;47;14;48;2;1;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:06;A117;1;1;39;0;0;16;23;12;21;0;0;;;;;;;1;3;1;3;1;3;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:05;A117;1;0;0;0;0;12;11;12;17;0;0;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:04;A117;1;0;0;0;0;16;20;12;13;1;0;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:03;A117;1;0;0;0;0;8;10;11;11;5;4;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:02;A117;1;0;0;0;0;7;9;9;31;2;1;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:01;A117;1;0;30;0;0;14;19;8;36;2;0;;;;;;;0;0;0;0;0;0;0;100;1;2;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:00;A117;1;1;59;0;0;10;39;11;23;3;2;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:59;A117;1;1;3;0;0;9;26;6;7;5;2;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:58;A117;1;0;95;0;0;9;8;9;10;2;1;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:57;A117;1;1;35;0;0;14;15;10;16;1;2;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:56;A117;1;0;64;0;0;8;8;11;19;3;3;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:55;A117;1;1;44;0;0;12;17;11;19;11;16;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:54;A117;1;1;32;0;0;10;12;5;7;1;0;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:53;A117;1;1;66;0;0;9;11;10;9;8;5;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:52;A117;1;0;0;1;2;18;17;9;14;3;2;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:51;A117;1;0;0;2;93;13;13;10;15;1;10;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:50;A117;1;1;81;1;30;10;11;14;13;2;17;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:49;A117;1;0;0;0;0;11;16;10;10;5;4;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:48;A117;1;0;0;0;0;11;10;11;12;1;1;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:47;A117;1;0;0;0;0;11;13;15;16;1;3;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:46;A117;1;0;0;0;0;15;16;11;12;2;2;;;;;;;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
