Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;V321Z;V321B;TF32aZ;TF32aB;TF32bZ;TF32bB;TBS32aZ;TBS32aB;TBS32bZ;TBS32bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB
11.01.2024;13:19;A 16;1;0;0;2;45;1;26;5;44;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0
11.01.2024;13:18;A 16;1;1;29;2;82;0;19;1;21;0;0;1;1;0;0;0;0;1;7;0;0;0;0;0;0
11.01.2024;13:17;A 16;1;0;100;4;69;4;52;4;69;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:16;A 16;1;2;28;6;59;5;30;5;70;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.01.2024;13:15;A 16;1;0;0;5;39;3;18;3;68;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0
11.01.2024;13:14;A 16;1;0;0;4;26;6;23;1;51;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:13;A 16;1;0;0;4;18;5;11;3;44;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:12;A 16;1;0;0;6;31;1;14;4;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:11;A 16;1;0;0;9;36;1;3;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:10;A 16;1;0;0;2;17;0;0;6;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:09;A 16;1;0;0;6;27;1;2;9;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:08;A 16;1;1;0;2;19;2;4;7;74;0;0;1;1;0;0;0;0;1;8;0;0;0;0;0;0
11.01.2024;13:07;A 16;1;0;0;4;20;1;1;10;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:06;A 16;1;0;0;4;31;0;0;6;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:05;A 16;1;0;0;3;49;3;9;6;83;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0
11.01.2024;13:04;A 16;1;0;0;3;23;5;25;4;45;0;0;1;1;0;0;1;1;1;5;0;0;0;0;0;0
11.01.2024;13:03;A 16;1;1;2;3;16;1;2;7;22;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:02;A 16;1;0;0;1;29;1;2;9;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:01;A 16;1;0;0;4;19;2;4;8;29;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:00;A 16;1;0;0;1;6;0;0;6;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:59;A 16;1;0;0;3;26;2;2;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:58;A 16;1;0;0;1;39;0;0;3;55;1;1;0;0;0;0;0;0;1;4;0;0;0;0;0;0
11.01.2024;12:57;A 16;1;0;0;6;22;1;1;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:56;A 16;1;0;0;6;51;4;13;5;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:55;A 16;1;2;4;5;27;1;2;8;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:54;A 16;1;0;0;3;13;1;2;7;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:53;A 16;1;0;0;0;0;0;0;13;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:52;A 16;1;1;1;2;14;0;2;1;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:51;A 16;1;0;0;8;41;6;20;1;44;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0
11.01.2024;12:50;A 16;1;1;3;7;37;6;17;5;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:49;A 16;1;0;0;2;25;2;10;4;65;0;0;0;0;0;0;1;6;1;12;0;0;0;0;0;0
11.01.2024;12:48;A 16;1;0;0;3;21;2;5;7;77;0;0;1;1;0;0;1;1;1;9;0;0;0;0;0;0
11.01.2024;12:47;A 16;1;2;3;4;51;6;38;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:46;A 16;1;0;0;2;64;0;0;1;75;0;0;0;0;0;0;1;1;1;8;0;0;0;0;0;0
11.01.2024;12:45;A 16;1;0;0;4;56;3;14;1;72;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0
11.01.2024;12:44;A 16;1;2;0;5;29;7;27;6;59;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:43;A 16;1;1;2;3;32;3;26;7;60;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
11.01.2024;12:42;A 16;1;1;1;5;35;0;0;4;24;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
11.01.2024;12:41;A 16;1;0;0;5;36;1;1;10;28;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
11.01.2024;12:40;A 16;1;0;0;3;21;4;32;1;55;0;0;1;1;0;0;0;0;1;10;0;0;0;0;0;0
