Datum;Uhrzeit;Bezeichnung;Intervall;V21_AnfZ;V21_AnfB;V81_AnfZ;V81_AnfB;V381_AnfZ;V381_AnfB;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB
11.01.2024;13:19;A151;1;2;23;2;10;0;0;0;0;3;10;0;0;0;0
11.01.2024;13:18;A151;1;4;38;8;37;0;0;0;0;1;2;0;0;0;0
11.01.2024;13:17;A151;1;2;20;5;45;0;0;0;0;5;11;0;0;0;0
11.01.2024;13:16;A151;1;0;36;4;34;0;0;0;0;6;46;1;1;0;0
11.01.2024;13:15;A151;1;2;61;1;34;0;0;1;1;2;9;0;0;0;0
11.01.2024;13:14;A151;1;1;68;2;37;0;0;0;0;5;40;0;0;0;0
11.01.2024;13:13;A151;1;3;45;2;1;0;0;0;0;2;9;1;1;1;1
11.01.2024;13:12;A151;1;2;24;8;44;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:11;A151;1;4;56;2;32;0;0;0;0;5;12;0;0;0;0
11.01.2024;13:10;A151;1;2;27;4;23;0;0;0;0;1;2;0;0;0;0
11.01.2024;13:09;A151;1;4;22;3;47;0;0;0;0;4;10;0;0;0;0
11.01.2024;13:08;A151;1;4;25;2;25;0;0;0;0;5;16;0;0;0;0
11.01.2024;13:07;A151;1;4;31;5;44;0;0;0;0;2;4;0;0;0;0
11.01.2024;13:06;A151;1;2;23;2;4;0;0;0;0;1;2;0;0;0;0
11.01.2024;13:05;A151;1;3;23;7;39;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:04;A151;1;2;29;5;34;0;0;0;0;0;0;0;0;0;0
11.01.2024;13:03;A151;1;2;21;3;16;0;0;0;0;1;2;0;0;0;0
11.01.2024;13:02;A151;1;2;27;3;19;0;0;0;0;1;1;0;0;0;0
11.01.2024;13:01;A151;1;3;26;4;36;0;0;0;0;4;31;0;0;0;0
11.01.2024;13:00;A151;1;3;32;2;7;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:59;A151;1;3;31;7;50;0;0;0;0;1;6;0;0;0;0
11.01.2024;12:58;A151;1;3;37;2;12;0;0;0;0;1;2;0;0;0;0
11.01.2024;12:57;A151;1;3;61;3;14;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:56;A151;1;4;30;2;19;0;0;0;0;2;7;0;0;0;0
11.01.2024;12:55;A151;1;1;15;6;42;0;0;0;0;2;5;0;0;0;0
11.01.2024;12:54;A151;1;1;8;1;2;1;1;1;3;1;22;0;0;0;0
11.01.2024;12:53;A151;1;1;26;5;39;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:52;A151;1;4;51;1;9;0;0;0;0;1;1;0;0;0;0
11.01.2024;12:51;A151;1;3;59;2;8;0;0;0;0;4;23;0;0;0;0
11.01.2024;12:50;A151;1;2;34;8;43;0;0;0;0;3;15;1;1;1;1
11.01.2024;12:49;A151;1;2;36;6;40;0;0;0;0;0;0;0;0;0;0
11.01.2024;12:48;A151;1;2;29;2;14;0;0;0;0;2;32;0;0;0;0
11.01.2024;12:47;A151;1;3;54;4;34;1;1;1;1;3;8;0;0;0;0
11.01.2024;12:46;A151;1;2;49;5;19;0;0;0;0;4;16;0;0;0;0
11.01.2024;12:45;A151;1;3;79;3;89;0;0;0;0;3;40;0;0;0;0
11.01.2024;12:44;A151;1;3;20;4;23;0;0;0;0;2;25;0;0;1;1
11.01.2024;12:43;A151;1;2;68;5;49;0;0;0;0;2;7;0;0;0;0
11.01.2024;12:42;A151;1;4;80;5;34;2;3;2;3;3;27;0;0;0;0
