Datum;Uhrzeit;Bezeichnung;Intervall;VD21Z;VD21B;V22Z;V22B;V51Z;V51B;V52Z;V52B;VD81Z;VD81B;VD82Z;VD82B;V83Z;V83B;V111Z;V111B;V112Z;V112B;TF32Z;TF32B;TBS32Z;TBS32B;TF35Z;TF35B;TBS35Z;TBS35B;TF38Z;TF38B;TBS38Z;TBS38B;TF41Z;TF41B;TBS41Z;TBS41B
16.02.2025;00:25;A 59;1;0;0;0;0;0;0;0;100;0;0;0;0;3;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;0;0
16.02.2025;00:24;A 59;1;0;0;0;0;0;0;1;67;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:23;A 59;1;1;5;2;7;0;0;3;15;0;0;2;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
16.02.2025;00:22;A 59;1;0;0;0;0;0;0;0;0;0;0;1;4;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
16.02.2025;00:21;A 59;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:20;A 59;1;0;3;0;0;0;0;0;0;0;0;1;3;2;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0
16.02.2025;00:19;A 59;1;1;0;1;13;0;0;1;9;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:18;A 59;1;1;1;1;8;1;14;0;0;0;0;1;4;2;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;7
16.02.2025;00:17;A 59;1;0;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;2;0;0
16.02.2025;00:16;A 59;1;0;0;0;0;0;0;1;4;0;0;1;12;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:15;A 59;1;0;0;0;0;1;9;0;0;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
16.02.2025;00:14;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
16.02.2025;00:13;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0
16.02.2025;00:12;A 59;1;4;12;2;65;0;0;0;0;0;0;2;8;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
16.02.2025;00:11;A 59;1;1;9;2;20;0;0;1;9;0;0;2;18;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
16.02.2025;00:10;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:09;A 59;1;1;1;0;5;1;8;0;0;0;0;0;0;2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;1;1
