Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;Anf_32Z;Anf_32B
22.06.2024;00:56;A182;1;2;25;1;8;0;0;0;0;0;0;0;0;0;0;1;3
22.06.2024;00:55;A182;1;0;0;0;0;1;66;1;64;0;0;0;0;1;1;2;3
22.06.2024;00:54;A182;1;0;0;1;3;1;49;1;40;0;0;0;0;0;0;0;0
22.06.2024;00:53;A182;1;0;0;0;0;0;0;1;50;0;0;0;0;0;0;0;0
22.06.2024;00:52;A182;1;1;8;1;2;0;0;0;0;0;0;0;0;0;0;0;0
22.06.2024;00:51;A182;1;0;0;0;0;1;1;1;1;0;0;1;1;3;2;1;1
22.06.2024;00:50;A182;1;1;5;3;12;0;1;0;0;0;0;2;4;0;0;0;0
22.06.2024;00:49;A182;1;2;12;2;5;3;35;2;41;0;0;0;0;2;2;0;0
22.06.2024;00:48;A182;1;1;4;1;3;1;70;0;0;0;0;0;0;5;3;0;0
22.06.2024;00:47;A182;1;0;0;1;5;1;37;0;0;0;0;0;0;0;0;0;0
22.06.2024;00:46;A182;1;1;8;2;11;0;0;0;0;0;0;0;0;0;0;0;0
22.06.2024;00:45;A182;1;0;0;2;11;1;16;0;36;0;0;0;0;2;2;0;0
22.06.2024;00:44;A182;1;0;0;0;0;0;0;1;55;0;0;2;1;4;4;4;4
22.06.2024;00:43;A182;1;2;30;3;13;0;0;0;0;0;0;0;0;4;42;1;1
22.06.2024;00:42;A182;1;2;14;3;16;0;0;1;1;0;0;0;0;2;1;6;18
22.06.2024;00:41;A182;1;1;13;2;10;2;62;1;64;0;0;0;0;0;0;5;12
22.06.2024;00:40;A182;1;0;0;0;0;1;22;1;40;0;0;0;0;0;0;0;0
22.06.2024;00:39;A182;1;0;0;2;5;3;11;0;0;0;0;0;0;2;1;1;2
22.06.2024;00:38;A182;1;2;6;1;3;1;1;1;41;0;0;0;0;3;5;0;0
22.06.2024;00:37;A182;1;2;4;1;3;0;0;0;0;0;0;1;1;1;1;0;0
22.06.2024;00:36;A182;1;3;19;3;9;0;0;0;0;0;0;1;1;3;2;0;0
22.06.2024;00:35;A182;1;0;0;1;7;0;0;0;4;0;0;0;0;0;0;0;0
22.06.2024;00:34;A182;1;2;19;2;11;0;0;1;18;0;0;0;0;0;0;0;0
22.06.2024;00:33;A182;1;1;4;1;2;0;0;0;0;0;0;0;0;2;1;0;0
22.06.2024;00:32;A182;1;0;0;0;0;1;27;0;29;0;0;0;0;0;0;0;0
22.06.2024;00:31;A182;1;2;16;2;12;1;63;1;78;0;0;0;0;2;1;0;0
22.06.2024;00:30;A182;1;2;16;2;9;0;0;1;33;0;0;0;0;2;1;0;0
22.06.2024;00:29;A182;1;0;0;0;0;0;0;0;0;0;0;2;1;4;3;0;0
22.06.2024;00:28;A182;1;1;7;1;4;1;1;0;0;0;0;2;1;0;0;0;0
22.06.2024;00:27;A182;1;0;0;0;0;1;2;0;0;0;0;0;0;3;2;0;0
22.06.2024;00:26;A182;1;1;10;3;10;1;1;0;0;0;0;0;0;4;2;1;1
22.06.2024;00:25;A182;1;1;5;1;4;3;19;0;0;0;0;0;0;9;14;0;0
22.06.2024;00:24;A182;1;1;5;1;3;0;0;1;60;0;0;2;3;4;9;0;0
22.06.2024;00:23;A182;1;3;22;2;7;0;1;1;2;0;0;0;0;1;1;0;0
22.06.2024;00:22;A182;1;2;14;2;8;1;96;1;15;0;0;2;1;0;0;0;0
22.06.2024;00:21;A182;1;1;10;3;11;1;9;0;1;0;0;1;2;0;0;0;0
22.06.2024;00:20;A182;1;0;0;0;0;2;9;1;43;0;0;0;0;4;2;0;0
22.06.2024;00:19;A182;1;2;11;1;10;2;66;1;40;0;0;1;4;1;2;0;0
22.06.2024;00:18;A182;1;1;2;1;11;1;67;0;0;0;0;0;0;5;4;2;3
22.06.2024;00:17;A182;1;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0
22.06.2024;00:16;A182;1;2;18;2;6;1;27;0;0;0;0;0;0;2;1;0;0
22.06.2024;00:15;A182;1;0;0;1;5;3;35;0;0;0;0;0;0;0;0;0;0
22.06.2024;00:14;A182;1;0;0;2;7;2;18;1;2;0;0;0;0;2;2;0;0
22.06.2024;00:13;A182;1;1;6;1;4;2;61;0;65;0;0;0;0;5;3;0;0
22.06.2024;00:12;A182;1;1;11;2;5;1;35;1;47;0;0;0;0;0;0;0;0
22.06.2024;00:11;A182;1;1;5;3;11;1;21;1;27;0;0;0;0;0;0;0;0
22.06.2024;00:10;A182;1;1;9;1;10;1;69;0;0;0;0;2;1;4;3;0;0
22.06.2024;00:09;A182;1;1;14;1;4;0;0;0;0;0;0;2;1;0;0;0;0
22.06.2024;00:08;A182;1;1;12;5;22;1;1;1;1;0;0;0;0;0;0;0;0
22.06.2024;00:07;A182;1;0;0;2;9;2;5;0;7;0;0;0;0;0;0;4;4
22.06.2024;00:06;A182;1;0;0;0;0;1;4;1;35;0;0;0;0;4;5;0;0
22.06.2024;00:05;A182;1;1;4;3;9;0;0;0;0;0;0;0;0;6;2;0;0
22.06.2024;00:04;A182;1;1;5;1;6;4;3;0;0;0;0;0;0;0;0;0;0
22.06.2024;00:03;A182;1;2;23;2;12;0;0;0;0;0;0;1;1;6;6;1;1
22.06.2024;00:02;A182;1;1;5;1;4;0;0;0;33;0;0;0;0;2;2;0;0
22.06.2024;00:01;A182;1;2;2;3;10;0;0;1;29;0;0;0;0;1;1;0;0
22.06.2024;00:00;A182;1;1;6;1;46;0;0;1;1;0;0;1;1;0;0;0;0
21.06.2024;23:59;A182;1;1;4;1;4;1;55;0;0;0;0;2;1;0;0;0;0
21.06.2024;23:58;A182;1;2;10;3;7;1;1;1;41;0;0;0;0;5;3;0;0
21.06.2024;23:57;A182;1;1;1;3;7;1;89;0;0;0;0;1;1;0;0;0;0
21.06.2024;23:56;A182;1;1;5;1;9;2;31;0;4;0;0;1;1;3;3;0;0
21.06.2024;23:55;A182;1;2;10;1;4;1;17;1;52;0;0;0;0;3;4;0;0
21.06.2024;23:54;A182;1;1;5;3;11;1;1;0;0;0;0;0;0;0;0;0;0
21.06.2024;23:53;A182;1;1;9;1;4;1;2;1;1;0;0;0;0;0;0;5;10
21.06.2024;23:52;A182;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;15;19
21.06.2024;23:51;A182;1;0;19;3;11;3;9;1;9;0;0;4;3;1;1;0;0
21.06.2024;23:50;A182;1;2;29;1;4;0;0;0;0;0;0;0;0;5;3;0;0
21.06.2024;23:49;A182;1;1;7;4;20;3;45;0;0;0;0;0;0;4;2;0;0
21.06.2024;23:48;A182;1;1;8;3;15;3;11;2;15;0;0;1;1;3;3;1;2
21.06.2024;23:47;A182;1;3;13;4;17;1;4;0;0;0;0;0;0;4;2;0;0
21.06.2024;23:46;A182;1;0;0;0;0;0;0;1;23;0;0;0;1;3;4;0;0
21.06.2024;23:45;A182;1;0;0;2;3;2;73;4;52;0;0;3;4;5;5;0;0
