Datum;Uhrzeit;Bezeichnung;Intervall;V51_A9/M2_510Z;V51_A9/M2_510B;H51_A135/1_492Z;H51_A135/1_492B;A51_M1_493Z;A51_M1_493B;H55_A110/M3_12XZ;H55_A110/M3_12XB;A55_M2_1290/12XZ;A55_M2_1290/12XB;MP3_SL_A110Z;MP3_SL_A110B;Anf_32Z;Anf_32B
10.09.2024;02:00;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:59;A 74;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10.09.2024;01:58;A 74;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0
10.09.2024;01:57;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:56;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:55;A 74;1;0;0;0;0;1;8;0;0;0;0;0;0;0;0
10.09.2024;01:54;A 74;1;0;0;0;0;1;8;0;0;0;0;0;0;0;0
10.09.2024;01:53;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:52;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:51;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:50;A 74;1;0;0;0;0;1;13;0;0;0;0;0;0;0;0
10.09.2024;01:49;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:48;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:47;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:46;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:45;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:44;A 74;1;1;8;1;13;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:43;A 74;1;0;0;0;0;1;13;0;0;0;0;0;0;0;0
10.09.2024;01:42;A 74;1;0;0;0;0;0;0;0;0;0;14;0;0;0;0
10.09.2024;01:41;A 74;1;0;0;0;0;0;0;0;0;1;6;0;0;0;0
10.09.2024;01:40;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:39;A 74;1;0;0;0;0;1;7;0;0;0;0;0;0;0;0
10.09.2024;01:38;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:37;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:36;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:35;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:34;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:33;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:32;A 74;1;0;0;2;11;1;7;1;3;0;0;0;0;0;0
10.09.2024;01:31;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:30;A 74;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0
10.09.2024;01:29;A 74;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
10.09.2024;01:28;A 74;1;0;0;0;0;1;24;0;0;0;0;0;0;0;0
10.09.2024;01:27;A 74;1;0;0;1;21;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:26;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:25;A 74;1;0;0;1;15;1;12;0;0;0;0;0;0;0;0
10.09.2024;01:24;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:23;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:22;A 74;1;0;0;0;0;1;9;1;1;0;0;0;0;0;0
10.09.2024;01:21;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:20;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:19;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:18;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:17;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:16;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:15;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:14;A 74;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:13;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:12;A 74;1;1;2;1;10;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:11;A 74;1;0;0;1;10;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:10;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:09;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:08;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:07;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:06;A 74;1;0;0;0;0;4;30;0;0;0;0;0;0;0;0
10.09.2024;01:05;A 74;1;0;0;0;0;1;8;0;0;0;0;0;0;0;0
10.09.2024;01:04;A 74;1;0;0;1;14;0;0;0;0;1;26;1;1;2;3
10.09.2024;01:03;A 74;1;0;0;1;12;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:02;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;01:01;A 74;1;0;0;0;0;1;8;0;0;0;0;0;0;0;0
10.09.2024;01:00;A 74;1;0;0;2;21;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:59;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:58;A 74;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:57;A 74;1;0;0;0;0;3;5;0;0;0;0;0;0;0;0
10.09.2024;00:56;A 74;1;0;0;2;10;0;2;0;0;0;0;0;0;0;0
10.09.2024;00:55;A 74;1;0;0;1;20;2;14;0;0;0;0;0;0;0;0
10.09.2024;00:54;A 74;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:53;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:52;A 74;1;0;0;0;0;1;10;0;0;0;0;0;0;0;0
10.09.2024;00:51;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:50;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:49;A 74;1;0;0;0;0;2;36;1;0;0;0;0;0;0;0
10.09.2024;00:48;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:47;A 74;1;0;0;0;0;1;8;0;0;0;0;0;0;0;0
10.09.2024;00:46;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:45;A 74;1;0;0;0;0;1;11;0;0;0;0;0;0;0;0
10.09.2024;00:44;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:43;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:42;A 74;1;0;0;1;39;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:41;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:40;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:39;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:38;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:37;A 74;1;0;0;0;0;2;18;0;0;0;0;0;0;0;0
10.09.2024;00:36;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:35;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:34;A 74;1;0;0;0;0;0;0;0;0;1;7;0;0;0;0
10.09.2024;00:33;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:32;A 74;1;0;0;1;17;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:31;A 74;1;0;0;2;23;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:30;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:29;A 74;1;1;12;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:28;A 74;1;0;0;1;10;0;1;0;0;0;0;0;0;0;0
10.09.2024;00:27;A 74;1;0;0;0;0;2;13;0;0;0;0;0;0;0;0
10.09.2024;00:26;A 74;1;0;0;0;0;2;18;2;4;0;0;0;0;0;0
10.09.2024;00:25;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:24;A 74;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:23;A 74;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0
10.09.2024;00:22;A 74;1;1;17;0;0;2;12;1;0;0;0;0;0;0;0
10.09.2024;00:21;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:20;A 74;1;1;4;0;6;1;9;1;12;0;0;0;0;0;0
10.09.2024;00:19;A 74;1;0;0;1;2;1;7;1;7;0;0;0;0;0;0
10.09.2024;00:18;A 74;1;0;0;0;0;1;16;0;0;1;6;0;0;0;0
10.09.2024;00:17;A 74;1;0;0;0;0;2;7;0;0;0;0;0;0;0;0
10.09.2024;00:16;A 74;1;0;0;0;0;1;7;0;0;0;0;0;0;0;0
10.09.2024;00:15;A 74;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:14;A 74;1;1;7;3;31;0;0;0;0;0;0;0;0;0;0
10.09.2024;00:13;A 74;1;0;0;1;22;0;0;0;0;0;0;0;0;0;0
