Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D57Z;D57B;A5_M1_460Z;A5_M1_460B;A57_M2_464Z;A57_M2_464B;T7_8Z;T7_8B;D43Z;D43B
09.06.2024;06:12;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;06:11;A 10;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
09.06.2024;06:10;A 10;1;1;4;0;0;0;0;0;0;1;32;1;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;06:09;A 10;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;06:08;A 10;1;1;2;0;0;0;0;0;0;1;8;1;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;06:07;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;06:06;A 10;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;06:05;A 10;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;06:04;A 10;1;1;2;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;06:03;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;2;1;2;1;18;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;06:02;A 10;1;0;0;0;0;0;0;0;0;2;6;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;06:01;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;06:00;A 10;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0
09.06.2024;05:59;A 10;1;0;0;1;1;1;1;0;0;1;70;1;70;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:58;A 10;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;17;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:57;A 10;1;0;0;1;1;0;0;0;0;1;22;0;0;1;1;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:56;A 10;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;51;0;0;0;0;0;0;0;0;0;0;1;2
09.06.2024;05:55;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;0;0;1;45;0;4;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:54;A 10;1;1;1;0;0;0;0;0;0;0;0;1;0;1;2;1;2;0;0;0;14;1;24;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:53;A 10;1;1;2;1;1;0;0;0;0;2;30;2;28;0;0;0;0;0;0;1;17;0;0;0;0;1;2;0;0;0;0;0;0
09.06.2024;05:52;A 10;1;0;0;2;2;2;2;0;0;1;93;1;91;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2
09.06.2024;05:51;A 10;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:50;A 10;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;2;3;0;0;1;36;1;1;0;0;0;0;0;0;0;0;2;2
09.06.2024;05:49;A 10;1;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;1;61;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:48;A 10;1;1;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:47;A 10;1;1;18;3;3;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:46;A 10;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:45;A 10;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:44;A 10;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:43;A 10;1;0;0;0;0;0;0;0;0;2;49;2;47;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;3;3
09.06.2024;05:42;A 10;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;1;42;0;0;0;0;0;0;0;0
09.06.2024;05:41;A 10;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:40;A 10;1;0;0;1;1;0;0;0;0;0;8;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:39;A 10;1;0;0;0;0;0;0;0;0;1;33;0;0;1;1;0;0;0;0;1;72;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:38;A 10;1;0;0;1;1;1;2;0;0;1;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
09.06.2024;05:37;A 10;1;0;0;1;1;0;0;0;0;0;0;0;77;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:36;A 10;1;0;0;2;4;1;1;0;0;1;4;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
09.06.2024;05:35;A 10;1;1;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
09.06.2024;05:34;A 10;1;1;1;1;1;0;0;0;0;1;37;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:33;A 10;1;2;3;1;1;1;1;0;0;1;64;0;0;0;0;0;0;0;0;2;18;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:32;A 10;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:31;A 10;1;1;2;0;0;0;0;0;0;0;0;2;2;0;0;1;1;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:30;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:29;A 10;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;2;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:28;A 10;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:27;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;1;0;0;0;0;0;0;0;0
09.06.2024;05:26;A 10;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;55;0;0;0;0;0;0;0;0;2;2
09.06.2024;05:25;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:24;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
09.06.2024;05:23;A 10;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2
09.06.2024;05:22;A 10;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;34;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:21;A 10;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;49;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:20;A 10;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:19;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:18;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;2;0;0
09.06.2024;05:17;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:16;A 10;1;1;4;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;51;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:15;A 10;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;1;10;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:14;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
09.06.2024;05:13;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
09.06.2024;05:12;A 10;1;0;0;1;2;0;0;0;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
09.06.2024;05:11;A 10;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;2;0;0;1;22;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:10;A 10;1;0;0;2;2;0;0;0;0;2;85;0;0;0;0;0;0;0;0;1;28;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:09;A 10;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:08;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;1;2;0;0
09.06.2024;05:07;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:06;A 10;1;0;0;0;0;1;1;0;0;1;34;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:05;A 10;1;0;0;0;0;0;0;0;0;1;56;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;3
09.06.2024;05:04;A 10;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:03;A 10;1;0;0;0;0;0;0;0;0;2;38;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;3
09.06.2024;05:02;A 10;1;0;0;0;0;0;0;0;0;1;68;0;0;0;0;1;1;0;0;0;50;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;05:01;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;45;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;05:00;A 10;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;1;2
09.06.2024;04:59;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;60;0;0;0;0;0;0;0;0;0;0;1;1
09.06.2024;04:58;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;74;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;04:57;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;65;0;0;0;0;0;0;0;0;0;0;2;3
09.06.2024;04:56;A 10;1;0;0;0;0;0;0;0;0;1;23;1;20;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;2;3;4
09.06.2024;04:55;A 10;1;0;0;0;0;1;2;0;0;0;78;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;04:54;A 10;1;0;0;0;0;0;0;0;0;1;13;0;0;0;0;1;1;0;0;1;30;0;0;0;0;0;0;0;0;0;0;2;3
09.06.2024;04:53;A 10;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2
09.06.2024;04:52;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2024;04:51;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
