Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D51Z;D51B;D81Z;D81B;D82Z;D82B;D91Z;D91B;D41Z;D41B;D42_1Z;D42_1B;_FG32Z;_FG32B;_FG33Z;_FG33B;_FG38Z;_FG38B;V83Z;V83B;V84Z;V84B;V92Z;V92B;V43Z;V43B;V44Z;V44B
28.09.2024;01:23;A 11;1;0;0;4;15;0;0;1;0;4;5;0;0;0;100;0;100;0;0;0;0;0;0;6;29;9;29;4;27;0;0;0;0
28.09.2024;01:22;A 11;1;1;11;0;0;0;0;1;2;1;1;1;2;0;100;0;100;0;0;0;0;0;0;2;8;2;10;1;19;0;0;0;0
28.09.2024;01:21;A 11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;01:20;A 11;1;2;15;3;27;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;01:19;A 11;1;4;13;1;3;0;0;0;4;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;6;4;8;0;0;0;0;1;5
28.09.2024;01:18;A 11;1;0;0;0;0;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;7;1;2;0;0;0;0;0;0
28.09.2024;01:17;A 11;1;0;0;1;13;0;0;0;0;1;2;0;0;0;100;0;100;0;0;0;0;0;0;0;0;1;9;1;9;0;0;0;0
28.09.2024;01:16;A 11;1;1;8;1;59;0;0;1;2;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;14;2;10;1;8;1;4;2;2
28.09.2024;01:15;A 11;1;9;36;3;11;0;0;3;2;3;3;3;4;0;100;0;100;0;0;0;0;0;0;6;28;6;26;9;38;0;0;0;0
28.09.2024;01:14;A 11;1;1;23;0;0;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
28.09.2024;01:13;A 11;1;2;17;2;9;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;4;7;0;0;0;0;0;0;0;0
28.09.2024;01:12;A 11;1;4;15;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;01:11;A 11;1;1;8;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;01:10;A 11;1;3;6;1;9;0;0;2;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;3;6;1;7;1;9;0;0;0;0
28.09.2024;01:09;A 11;1;0;0;1;8;1;1;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0
28.09.2024;01:08;A 11;1;0;2;1;4;0;0;2;0;2;3;0;0;0;100;0;100;0;0;0;0;0;0;0;0;1;17;1;19;0;0;0;0
28.09.2024;01:07;A 11;1;2;30;7;24;0;0;1;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;0;0;3;7;1;11;0;0;0;0
28.09.2024;01:06;A 11;1;4;8;1;7;0;0;1;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;12;0;0;0;0;0;0;2;13
28.09.2024;01:05;A 11;1;0;0;0;0;0;0;4;5;1;1;0;0;0;100;0;100;0;0;0;0;0;0;4;35;3;6;1;3;0;0;0;0
28.09.2024;01:04;A 11;1;2;9;2;6;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0
