Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V111Z;V111B;TF35Z;TF35B;TBS35Z;TBS35B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB
18.01.2024;01:00;A108;1;1;10;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:59;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:58;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:57;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:56;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:55;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:54;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:53;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:52;A108;1;1;12;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:51;A108;1;0;0;2;26;0;0;0;0;0;0;0;0
18.01.2024;00:50;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:49;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:48;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:47;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:46;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:45;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:44;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:43;A108;1;1;5;2;27;0;0;0;0;0;0;0;0
18.01.2024;00:42;A108;1;0;10;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:41;A108;1;1;2;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:40;A108;1;1;10;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:39;A108;1;0;0;1;20;0;0;0;0;0;0;0;0
18.01.2024;00:38;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:37;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:36;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:35;A108;1;1;10;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:34;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:33;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:32;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:31;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:30;A108;1;0;0;1;13;0;0;0;0;0;0;0;0
18.01.2024;00:29;A108;1;0;0;1;11;0;0;0;0;0;0;0;0
18.01.2024;00:28;A108;1;0;0;1;9;0;0;0;0;0;0;0;0
18.01.2024;00:27;A108;1;1;9;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:26;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:25;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:24;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:23;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:22;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:21;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:20;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:19;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:18;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:17;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:16;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2024;00:15;A108;1;0;0;0;0;0;0;0;0;0;0;0;0
