Datum;Uhrzeit;Bezeichnung;Intervall;Fg35_T1_T2Z;Fg35_T1_T2B
12.04.2024;01:15;A105;1;0;0
11.04.2024;23:57;A105;1;0;0
11.04.2024;23:56;A105;1;0;0
11.04.2024;23:55;A105;1;0;0
11.04.2024;23:54;A105;1;1;2
11.04.2024;23:53;A105;1;0;0
11.04.2024;23:52;A105;1;0;0
11.04.2024;18:44;A105;1;0;0
11.04.2024;18:43;A105;1;1;2
11.04.2024;18:42;A105;1;0;0
11.04.2024;18:41;A105;1;2;4
11.04.2024;18:40;A105;1;0;0
11.04.2024;18:39;A105;1;1;2
11.04.2024;06:21;A105;1;0;0
11.04.2024;06:20;A105;1;0;0
11.04.2024;06:19;A105;1;0;0
11.04.2024;06:18;A105;1;0;0
11.04.2024;06:17;A105;1;0;0
11.04.2024;05:41;A105;1;0;0
