Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;H51_A74/M1S_493Z;H51_A74/M1S_493B;A51_M1S_494Z;A51_M1S_494B;H55_A30/M3S_504Z;H55_A30/M3S_504B;A55_M3S_505Z;A55_M3S_505B;H54_M3SL_1289Z;H54_M3SL_1289B;A54_M4SL_506Z;A54_M4SL_506B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
12.04.2024;01:15;A110;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;23:57;A110;1;1;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;23:56;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;23:55;A110;1;0;0;2;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;23:54;A110;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;23:53;A110;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;23:52;A110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;18:44;A110;1;1;2;1;2;5;17;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;18:43;A110;1;2;2;2;2;4;15;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;18:42;A110;1;2;2;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;18:41;A110;1;1;2;2;2;7;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;18:40;A110;1;0;0;4;7;2;29;0;0;1;2;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;18:39;A110;1;1;0;3;3;2;4;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;06:21;A110;1;0;0;0;0;1;1;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;06:20;A110;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;06:19;A110;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;06:18;A110;1;1;2;1;2;2;2;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;06:17;A110;1;0;0;0;0;2;2;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
11.04.2024;05:41;A110;1;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
