Datum;Uhrzeit;Bezeichnung;Intervall;V21_AnfZ;V21_AnfB;V81_AnfZ;V81_AnfB;V381_AnfZ;V381_AnfB;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB
12.04.2024;01:30;A151;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;01:14;A151;1;1;11;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:56;A151;1;1;26;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:55;A151;1;0;6;1;3;0;0;0;0;1;25;0;0;0;0
11.04.2024;23:54;A151;1;2;13;0;0;0;0;0;0;3;11;0;0;0;0
11.04.2024;23:53;A151;1;4;29;1;5;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:52;A151;1;0;7;1;11;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:51;A151;1;3;17;1;10;0;0;0;0;1;0;0;0;0;0
11.04.2024;23:35;A151;1;1;9;1;4;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:24;A151;1;1;23;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:01;A151;1;1;10;2;25;0;0;0;0;0;0;0;0;0;0
11.04.2024;22:46;A151;1;3;46;3;22;1;1;1;1;1;50;0;0;0;0
11.04.2024;22:38;A151;1;4;40;2;19;0;0;0;0;0;0;0;0;0;0
11.04.2024;22:02;A151;1;0;0;4;32;0;0;0;0;2;4;0;0;0;0
11.04.2024;21:48;A151;1;0;0;5;30;0;0;0;0;2;4;0;0;0;0
11.04.2024;21:27;A151;1;2;20;1;8;0;0;0;0;2;5;0;0;0;0
11.04.2024;21:03;A151;1;1;13;3;21;0;0;0;0;1;3;0;0;0;0
11.04.2024;20:16;A151;1;2;84;3;42;0;0;0;0;2;11;1;1;1;1
11.04.2024;19:48;A151;1;2;18;1;12;0;0;0;0;2;4;0;0;0;0
11.04.2024;19:29;A151;1;2;40;1;19;0;0;0;0;2;3;0;0;0;0
11.04.2024;19:23;A151;1;4;25;2;17;0;0;0;0;5;12;0;0;0;0
11.04.2024;19:09;A151;1;3;62;4;23;0;0;0;0;4;13;0;0;0;0
11.04.2024;19:02;A151;1;2;34;1;4;0;0;0;0;5;18;0;0;0;0
11.04.2024;18:43;A151;1;2;66;5;66;0;0;0;0;3;4;0;0;0;0
11.04.2024;18:42;A151;1;4;83;1;42;0;0;0;0;4;23;0;0;0;0
11.04.2024;18:41;A151;1;4;24;3;42;1;1;0;0;3;8;0;0;0;0
11.04.2024;18:40;A151;1;2;26;3;20;0;0;0;0;2;3;0;0;0;0
11.04.2024;18:39;A151;1;5;56;4;32;0;0;0;0;3;10;0;0;0;0
11.04.2024;18:38;A151;1;3;50;1;33;0;0;0;0;6;17;0;0;0;0
11.04.2024;13:50;A151;1;2;71;6;52;0;0;0;0;3;17;0;0;0;0
11.04.2024;06:49;A151;1;2;21;3;17;0;0;0;0;1;4;0;0;0;0
11.04.2024;06:20;A151;1;0;0;2;14;0;0;0;0;2;3;0;0;0;0
11.04.2024;06:19;A151;1;1;8;2;13;0;0;0;0;0;0;0;0;0;0
11.04.2024;06:18;A151;1;1;7;2;18;0;0;0;0;2;5;0;0;0;0
11.04.2024;06:17;A151;1;1;9;1;6;0;0;0;0;1;2;0;0;0;0
11.04.2024;06:16;A151;1;2;34;1;7;0;0;0;0;1;2;0;0;0;0
11.04.2024;05:40;A151;1;0;0;3;29;0;0;0;0;1;0;0;0;0;0
