Datum;Uhrzeit;Bezeichnung;Intervall;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB;MP11Z;MP11B;MP12Z;MP12B;MP13Z;MP13B;MP51Z;MP51B;MP52Z;MP52B;MP53Z;MP53B;MP54Z;MP54B
12.04.2024;01:14;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;23:56;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;23:55;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;23:54;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;23:53;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;23:52;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;23:51;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;18:43;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;18:42;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;18:41;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;18:40;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;18:39;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;18:38;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;06:20;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;06:19;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;06:18;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;06:17;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;06:16;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11.04.2024;05:40;A113;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
