Datum;Uhrzeit;Bezeichnung;Intervall;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;TFWZ;TFWB
12.04.2024;01:14;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;23:56;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;23:55;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;23:54;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;23:53;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;23:52;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;23:51;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;18:43;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;18:42;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;18:41;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;18:40;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;18:39;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;18:38;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;06:20;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;06:19;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;06:18;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;06:17;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;06:16;A130;1;0;0;0;0;0;0;0;0;;
11.04.2024;05:40;A130;1;0;0;0;0;0;0;0;0;;
