Datum;Uhrzeit;Bezeichnung;Intervall;TF32_AFZ;TF32_AFB;TBS32_AFZ;TBS32_AFB;TB32a_AFZ;TB32a_AFB;TBs32a_AFZ;TBs32a_AFB
12.04.2024;01:56;A166;1;0;0;0;0;0;0;0;0
12.04.2024;01:40;A166;1;0;0;0;0;0;0;0;0
12.04.2024;01:32;A166;1;0;0;0;0;0;0;0;0
12.04.2024;01:30;A166;1;0;0;0;0;0;0;0;0
12.04.2024;01:22;A166;1;0;0;0;0;0;0;0;0
12.04.2024;01:14;A166;1;0;0;0;0;0;0;0;0
12.04.2024;01:10;A166;1;0;0;0;0;0;0;0;0
12.04.2024;01:02;A166;1;0;0;0;0;0;0;0;0
12.04.2024;00:56;A166;1;0;0;0;0;0;0;0;0
12.04.2024;00:54;A166;1;0;0;0;0;0;0;0;0
12.04.2024;00:38;A166;1;0;0;0;0;0;0;0;0
12.04.2024;00:26;A166;1;0;0;0;0;0;0;0;0
12.04.2024;00:09;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:56;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:55;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:54;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:53;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:52;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:51;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:50;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:43;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:35;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:24;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:10;A166;1;0;0;0;0;0;0;0;0
11.04.2024;23:01;A166;1;0;0;0;0;0;0;0;0
11.04.2024;22:56;A166;1;0;0;0;0;0;0;0;0
11.04.2024;22:46;A166;1;0;0;0;0;0;0;0;0
11.04.2024;22:38;A166;1;0;0;0;0;0;0;0;0
11.04.2024;22:29;A166;1;0;0;0;0;0;0;0;0
11.04.2024;22:17;A166;1;0;0;0;0;0;0;0;0
11.04.2024;22:05;A166;1;0;0;0;0;0;0;0;0
11.04.2024;22:02;A166;1;0;0;0;0;0;0;0;0
11.04.2024;21:55;A166;1;0;0;0;0;0;0;0;0
11.04.2024;21:48;A166;1;0;0;0;0;0;0;0;0
11.04.2024;21:38;A166;1;0;0;0;0;0;0;0;0
11.04.2024;21:27;A166;1;0;0;0;0;0;0;0;0
11.04.2024;21:13;A166;1;0;0;0;0;0;0;0;0
11.04.2024;21:03;A166;1;0;0;0;0;0;0;0;0
11.04.2024;20:56;A166;1;0;0;0;0;0;0;0;0
11.04.2024;20:40;A166;1;0;0;0;0;0;0;0;0
11.04.2024;20:20;A166;1;0;0;0;0;0;0;0;0
11.04.2024;20:16;A166;1;0;0;0;0;0;0;0;0
11.04.2024;20:12;A166;1;0;0;0;0;0;0;0;0
11.04.2024;20:05;A166;1;0;0;0;0;0;0;0;0
11.04.2024;19:48;A166;1;0;0;0;0;0;0;0;0
11.04.2024;19:41;A166;1;0;0;0;0;0;0;0;0
11.04.2024;19:29;A166;1;2;3;1;3;0;0;0;0
11.04.2024;19:23;A166;1;0;0;0;0;0;0;0;0
11.04.2024;19:16;A166;1;0;0;0;0;0;0;0;0
11.04.2024;19:09;A166;1;0;0;0;0;0;0;0;0
11.04.2024;19:02;A166;1;0;0;0;0;0;0;0;0
11.04.2024;19:00;A166;1;0;0;0;0;0;0;0;0
11.04.2024;18:43;A166;1;0;0;0;0;0;0;0;0
11.04.2024;18:42;A166;1;0;0;0;0;0;0;0;0
11.04.2024;18:41;A166;1;0;0;0;0;0;0;0;0
11.04.2024;18:40;A166;1;0;0;0;0;0;0;0;0
11.04.2024;18:39;A166;1;0;0;0;0;0;0;0;0
11.04.2024;18:38;A166;1;0;0;0;0;0;0;0;0
11.04.2024;17:22;A166;1;0;0;0;0;0;0;0;0
11.04.2024;17:04;A166;1;0;0;0;0;0;0;0;0
11.04.2024;16:57;A166;1;0;0;0;0;0;0;0;0
11.04.2024;16:50;A166;1;0;0;0;0;0;0;0;0
11.04.2024;16:44;A166;1;0;0;0;0;0;0;0;0
11.04.2024;16:37;A166;1;1;1;0;0;0;0;0;0
11.04.2024;16:28;A166;1;0;0;0;0;0;0;0;0
11.04.2024;16:17;A166;1;0;0;0;0;1;1;0;0
11.04.2024;16:09;A166;1;0;0;0;0;0;0;0;0
11.04.2024;15:54;A166;1;0;0;0;0;0;0;0;0
11.04.2024;15:38;A166;1;0;0;0;0;0;0;0;0
11.04.2024;15:28;A166;1;0;0;0;0;0;0;0;0
11.04.2024;15:19;A166;1;0;0;0;0;0;0;0;0
11.04.2024;15:02;A166;1;0;0;0;0;0;0;0;0
11.04.2024;14:55;A166;1;0;0;0;0;0;0;0;0
11.04.2024;14:36;A166;1;0;0;0;0;0;0;0;0
11.04.2024;14:25;A166;1;0;0;0;0;0;0;0;0
11.04.2024;14:11;A166;1;0;0;0;0;0;0;0;0
11.04.2024;14:05;A166;1;0;0;0;0;0;0;0;0
11.04.2024;13:50;A166;1;0;0;0;0;0;0;0;0
11.04.2024;13:39;A166;1;0;0;0;0;0;0;0;0
11.04.2024;13:25;A166;1;0;0;0;0;0;0;0;0
11.04.2024;13:07;A166;1;0;0;0;0;0;0;0;0
11.04.2024;13:02;A166;1;0;0;0;0;0;0;0;0
11.04.2024;12:52;A166;1;0;0;0;0;0;0;0;0
11.04.2024;12:45;A166;1;0;0;0;0;1;1;0;0
11.04.2024;12:33;A166;1;0;0;0;0;0;0;0;0
11.04.2024;12:18;A166;1;0;0;0;0;0;0;0;0
11.04.2024;11:55;A166;1;0;0;0;0;0;0;0;0
11.04.2024;11:34;A166;1;0;0;0;0;0;0;0;0
11.04.2024;11:17;A166;1;0;0;0;0;0;0;0;0
11.04.2024;11:08;A166;1;0;0;0;0;0;0;0;0
11.04.2024;10:57;A166;1;0;0;0;0;0;0;0;0
11.04.2024;10:13;A166;1;0;0;0;0;0;0;0;0
11.04.2024;08:51;A166;1;0;0;0;0;0;0;0;0
11.04.2024;08:44;A166;1;0;0;0;0;0;0;0;0
11.04.2024;08:41;A166;1;0;0;0;0;0;0;0;0
11.04.2024;08:24;A166;1;0;0;0;0;0;0;0;0
11.04.2024;08:19;A166;1;0;0;0;0;0;0;0;0
11.04.2024;08:14;A166;1;0;0;0;0;0;0;0;0
11.04.2024;08:10;A166;1;0;0;0;0;0;0;0;0
11.04.2024;08:05;A166;1;0;0;0;0;0;0;0;0
11.04.2024;07:57;A166;1;0;0;0;0;0;0;0;0
11.04.2024;07:43;A166;1;0;0;0;0;0;0;0;0
11.04.2024;07:30;A166;1;0;0;0;0;0;0;0;0
11.04.2024;07:18;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:51;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:49;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:30;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:20;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:19;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:18;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:17;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:16;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:14;A166;1;0;0;0;0;0;0;0;0
11.04.2024;06:08;A166;1;0;0;0;0;0;0;0;0
11.04.2024;05:49;A166;1;0;0;0;0;0;0;0;0
11.04.2024;05:43;A166;1;0;0;0;0;0;0;0;0
11.04.2024;05:40;A166;1;0;0;0;0;0;0;0;0
11.04.2024;05:10;A166;1;0;0;0;0;0;0;0;0
11.04.2024;04:14;A166;1;0;0;0;0;0;0;0;0
11.04.2024;04:01;A166;1;0;0;0;0;0;0;0;0
11.04.2024;03:48;A166;1;0;0;0;0;0;0;0;0
11.04.2024;03:35;A166;1;0;0;0;0;0;0;0;0
11.04.2024;03:32;A166;1;0;0;0;0;0;0;0;0
11.04.2024;03:22;A166;1;0;0;0;0;0;0;0;0
11.04.2024;03:14;A166;1;0;0;0;0;0;0;0;0
11.04.2024;02:55;A166;1;0;0;0;0;0;0;0;0
11.04.2024;02:31;A166;1;0;0;0;0;0;0;0;0
11.04.2024;02:13;A166;1;0;0;0;0;0;0;0;0
