Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;V22Z;V22B;D31Z;D31B;V32Z;V32B;D51_1Z;D51_1B;D51_2Z;D51_2B;V52Z;V52B;D81Z;D81B;V82Z;V82B;D91Z;D91B;V92Z;V92B;D111_1Z;D111_1B;D111_2Z;D111_2B;V112Z;V112B;TF35Z;TF35B;TF38Z;TF38B;V381Z;V381B;TF41Z;TF41B;TB35Z;TB35B;TB38Z;TB38B;TB41Z;TB41B;V521Z;V521B;D981Z;D981B;V982Z;V982B;ST58Z;ST58B;OEV52Z;OEV52B;OEV58Z;OEV58B
12.04.2024;01:14;A 52;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;23:56;A 52;1;2;2;2;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;23:55;A 52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;23:54;A 52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23;0;5;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;23:53;A 52;1;5;11;5;20;2;1;1;8;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;23:52;A 52;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;23:51;A 52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;18:43;A 52;1;4;22;3;38;0;0;0;0;2;2;2;2;0;0;6;5;3;43;0;0;0;0;1;94;1;93;1;65;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;1;0;2;11;0;0;;;;
11.04.2024;18:42;A 52;1;6;32;8;27;0;0;1;6;0;0;0;0;0;0;4;6;2;49;0;0;1;4;1;67;1;69;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
11.04.2024;18:41;A 52;1;5;32;1;46;1;1;0;0;0;0;0;0;0;0;9;8;2;47;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;;;;
11.04.2024;18:40;A 52;1;9;24;4;47;2;0;0;0;0;0;0;0;0;0;10;8;2;43;1;0;0;0;2;4;2;42;2;52;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;18:39;A 52;1;3;8;2;26;0;0;0;0;2;60;2;60;1;37;6;6;2;40;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;18:38;A 52;1;8;57;1;34;0;0;0;0;1;2;1;2;1;5;5;47;2;62;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;06:20;A 52;1;1;0;2;7;0;0;0;0;0;0;0;0;0;0;2;1;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;06:19;A 52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;06:18;A 52;1;2;1;2;6;0;0;0;0;0;0;0;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;;;;
11.04.2024;06:17;A 52;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;36;1;67;2;19;0;0;1;12;1;2;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;06:16;A 52;1;4;3;2;11;1;0;0;0;0;0;0;0;0;0;6;5;3;38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
11.04.2024;05:40;A 52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
