Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;D11Z;D11B;D12Z;D12B;TF32Z;TF32B;TB32Z;TB32B;TF33Z;TF33B;TB33Z;TB33B;ST51Z;ST51B;ST55Z;ST55B;LUe_AbFV2_A8Z;LUe_AbFV2_A8B
12.04.2024;01:14;A 80;1;0;0;3;14;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:56;A 80;1;0;0;1;2;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:55;A 80;1;0;0;1;2;0;0;2;10;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:54;A 80;1;0;0;0;0;0;0;3;4;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:53;A 80;1;0;0;2;13;0;0;1;6;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;23:52;A 80;1;0;0;1;3;0;0;1;10;0;0;0;100;0;0;0;0;1;1;1;1;0;0;0;0;0;0
11.04.2024;23:51;A 80;1;0;0;0;0;0;0;6;7;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;18:43;A 80;1;3;3;5;51;0;0;3;26;1;25;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.04.2024;18:42;A 80;1;0;0;5;30;0;0;3;11;0;0;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.04.2024;18:41;A 80;1;0;0;3;16;0;0;6;49;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;18:40;A 80;1;2;10;4;28;0;0;3;32;1;21;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;18:39;A 80;1;0;0;3;18;1;1;2;54;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;18:38;A 80;1;0;0;1;5;0;0;4;23;0;0;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.04.2024;06:20;A 80;1;0;0;7;29;0;0;6;16;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;06:19;A 80;1;0;0;4;11;0;0;6;21;0;0;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.04.2024;06:18;A 80;1;0;0;2;3;0;0;15;35;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;06:17;A 80;1;0;0;4;19;0;0;2;57;0;0;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0
11.04.2024;06:16;A 80;1;0;0;4;6;0;0;2;11;1;21;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2024;05:40;A 80;1;0;0;0;0;0;0;13;39;1;20;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
