Datum;Uhrzeit;Bezeichnung;Intervall;TF35Z;TF35B;TF35aZ;TF35aB;TF36Z;TF36B;TF36aZ;TF36aB
12.04.2024;01:14;A114;1;0;0;0;0;0;0;0;0
11.04.2024;23:56;A114;1;0;0;0;0;0;0;0;0
11.04.2024;23:55;A114;1;0;0;0;0;0;0;0;0
11.04.2024;23:54;A114;1;0;0;0;0;0;0;0;0
11.04.2024;23:53;A114;1;0;0;0;0;0;0;0;0
11.04.2024;23:52;A114;1;0;0;0;0;0;0;0;0
11.04.2024;23:51;A114;1;0;0;0;0;0;0;0;0
11.04.2024;18:43;A114;1;0;0;0;0;0;0;0;0
11.04.2024;18:42;A114;1;0;0;0;0;0;0;0;0
11.04.2024;18:41;A114;1;0;0;0;0;0;0;0;0
11.04.2024;18:40;A114;1;0;0;0;0;0;0;0;0
11.04.2024;18:39;A114;1;0;0;0;0;0;0;0;0
11.04.2024;18:38;A114;1;0;0;0;0;0;0;0;0
11.04.2024;06:20;A114;1;0;0;0;0;0;0;0;0
11.04.2024;06:19;A114;1;0;0;0;0;0;0;0;0
11.04.2024;06:18;A114;1;0;0;0;0;0;0;0;0
11.04.2024;06:17;A114;1;0;0;0;0;0;0;0;0
11.04.2024;06:16;A114;1;0;0;0;0;0;0;0;0
11.04.2024;05:40;A114;1;0;0;0;0;0;0;0;0
