Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B
12.04.2024;01:15;A139;1;0;0;0;0
11.04.2024;23:57;A139;1;0;0;0;0
11.04.2024;23:56;A139;1;0;0;0;0
11.04.2024;23:55;A139;1;0;0;0;0
11.04.2024;23:54;A139;1;0;0;0;0
11.04.2024;23:53;A139;1;0;0;0;0
11.04.2024;23:52;A139;1;0;0;0;0
11.04.2024;18:44;A139;1;1;1;0;0
11.04.2024;18:43;A139;1;0;0;0;0
11.04.2024;18:42;A139;1;1;2;0;0
11.04.2024;18:41;A139;1;1;2;0;0
11.04.2024;18:40;A139;1;0;0;0;0
11.04.2024;18:39;A139;1;1;3;0;0
11.04.2024;06:21;A139;1;0;0;0;100
11.04.2024;06:20;A139;1;0;0;0;100
11.04.2024;06:19;A139;1;0;0;0;100
11.04.2024;06:18;A139;1;0;0;0;100
11.04.2024;06:17;A139;1;0;0;1;51
11.04.2024;05:41;A139;1;0;0;0;0
