Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V111Z;V111B;TF35Z;TF35B;TBS35Z;TBS35B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB
08.05.2024;19:59;A108;1;2;13;5;30;0;0;0;0;0;0;0;0
08.05.2024;19:58;A108;1;1;6;1;6;0;0;0;0;0;0;0;0
08.05.2024;19:57;A108;1;4;27;1;15;0;0;0;0;0;0;0;0
08.05.2024;19:56;A108;1;1;5;2;7;0;0;0;0;0;0;0;0
08.05.2024;19:55;A108;1;2;12;1;6;0;0;0;0;0;0;0;0
08.05.2024;19:54;A108;1;2;28;1;21;0;0;0;0;0;0;0;0
08.05.2024;19:53;A108;1;1;21;4;28;0;0;0;0;0;0;0;0
08.05.2024;19:52;A108;1;2;13;1;18;0;0;0;0;0;0;0;0
08.05.2024;19:51;A108;1;3;32;3;35;0;0;0;0;0;0;0;0
08.05.2024;19:50;A108;1;1;9;3;23;0;0;0;0;0;0;0;0
08.05.2024;19:49;A108;1;2;17;4;35;0;0;0;0;0;0;0;0
08.05.2024;19:48;A108;1;2;12;2;33;0;0;1;1;0;0;0;0
08.05.2024;19:47;A108;1;4;30;2;17;0;0;0;0;0;0;0;0
08.05.2024;19:46;A108;1;2;12;1;5;0;0;0;0;0;0;0;0
08.05.2024;19:45;A108;1;4;58;1;14;0;0;0;0;0;0;0;0
08.05.2024;19:44;A108;1;5;32;3;42;0;0;0;0;0;0;0;0
08.05.2024;19:43;A108;1;2;41;2;19;1;1;1;1;0;0;0;0
08.05.2024;19:42;A108;1;1;17;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:41;A108;1;2;16;1;7;0;0;0;0;0;0;0;0
08.05.2024;19:40;A108;1;1;27;1;6;0;0;0;0;0;0;0;0
08.05.2024;19:39;A108;1;3;36;1;5;0;0;0;0;0;0;0;0
08.05.2024;19:38;A108;1;3;20;1;16;0;0;0;0;0;0;0;0
08.05.2024;19:37;A108;1;1;5;1;10;0;0;0;0;0;0;0;0
08.05.2024;19:36;A108;1;0;0;4;20;0;0;0;0;0;0;0;0
08.05.2024;19:35;A108;1;3;22;2;23;0;0;0;0;0;0;0;0
08.05.2024;19:34;A108;1;3;20;4;28;0;0;0;0;0;0;0;0
08.05.2024;19:33;A108;1;3;22;3;15;0;0;0;0;0;0;0;0
08.05.2024;19:32;A108;1;1;22;2;19;0;0;0;0;0;0;0;0
08.05.2024;19:31;A108;1;2;23;1;7;0;0;0;0;0;0;0;0
08.05.2024;19:30;A108;1;3;31;3;33;0;0;0;0;0;0;0;0
08.05.2024;19:29;A108;1;3;18;3;17;0;0;0;0;0;0;0;0
08.05.2024;19:28;A108;1;4;46;1;8;0;0;0;0;0;0;0;0
08.05.2024;19:27;A108;1;5;38;3;27;0;0;0;0;0;0;0;0
08.05.2024;19:26;A108;1;3;27;1;4;0;0;0;0;0;0;0;0
08.05.2024;19:25;A108;1;3;28;2;13;0;0;0;0;0;0;0;0
08.05.2024;19:24;A108;1;2;24;3;21;0;0;0;0;0;0;0;0
08.05.2024;19:23;A108;1;3;27;1;10;0;0;0;0;0;0;0;0
08.05.2024;19:22;A108;1;1;6;3;17;0;0;0;0;0;0;0;0
08.05.2024;19:21;A108;1;1;11;4;21;0;0;0;0;0;0;0;0
08.05.2024;19:20;A108;1;2;14;3;23;0;0;0;0;0;0;0;0
08.05.2024;19:19;A108;1;2;11;1;14;0;0;0;0;0;0;0;0
08.05.2024;19:18;A108;1;2;14;4;25;0;0;0;0;0;0;0;0
08.05.2024;19:17;A108;1;1;11;1;11;0;0;0;0;0;0;0;0
08.05.2024;19:16;A108;1;2;19;3;30;1;1;1;1;0;0;0;0
08.05.2024;19:15;A108;1;4;13;2;15;0;0;0;0;0;0;0;0
08.05.2024;19:14;A108;1;2;19;3;19;0;0;0;0;0;0;0;0
08.05.2024;19:13;A108;1;5;49;4;31;0;0;0;0;0;0;0;0
08.05.2024;19:12;A108;1;1;6;1;36;0;0;0;0;0;0;0;0
08.05.2024;19:11;A108;1;6;41;1;7;0;0;0;0;0;0;0;0
08.05.2024;19:10;A108;1;2;28;3;24;0;0;0;0;0;0;0;0
08.05.2024;19:09;A108;1;2;52;6;37;0;0;0;0;0;0;0;0
08.05.2024;19:08;A108;1;3;19;3;48;0;0;0;0;0;0;0;0
08.05.2024;19:07;A108;1;4;32;5;15;0;0;0;0;0;0;0;0
08.05.2024;19:06;A108;1;4;54;1;11;0;0;0;0;0;0;0;0
08.05.2024;19:05;A108;1;6;39;3;35;0;0;0;0;0;0;0;0
08.05.2024;19:04;A108;1;4;29;2;25;0;0;0;0;0;0;0;0
08.05.2024;19:03;A108;1;3;44;1;6;0;0;0;0;0;0;0;0
08.05.2024;19:02;A108;1;3;22;2;27;0;0;0;0;0;0;0;0
08.05.2024;19:01;A108;1;1;53;4;36;0;0;0;0;0;0;0;0
08.05.2024;19:00;A108;1;2;14;6;20;0;0;0;0;0;0;0;0
08.05.2024;18:59;A108;1;3;42;1;8;0;0;0;0;0;0;0;0
08.05.2024;18:58;A108;1;3;40;2;31;0;0;0;0;0;0;0;0
