Datum;Uhrzeit;Bezeichnung;Intervall;V231Z;V231B;V241Z;V241B;V211Z;V211B;V222Z;V222B;D51Z;D51B;D52Z;D52B;V511Z;V511B;V521Z;V521B;V55Z;V55B;V51_1Z;V51_1B;ST51Z;ST51B;ST55_1Z;ST55_1B;T38Z;T38B;TB38Z;TB38B;TB35Z;TB35B;V821Z;V821B;V811Z;V811B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B;D81Z;D81B;D82Z;D82B;VK1_4_StoeZ;VK1_4_StoeB;VK5_7_StoeZ;VK5_7_StoeB
08.05.2024;20:00;A 38;1;7;50;2;2;1;78;1;5;6;5;3;1;2;26;2;6;0;0;1;0;0;0;1;5;2;0;8;38;1;1;4;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:59;A 38;1;2;2;0;0;2;8;0;0;2;1;0;0;2;8;0;0;0;0;1;0;0;0;0;0;5;1;7;5;1;4;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:58;A 38;1;5;4;0;0;2;18;0;0;50;8;0;0;2;16;0;0;0;0;0;0;0;0;0;0;1;0;5;60;1;4;1;71;0;0;0;0;0;0;0;0;1;6;1;7;0;0;0;0;0;0
08.05.2024;19:57;A 38;1;1;0;0;0;1;3;0;0;37;4;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;11;22;0;0;2;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:56;A 38;1;4;5;0;0;3;21;0;0;3;31;2;1;3;35;2;6;0;0;0;0;0;0;0;0;0;0;0;100;0;0;1;69;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0
08.05.2024;19:55;A 38;1;3;2;0;0;2;10;0;0;6;32;1;0;2;23;1;2;0;93;0;0;0;0;0;0;2;0;8;6;0;0;4;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:54;A 38;1;7;74;2;44;1;90;2;6;5;4;2;2;2;20;2;10;1;58;0;35;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:53;A 38;1;1;0;0;0;1;3;0;0;1;0;0;0;1;3;0;0;1;27;0;100;1;7;1;3;1;0;7;40;0;0;4;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:52;A 38;1;5;4;0;0;4;16;0;0;5;3;0;0;4;18;0;0;0;0;1;27;0;0;1;9;0;0;3;3;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:51;A 38;1;3;3;0;0;2;16;0;0;4;11;0;0;2;13;1;5;0;0;0;32;0;0;0;0;2;4;2;2;2;16;4;13;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:50;A 38;1;6;5;0;0;3;18;0;0;6;5;0;0;4;20;0;0;0;0;2;48;0;0;1;8;3;2;13;10;1;12;3;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:49;A 38;1;3;2;0;0;3;11;0;0;3;2;0;0;3;11;0;0;0;0;0;0;0;0;0;0;3;1;12;10;1;2;7;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:48;A 38;1;11;10;0;0;2;36;0;0;12;15;0;0;3;47;0;0;1;2;0;0;0;0;0;0;1;0;2;1;1;4;1;8;0;0;0;0;0;0;0;0;1;7;1;9;0;0;0;0;0;0
