Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;V111Z;V111B;D12Z;D12B;V121Z;V121B;D21Z;D21B;V21_2Z;V21_2B;V211Z;V211B;D23Z;D23B;D22Z;D22B;V221Z;V221B;D31Z;D31B;V31_2Z;V31_2B;V311Z;V311B;D32Z;D32B;V321Z;V321B;D41Z;D41B;V411Z;V411B;D43Z;D43B;D42Z;D42B;V421Z;V421B;D44Z;D44B;T1_T2Z;T1_T2B;TB1_TB2Z;TB1_TB2B;T3_T4Z;T3_T4B;TB3_TB4Z;TB3_TB4B;T5_T6Z;T5_T6B;TB5_TB6Z;TB5_TB6B;T7_T8Z;T7_T8B;TB7_TB8Z;TB7_TB8B;VR110Z;VR110B;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;V4_IOZ;V4_IOB;V5_IOZ;V5_IOB;V6_IOZ;V6_IOB;V7_IOZ;V7_IOB
08.05.2024;20:00;A 33;1;1;29;1;4;3;15;2;6;1;1;2;24;2;21;2;2;0;100;0;0;5;9;0;0;3;17;1;27;0;0;3;77;2;46;1;83;2;76;3;6;1;9;1;1;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:59;A 33;1;1;5;1;7;1;66;1;5;0;0;1;0;1;4;1;1;0;100;1;5;1;1;0;0;3;32;2;7;1;2;5;87;6;34;0;100;1;28;1;2;2;8;0;0;0;0;1;1;0;0;1;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:58;A 33;1;0;0;0;0;5;38;4;10;0;0;5;25;1;40;1;28;0;100;0;33;3;39;0;0;0;0;2;41;0;0;1;58;3;10;1;70;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;12;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:57;A 33;1;4;5;1;14;8;35;3;44;1;4;1;61;2;70;4;21;0;100;1;99;5;20;0;0;3;1;2;28;0;15;3;88;1;1;1;92;3;91;1;1;1;94;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:56;A 33;1;0;0;0;0;1;1;1;5;1;28;3;55;1;58;2;3;0;100;2;72;3;10;0;0;0;0;4;19;3;8;2;40;4;7;2;22;4;50;4;7;1;54;0;0;2;3;0;0;0;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:55;A 33;1;1;5;1;10;6;64;0;57;1;1;3;67;2;26;2;2;0;100;2;1;5;63;0;0;1;57;1;28;1;4;1;0;1;2;1;9;1;77;3;6;2;64;2;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:54;A 33;1;0;0;0;0;2;52;3;34;0;0;1;57;1;65;3;3;0;100;0;0;10;76;0;0;3;21;1;78;0;0;3;82;2;6;1;72;1;71;1;2;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:53;A 33;1;0;0;0;0;1;94;0;2;1;0;3;32;2;24;3;4;0;100;0;0;1;73;0;0;0;0;2;49;0;0;3;17;5;11;3;33;6;56;4;28;5;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:52;A 33;1;1;1;1;4;6;11;2;25;0;0;3;40;1;11;2;2;0;100;0;48;3;56;0;0;0;0;2;63;0;0;1;51;4;14;1;62;1;63;3;59;1;70;1;1;0;0;1;1;0;0;3;16;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:51;A 33;1;1;16;0;0;5;26;2;35;1;1;1;28;1;9;1;1;0;100;2;43;2;17;0;0;2;1;0;18;0;0;1;75;1;3;0;73;3;79;1;4;1;84;1;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:50;A 33;1;2;6;1;7;4;84;5;74;0;0;1;1;1;5;2;5;0;100;1;53;2;63;0;0;0;0;4;35;0;0;3;45;6;9;3;22;2;40;3;3;2;39;0;0;1;1;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2024;19:49;A 33;1;0;0;1;3;7;73;2;89;1;2;2;3;0;5;0;0;0;100;0;0;4;22;0;0;0;0;4;34;0;0;1;13;1;1;1;7;1;85;2;3;2;84;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
