Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;Anf_32Z;Anf_32B
31.01.2024;01:00;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:59;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
31.01.2024;00:58;A182;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:57;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:56;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:55;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:54;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:53;A182;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
31.01.2024;00:52;A182;1;1;5;0;0;1;69;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:51;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:50;A182;1;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:49;A182;1;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:48;A182;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:47;A182;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:46;A182;1;1;9;4;8;0;0;0;0;0;0;1;0;1;1;0;0
31.01.2024;00:45;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
31.01.2024;00:44;A182;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;2;2
31.01.2024;00:43;A182;1;1;6;1;4;0;0;0;40;0;0;1;1;1;1;0;0
31.01.2024;00:42;A182;1;0;0;0;0;1;56;1;12;0;0;0;0;0;0;0;0
31.01.2024;00:41;A182;1;0;0;0;0;1;19;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:40;A182;1;0;0;0;0;1;25;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:39;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:38;A182;1;1;8;1;4;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:37;A182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:36;A182;1;0;0;1;2;1;1;1;1;0;0;1;1;2;1;0;0
31.01.2024;00:35;A182;1;0;0;0;0;0;0;1;24;0;0;2;2;0;0;0;0
31.01.2024;00:34;A182;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:33;A182;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
31.01.2024;00:32;A182;1;0;0;0;0;1;30;0;29;0;0;0;0;0;0;0;0
31.01.2024;00:31;A182;1;0;0;1;2;1;75;1;84;0;0;0;0;0;0;0;0
31.01.2024;00:30;A182;1;0;0;0;0;0;45;1;1;0;0;1;1;0;0;0;0
31.01.2024;00:29;A182;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
31.01.2024;00:28;A182;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
