Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D115Z;D115B;TF41Z;TF41B;TBS41Z;TBS41B;EG23Z;EG23B;EG24Z;EG24B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;FW_AnfoZ;FW_AnfoB
10.12.2024;16:55;A 24;1;10;66;10;16;3;57;9;39;4;4;10;11;3;23;5;65;0;100;0;100;2;81;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:54;A 24;1;2;2;5;11;1;13;4;25;6;54;6;46;4;79;4;20;0;100;0;100;3;76;2;94;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:53;A 24;1;10;31;16;23;3;46;11;62;5;12;7;16;3;18;6;28;0;100;0;100;4;69;1;72;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:52;A 24;1;14;54;12;57;1;58;9;66;7;43;5;45;3;45;5;51;0;100;0;100;4;85;1;97;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:51;A 24;1;2;1;5;18;3;17;5;26;4;43;3;57;2;22;2;53;0;100;0;100;4;76;6;81;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:50;A 24;1;15;26;11;10;2;66;12;41;6;13;7;14;2;27;5;29;0;100;0;100;1;80;2;92;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:49;A 24;1;8;57;4;3;3;63;4;11;2;2;5;42;4;44;2;13;0;100;0;100;0;72;2;62;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:48;A 24;1;2;37;4;4;2;19;3;29;1;0;3;44;1;6;2;26;0;100;0;100;1;21;0;24;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:47;A 24;1;13;14;13;19;2;68;5;50;9;10;9;18;1;32;3;35;0;100;0;100;4;32;2;89;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:46;A 24;1;11;15;9;8;2;40;3;35;1;1;2;8;3;4;4;15;0;100;0;100;1;75;1;79;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:45;A 24;1;5;15;8;59;2;81;3;82;2;1;1;34;2;10;1;5;0;100;0;100;2;42;1;23;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:44;A 24;1;11;21;20;21;6;68;2;88;7;6;2;2;4;28;2;5;0;100;0;100;1;78;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:43;A 24;1;12;63;8;9;0;100;3;31;4;3;3;3;2;18;2;8;0;100;0;100;3;72;2;55;1;1;1;6;0;0;0;0;;;;;;;;;;
10.12.2024;16:42;A 24;1;6;24;5;19;3;53;2;34;2;5;4;54;2;13;0;63;0;100;0;100;1;24;2;26;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:41;A 24;1;11;19;10;11;3;69;6;62;2;2;7;16;1;11;4;25;0;100;0;100;1;99;0;100;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:40;A 24;1;10;15;6;7;4;88;5;37;4;4;5;37;4;14;3;19;0;100;0;100;3;37;2;9;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:39;A 24;1;6;57;8;60;4;64;2;41;0;0;0;0;0;0;0;0;0;100;0;100;2;26;1;26;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:38;A 24;1;13;15;15;15;2;76;5;65;7;10;7;8;2;27;5;26;0;100;0;100;4;66;3;32;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:37;A 24;1;7;8;8;9;2;53;3;34;2;2;6;5;3;23;4;18;0;100;0;100;1;34;1;67;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:36;A 24;1;8;63;4;7;1;94;4;25;3;29;2;47;2;48;2;51;0;100;0;100;2;2;2;10;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:35;A 24;1;11;21;16;17;6;81;9;67;4;4;7;14;4;17;5;31;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:34;A 24;1;6;19;7;7;1;46;3;32;4;4;7;50;3;23;4;73;0;100;0;100;2;65;2;13;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:33;A 24;1;3;4;5;5;2;28;2;22;0;0;0;0;0;0;0;0;0;100;0;100;3;51;1;67;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:32;A 24;1;7;7;12;13;5;94;3;59;2;2;2;6;2;13;1;6;0;100;0;100;1;14;2;72;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:31;A 24;1;9;11;6;7;2;85;2;34;4;3;10;11;4;33;2;51;0;100;0;100;0;82;0;92;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:30;A 24;1;5;13;1;1;2;40;2;10;2;12;1;3;1;19;1;8;0;100;0;100;6;49;1;80;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:29;A 24;1;14;15;8;14;6;68;5;42;2;9;2;10;2;19;3;18;0;100;0;100;2;21;2;73;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:28;A 24;1;8;8;8;48;2;41;4;85;6;50;6;41;1;84;2;64;0;100;0;100;0;0;0;84;0;0;1;1;0;0;0;0;;;;;;;;;;
10.12.2024;16:27;A 24;1;4;16;5;13;4;36;4;37;2;3;1;0;1;33;2;9;0;100;0;100;3;38;4;83;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:26;A 24;1;14;16;11;11;3;65;4;49;4;3;10;12;5;22;4;28;0;100;0;100;1;78;5;63;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:25;A 24;1;5;3;2;2;3;17;1;11;4;4;8;9;2;17;3;50;0;100;0;100;1;62;1;39;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:24;A 24;1;5;58;9;62;2;34;1;90;3;49;3;46;0;64;1;59;0;100;0;100;3;35;3;30;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:23;A 24;1;15;23;7;6;6;68;7;41;5;11;8;16;3;32;3;41;0;100;0;100;1;78;2;53;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:22;A 24;1;13;60;7;7;0;100;4;30;7;44;2;34;4;67;3;33;0;100;0;100;1;87;1;88;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:21;A 24;1;3;3;4;4;1;16;1;19;2;31;2;32;1;9;1;41;0;100;0;100;2;42;3;30;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:20;A 24;1;12;20;12;18;2;59;3;50;5;12;3;2;1;21;2;12;0;100;0;100;1;76;1;86;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:19;A 24;1;6;53;9;55;2;81;3;87;4;26;6;7;3;23;2;24;0;100;0;100;1;74;1;78;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:18;A 24;1;4;56;3;51;2;21;4;21;1;0;3;26;0;0;1;14;0;100;0;100;3;59;4;75;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:17;A 24;1;14;20;8;15;2;71;2;35;3;2;10;12;3;17;5;40;0;100;0;100;2;71;2;84;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:16;A 24;1;11;15;7;19;0;37;4;47;3;2;3;2;2;16;2;11;0;100;0;100;1;2;2;12;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:15;A 24;1;3;2;6;19;2;19;5;49;3;5;3;6;3;46;1;61;0;100;0;100;2;9;2;11;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:14;A 24;1;13;19;10;15;4;55;3;48;2;6;7;10;0;13;4;23;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:13;A 24;1;12;46;9;43;1;52;5;42;8;43;4;5;3;50;2;61;0;100;0;100;1;76;0;73;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:12;A 24;1;2;2;7;22;1;15;4;39;1;1;1;36;0;2;1;8;0;100;0;100;2;31;2;14;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:11;A 24;1;10;13;8;10;2;42;5;36;3;7;4;10;3;17;4;15;0;100;0;100;2;80;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:10;A 24;1;7;8;7;10;1;32;4;31;3;27;8;47;3;12;5;33;0;100;0;100;1;56;0;76;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:09;A 24;1;3;58;4;3;3;32;2;16;7;11;5;38;1;77;2;54;0;100;0;100;1;7;2;19;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:08;A 24;1;13;24;12;15;2;56;4;40;2;1;2;3;3;8;1;2;0;100;0;100;0;0;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:07;A 24;1;10;22;8;9;3;42;6;45;3;5;6;5;2;11;5;25;0;100;0;100;0;67;0;85;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:06;A 24;1;3;52;6;59;2;15;3;41;1;1;3;28;1;3;2;15;0;100;0;100;3;27;3;30;0;0;0;0;0;0;0;0;;;;;;;;;;
