Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;H51_A74/M1S_493Z;H51_A74/M1S_493B;A51_M1S_494Z;A51_M1S_494B;H55_A30/M3S_504Z;H55_A30/M3S_504B;A55_M3S_505Z;A55_M3S_505B;H54_M3SL_1289Z;H54_M3SL_1289B;A54_M4SL_506Z;A54_M4SL_506B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
10.12.2024;16:14;A110;1;0;0;6;10;5;9;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:13;A110;1;2;2;2;3;6;33;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:12;A110;1;0;0;9;65;6;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:11;A110;1;1;1;4;4;9;11;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:10;A110;1;2;3;1;2;13;21;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:09;A110;1;1;1;6;8;10;60;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:08;A110;1;2;3;4;5;8;45;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:07;A110;1;1;0;3;3;3;3;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:06;A110;1;0;0;3;5;9;26;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:05;A110;1;1;1;9;51;13;25;0;0;0;1;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:04;A110;1;1;1;1;1;11;16;0;0;1;1;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:03;A110;1;1;0;4;5;9;38;1;2;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:02;A110;1;3;6;2;23;7;10;0;0;1;2;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:01;A110;1;1;2;3;4;4;8;1;2;0;0;0;0;1;2;1;2;1;2;;;;;0;0;0;0;0;0
10.12.2024;16:00;A110;1;1;1;8;38;8;7;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:59;A110;1;0;0;5;45;9;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:58;A110;1;1;0;3;5;9;45;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:57;A110;1;2;3;4;84;11;51;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:56;A110;1;0;0;7;54;5;56;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:55;A110;1;1;1;7;33;7;43;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:54;A110;1;1;1;1;1;10;58;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:53;A110;1;1;2;2;3;12;26;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:52;A110;1;2;3;4;6;11;41;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:51;A110;1;0;0;4;30;8;26;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:50;A110;1;0;0;6;68;3;44;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:49;A110;1;2;3;5;52;8;26;0;0;1;2;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:48;A110;1;1;1;8;55;4;33;1;2;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:47;A110;1;1;2;3;11;9;14;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:46;A110;1;1;2;6;14;8;67;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:45;A110;1;2;2;7;10;7;65;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:44;A110;1;1;0;4;28;8;58;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:43;A110;1;3;11;2;4;4;83;1;2;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:42;A110;1;1;2;2;3;4;5;0;0;0;0;1;2;0;0;0;0;1;2;;;;;0;0;0;0;0;0
10.12.2024;15:41;A110;1;3;3;5;9;10;29;0;0;0;0;1;2;1;2;1;2;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:40;A110;1;1;0;3;3;5;77;0;0;1;2;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:39;A110;1;0;0;2;4;4;50;1;2;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:38;A110;1;2;4;6;48;4;80;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:37;A110;1;0;0;2;3;9;29;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:36;A110;1;1;2;6;13;9;73;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:35;A110;1;0;0;4;12;4;63;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:34;A110;1;1;1;1;1;10;24;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
