Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;TF32Z;TF32B;TB32Z;TB32B;VK1_2StoerZ;VK1_2StoerB
10.12.2024;16:57;A150;1;1;24;2;20;0;0;0;0;0;0
10.12.2024;16:56;A150;1;6;51;3;54;1;1;0;0;0;0
10.12.2024;16:55;A150;1;5;29;2;14;0;0;0;0;0;0
10.12.2024;16:54;A150;1;3;16;6;21;0;0;0;0;0;0
10.12.2024;16:53;A150;1;6;56;3;15;0;0;0;0;0;0
10.12.2024;16:52;A150;1;1;1;2;13;0;0;0;0;0;0
10.12.2024;16:51;A150;1;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:50;A150;1;1;9;5;24;0;0;0;0;0;0
10.12.2024;16:49;A150;1;6;18;4;29;0;0;0;0;0;0
10.12.2024;16:48;A150;1;5;15;2;16;2;3;2;7;0;0
10.12.2024;16:47;A150;1;8;67;3;33;0;0;0;0;0;0
10.12.2024;16:46;A150;1;2;9;0;0;0;0;0;0;0;0
10.12.2024;16:45;A150;1;9;61;3;13;1;1;0;0;0;0
10.12.2024;16:44;A150;1;2;4;7;28;0;0;0;0;0;0
10.12.2024;16:43;A150;1;3;20;1;6;0;0;0;0;0;0
10.12.2024;16:42;A150;1;2;23;7;19;0;0;0;0;0;0
10.12.2024;16:41;A150;1;2;25;11;23;0;0;0;0;0;0
10.12.2024;16:40;A150;1;6;50;0;9;0;0;0;0;0;0
10.12.2024;16:39;A150;1;2;15;2;7;0;0;0;0;0;0
10.12.2024;16:38;A150;1;0;0;5;26;0;0;0;0;0;0
10.12.2024;16:37;A150;1;4;22;3;7;0;0;0;0;0;0
10.12.2024;16:36;A150;1;1;15;2;22;0;0;0;0;0;0
10.12.2024;16:35;A150;1;5;76;7;34;0;0;0;0;0;0
10.12.2024;16:34;A150;1;2;33;2;14;0;0;0;0;0;0
10.12.2024;16:33;A150;1;1;6;5;22;0;0;0;0;0;0
10.12.2024;16:32;A150;1;3;10;6;21;0;0;0;0;0;0
10.12.2024;16:31;A150;1;11;53;1;3;0;0;0;0;0;0
10.12.2024;16:30;A150;1;3;24;2;17;0;0;0;0;0;0
10.12.2024;16:29;A150;1;5;41;4;42;0;0;0;0;0;0
10.12.2024;16:28;A150;1;3;49;1;2;0;0;0;0;0;0
10.12.2024;16:27;A150;1;1;9;7;42;0;0;0;0;0;0
