Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D51Z;D51B;D52Z;D52B;V53Z;V53B;V54Z;V54B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;T32Z;T32B;T32bZ;T32bB;T35bZ;T35bB;T38Z;T38B;T38bZ;T38bB;T41bZ;T41bB
10.12.2024;16:55;A 42;1;16;62;3;4;0;100;1;2;4;67;2;1;1;78;0;0;6;55;2;17;0;74;1;21;1;0;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
10.12.2024;16:54;A 42;1;12;49;1;1;7;85;2;1;5;78;2;73;3;96;2;2;1;16;0;0;1;26;0;0;4;75;0;0;3;23;0;0;0;0;1;1;0;0;1;2;1;1;0;0
10.12.2024;16:53;A 42;1;11;71;0;0;0;100;0;0;6;46;1;41;0;54;1;43;3;56;2;21;3;47;3;22;0;0;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:52;A 42;1;14;66;1;1;2;98;2;1;4;65;2;37;1;77;2;31;3;34;0;0;0;48;0;0;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:51;A 42;1;17;47;0;4;1;98;1;1;3;92;2;92;0;100;1;96;3;6;2;4;1;17;0;0;1;53;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:50;A 42;1;5;36;1;0;3;51;1;28;12;72;4;42;2;96;2;29;4;65;1;29;3;90;2;18;0;0;2;1;0;2;0;0;2;3;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:49;A 42;1;14;26;2;2;3;61;0;0;0;100;1;64;0;100;1;4;4;19;0;0;2;35;0;0;1;1;0;0;1;75;0;0;0;0;0;0;0;0;0;0;1;1;0;0
10.12.2024;16:48;A 42;1;14;65;1;0;0;100;0;0;8;78;0;0;0;100;0;0;2;43;0;0;2;50;0;0;0;0;3;62;1;6;1;28;0;0;0;0;0;0;1;1;1;1;0;0
10.12.2024;16:47;A 42;1;5;57;0;0;7;65;2;2;8;78;0;54;0;100;0;0;2;15;1;0;2;15;0;0;1;8;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:46;A 42;1;14;53;1;3;0;82;0;0;1;62;1;68;2;56;1;3;4;40;3;14;2;57;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:45;A 42;1;17;38;0;0;7;88;0;0;2;89;1;88;2;84;3;73;3;3;2;0;3;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:44;A 42;1;9;73;1;33;1;99;1;3;7;54;3;38;4;69;3;15;0;0;0;0;0;0;0;0;0;38;0;37;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:43;A 42;1;5;38;1;29;6;49;1;4;1;44;1;3;3;44;1;2;5;38;2;1;2;54;1;0;4;33;1;59;1;49;1;4;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:42;A 42;1;18;30;1;0;3;76;1;4;3;90;2;87;0;97;4;53;2;21;1;0;2;32;0;0;2;80;1;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:41;A 42;1;2;63;1;34;2;78;2;60;11;65;1;30;1;89;0;36;4;58;2;17;1;71;1;21;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1
10.12.2024;16:40;A 42;1;9;42;2;4;3;39;2;5;4;82;5;80;1;93;2;78;1;30;3;2;0;1;1;1;0;0;3;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0
10.12.2024;16:39;A 42;1;8;17;0;0;8;32;0;0;8;83;2;72;0;100;0;1;1;0;1;0;2;10;0;0;1;3;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:38;A 42;1;11;64;4;26;1;93;3;10;9;73;1;0;1;98;1;2;5;30;1;3;1;66;1;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:37;A 42;1;13;61;0;46;5;85;0;0;8;80;2;3;2;83;0;0;6;53;2;46;2;65;2;35;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
10.12.2024;16:36;A 42;1;15;31;2;20;7;64;1;3;14;64;2;93;0;100;0;99;1;12;0;0;3;17;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:35;A 42;1;5;45;0;0;2;58;0;0;11;64;4;46;1;96;3;38;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:34;A 42;1;14;68;1;47;1;98;2;9;7;77;1;59;2;89;2;3;1;41;1;1;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:33;A 42;1;13;39;1;17;4;82;2;6;3;93;1;76;1;90;2;8;2;3;0;0;2;17;0;0;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:32;A 42;1;9;71;1;0;0;100;0;0;8;50;4;44;3;63;1;53;2;49;3;22;3;60;3;8;1;2;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:31;A 42;1;12;65;2;1;1;95;1;0;4;43;6;66;2;58;2;51;5;52;2;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:30;A 42;1;16;42;1;1;3;92;3;4;4;89;2;96;0;100;0;100;7;37;2;0;2;61;0;0;2;76;0;0;4;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:29;A 42;1;4;61;1;1;3;81;1;2;11;60;4;54;2;90;2;58;2;77;1;4;1;86;2;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:28;A 42;1;9;8;2;33;5;64;2;37;8;78;6;56;0;100;6;61;0;44;2;41;0;4;1;45;2;4;1;0;1;7;0;0;0;0;0;0;0;0;0;0;1;1;0;0
10.12.2024;16:27;A 42;1;17;15;0;0;6;71;0;0;4;92;0;86;0;100;0;0;1;14;0;0;2;8;0;0;2;86;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:26;A 42;1;6;80;2;0;0;100;0;0;9;34;4;63;5;50;3;23;4;27;1;4;1;57;1;17;3;30;3;3;4;26;1;3;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:25;A 42;1;13;34;1;0;5;84;0;0;1;68;1;84;2;57;1;10;6;30;3;13;2;43;3;11;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
10.12.2024;16:24;A 42;1;8;35;0;0;3;66;1;2;5;15;1;22;0;87;1;4;1;6;2;3;1;66;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:23;A 42;1;6;70;1;17;2;94;1;4;11;51;4;2;2;95;0;0;1;21;2;46;3;18;2;50;2;2;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:22;A 42;1;8;7;3;20;2;36;1;19;1;90;0;0;2;87;0;0;1;4;0;0;2;10;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0
10.12.2024;16:21;A 42;1;7;15;2;16;2;28;4;19;6;46;4;3;1;65;1;1;0;0;2;5;1;5;2;4;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:20;A 42;1;6;76;2;53;1;99;6;53;6;42;3;51;2;55;0;54;2;58;1;20;1;71;2;7;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:19;A 42;1;8;15;2;4;7;46;1;5;1;50;1;76;2;51;2;52;3;32;0;0;0;40;0;0;1;58;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:18;A 42;1;9;9;0;0;4;39;1;3;3;80;0;81;1;74;0;0;3;19;1;1;2;32;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:17;A 42;1;5;16;0;0;2;36;1;1;8;45;4;19;1;62;1;2;3;37;1;1;2;41;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:16;A 42;1;9;55;1;17;3;89;1;4;6;47;2;4;1;65;1;3;5;51;1;0;0;64;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:15;A 42;1;14;32;0;0;8;79;0;0;3;91;3;89;0;100;0;100;2;21;0;0;3;16;0;0;1;2;2;2;1;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0
10.12.2024;16:14;A 42;1;9;37;2;1;3;61;0;3;5;61;2;44;2;68;2;48;3;47;2;24;2;59;2;15;1;0;2;17;0;0;1;22;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:13;A 42;1;6;49;1;0;2;68;1;0;5;56;1;24;1;72;2;20;2;42;2;28;0;46;2;28;0;0;1;0;0;0;0;0;0;0;2;3;0;0;1;1;0;0;0;0
10.12.2024;16:12;A 42;1;13;42;2;2;3;82;2;4;5;82;1;0;1;98;1;4;3;16;1;1;4;35;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:11;A 42;1;6;82;0;0;1;92;0;0;11;53;2;2;1;77;1;2;4;64;1;5;4;54;1;4;0;40;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
10.12.2024;16:10;A 42;1;9;40;0;0;6;59;0;0;2;74;0;0;2;77;0;0;1;1;3;12;1;7;4;37;1;65;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:09;A 42;1;12;20;2;1;4;49;0;0;7;81;1;0;0;100;0;0;3;4;4;1;4;20;1;3;2;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:08;A 42;1;7;44;4;1;3;38;0;0;6;56;2;46;2;73;2;3;3;46;3;38;2;46;2;34;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:07;A 42;1;13;63;1;47;1;92;1;3;7;65;3;20;2;88;2;9;5;53;2;0;1;94;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
10.12.2024;16:06;A 42;1;12;31;1;1;9;74;1;4;3;92;2;83;1;94;2;79;3;30;0;0;2;45;1;4;0;86;1;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:05;A 42;1;6;69;4;2;1;90;2;4;4;50;1;42;2;60;1;22;5;44;3;51;4;33;3;25;2;6;0;0;2;18;0;0;1;1;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:04;A 42;1;5;52;0;0;2;67;0;0;5;59;1;34;2;65;1;3;4;48;2;0;0;56;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:03;A 42;1;19;38;2;2;4;89;0;0;4;85;3;91;1;99;0;95;10;36;2;1;4;68;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:02;A 42;1;6;74;0;0;1;97;0;0;9;33;4;39;1;50;4;20;2;76;1;19;1;63;1;3;3;2;0;0;1;4;0;0;1;1;0;0;1;1;0;0;0;0;0;0
10.12.2024;16:01;A 42;1;11;39;1;0;5;50;1;3;1;41;1;67;2;19;1;3;1;0;4;28;3;9;3;8;1;1;0;0;0;0;0;0;2;3;0;0;1;1;0;0;0;0;1;1
10.12.2024;16:00;A 42;1;9;45;1;0;5;40;0;0;7;65;3;64;2;81;3;60;1;1;0;0;0;1;1;1;4;14;1;70;3;9;1;3;0;0;2;3;0;0;0;0;0;0;1;1
