Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D43Z;D43B;V14Z;V14B;V15Z;V15B;V34Z;V34B;V35Z;V35B;V44Z;V44B;V45Z;V45B;V46Z;V46B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;T38_sZ;T38_sB;T38_bZ;T38_bB;T39_sZ;T39_sB;T39_bZ;T39_bB;T41_bZ;T41_bB;T42_bZ;T42_bB
10.12.2024;16:55;A 43;1;8;50;;;13;60;0;0;2;6;1;3;;;0;100;1;13;0;0;0;0;8;73;8;63;3;4;0;100;3;32;0;0;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;
10.12.2024;16:54;A 43;1;15;18;;;1;98;0;0;1;99;1;19;;;1;91;1;14;1;23;0;0;8;8;9;13;2;2;0;100;6;33;0;0;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;
10.12.2024;16:53;A 43;1;9;35;;;8;67;1;0;2;28;1;22;;;0;100;4;19;1;4;0;0;4;44;3;57;2;3;0;100;5;49;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:52;A 43;1;4;53;;;9;83;1;0;2;6;1;3;;;0;100;0;8;0;3;0;0;8;20;5;41;3;4;0;100;6;59;0;0;1;1;0;0;0;0;1;1;0;0;;;;;;;;;;
10.12.2024;16:51;A 43;1;18;41;;;2;67;0;0;1;59;1;57;;;2;77;3;36;2;11;0;0;15;30;14;28;6;5;0;100;7;56;0;0;0;0;0;0;0;0;1;5;0;0;;;;;;;;;;
10.12.2024;16:50;A 43;1;3;28;;;17;57;1;1;5;44;1;3;;;1;92;0;46;2;2;0;0;5;78;3;54;3;4;0;100;4;73;1;1;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;
10.12.2024;16:49;A 43;1;9;25;;;3;52;0;0;3;63;0;0;;;1;61;6;63;0;0;2;0;4;16;3;2;0;0;0;100;3;15;0;0;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;
10.12.2024;16:48;A 43;1;16;23;;;2;89;0;0;0;100;0;0;;;0;100;1;10;0;0;0;0;12;16;13;17;9;7;0;100;10;56;0;0;1;1;0;0;0;0;0;0;1;1;;;;;;;;;;
10.12.2024;16:47;A 43;1;6;10;;;9;59;0;0;4;60;1;16;;;1;76;4;40;1;21;0;0;4;51;4;51;5;13;0;100;4;25;1;1;0;0;1;5;0;0;1;5;0;0;;;;;;;;;;
10.12.2024;16:46;A 43;1;13;19;;;1;25;0;0;1;57;1;0;;;2;37;2;6;1;2;0;0;11;67;7;55;1;0;0;100;7;70;0;0;0;0;0;0;0;0;0;0;1;5;;;;;;;;;;
10.12.2024;16:45;A 43;1;10;41;;;9;65;0;0;0;0;0;0;;;2;84;0;0;0;0;0;0;8;77;5;25;3;2;0;100;5;51;0;0;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;
10.12.2024;16:44;A 43;1;12;75;;;12;63;0;0;5;41;3;54;;;1;91;3;46;1;44;0;0;4;33;5;6;1;1;0;100;1;20;0;0;0;0;0;0;1;5;2;6;0;0;;;;;;;;;;
10.12.2024;16:43;A 43;1;11;72;;;9;67;0;0;2;5;3;27;;;1;89;0;8;1;15;1;2;9;64;6;33;3;5;0;100;6;28;1;1;1;1;1;5;0;0;1;1;0;0;;;;;;;;;;
10.12.2024;16:42;A 43;1;18;19;;;2;74;0;0;1;71;1;43;;;1;81;2;64;1;48;2;0;12;23;19;24;1;1;0;100;8;59;0;0;0;0;0;0;0;0;1;1;1;1;;;;;;;;;;
10.12.2024;16:41;A 43;1;6;30;;;8;27;0;0;1;17;0;28;;;0;41;0;2;2;2;0;0;1;78;1;89;4;5;0;100;1;96;0;0;1;1;0;0;0;0;0;0;3;5;;;;;;;;;;
10.12.2024;16:40;A 43;1;11;15;;;3;35;0;0;1;0;1;41;;;1;53;4;5;2;20;0;0;14;48;9;51;3;3;0;100;12;53;0;0;0;0;0;0;0;0;1;5;0;0;;;;;;;;;;
10.12.2024;16:39;A 43;1;10;12;;;6;62;0;0;1;37;1;89;;;1;79;2;10;2;19;1;0;7;8;10;16;1;1;0;100;5;35;0;0;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;
10.12.2024;16:38;A 43;1;4;5;;;4;52;1;33;7;64;2;47;;;0;59;0;77;3;12;0;0;4;21;5;41;2;1;0;100;7;44;0;0;0;0;1;5;0;0;0;0;1;1;;;;;;;;;;
10.12.2024;16:37;A 43;1;9;43;;;15;57;0;1;1;16;0;0;;;2;79;1;21;0;0;0;0;6;65;4;3;2;1;0;100;3;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:36;A 43;1;9;19;;;1;97;1;25;1;46;0;0;;;0;100;1;7;0;0;0;0;6;7;8;10;6;6;0;100;5;26;1;1;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;
10.12.2024;16:35;A 43;1;16;70;;;9;66;0;0;1;2;0;0;;;1;92;2;8;1;2;0;0;3;59;6;59;5;27;0;100;6;58;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.12.2024;16:34;A 43;1;10;12;;;6;33;0;0;3;7;1;4;;;2;28;0;12;1;4;0;0;2;17;8;57;4;4;0;100;8;57;0;0;0;0;0;0;1;5;0;0;1;5;;;;;;;;;;
