Datum;Uhrzeit;Bezeichnung;Intervall;D20Z;D20B;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D51Z;D51B;D52Z;D52B;D53_1Z;D53_1B;D53_2Z;D53_2B;D54Z;D54B;V55Z;V55B;V56Z;V56B;D80Z;D80B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;V85Z;V85B;D110Z;D110B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;V115Z;V115B;V116Z;V116B;V117Z;V117B;V118Z;V118B;TF31Z;TF31B;TF31aZ;TF31aB;TBS31Z;TBS31B;TBS31aZ;TBS31aB;TBS35Z;TBS35B;TBS35aZ;TBS35aB;TF38Z;TF38B;TF38aZ;TF38aB;TBS38Z;TBS38B;TBS38aZ;TBS38aB
10.12.2024;16:55;A 49;1;0;0;9;10;10;10;0;0;3;4;3;91;0;0;0;0;0;0;2;90;0;100;0;0;1;17;19;62;0;0;0;100;1;51;3;48;0;0;18;53;10;39;0;100;6;64;13;25;4;12;11;81;9;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:54;A 49;1;2;0;12;13;13;12;2;4;0;0;9;81;0;0;0;0;0;0;8;10;2;93;0;0;3;6;5;53;0;0;2;74;1;6;7;35;0;0;15;57;16;12;0;100;4;71;2;43;1;7;9;89;19;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:53;A 49;1;2;0;9;10;12;12;2;1;3;7;6;82;0;0;0;0;0;0;4;3;3;99;0;0;2;0;12;37;0;0;4;69;1;6;9;23;1;0;16;44;9;7;2;92;5;49;9;11;0;23;12;68;7;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:52;A 49;1;2;0;14;18;10;13;0;0;5;5;9;45;0;0;0;0;0;0;5;43;1;99;0;0;2;0;8;67;0;0;3;92;2;13;9;38;1;0;19;23;14;13;1;87;4;24;3;7;3;9;19;50;6;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:51;A 49;1;0;0;4;4;9;8;0;0;0;0;8;39;0;0;0;0;0;0;7;52;3;94;0;0;2;3;7;8;0;0;1;32;2;18;5;72;0;0;16;51;9;32;1;99;9;74;0;0;3;35;15;69;10;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:50;A 49;1;1;0;9;12;13;13;3;2;0;0;7;83;0;0;0;0;0;0;3;6;4;88;0;0;2;2;8;40;0;0;1;82;2;17;13;27;0;0;18;25;10;10;0;100;9;76;32;36;2;3;17;74;14;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:49;A 49;1;0;0;12;12;14;14;1;0;0;0;6;86;0;0;0;0;0;0;5;5;3;85;0;0;3;1;11;54;0;0;2;81;0;53;7;9;0;0;15;61;7;5;0;100;6;71;5;5;7;20;8;87;12;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:48;A 49;1;0;0;8;9;5;4;0;0;0;0;6;77;0;0;0;0;0;0;5;76;4;71;0;0;1;0;5;45;0;0;1;61;2;23;0;0;0;0;11;51;10;28;0;100;6;87;4;16;2;27;11;77;11;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:47;A 49;1;2;1;12;15;16;15;2;1;1;11;7;14;0;0;0;0;0;0;7;80;0;98;0;0;3;3;11;48;0;0;0;100;5;28;5;31;1;0;17;25;9;33;0;100;9;82;13;30;4;29;11;70;11;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:46;A 49;1;4;1;16;19;15;14;1;0;3;6;8;71;0;0;0;0;0;0;7;21;3;90;0;0;5;12;14;55;0;0;2;84;6;42;0;100;1;1;18;33;9;24;0;100;9;72;18;39;2;14;12;71;14;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:45;A 49;1;3;1;11;11;10;12;0;0;0;0;8;81;0;0;0;0;0;0;7;6;6;90;0;0;2;1;7;29;0;0;1;53;4;32;4;49;0;0;18;25;9;33;1;98;6;71;35;38;5;17;12;72;7;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:44;A 49;1;1;0;9;10;8;10;3;2;0;0;10;74;0;0;0;0;0;0;7;7;4;87;0;0;1;0;9;58;0;0;2;89;4;58;7;46;0;0;15;53;8;9;1;99;7;59;6;35;2;25;12;75;9;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:43;A 49;1;0;0;11;13;7;7;1;1;2;4;9;72;0;0;0;0;0;0;4;9;7;77;0;0;3;2;7;54;0;0;3;55;1;2;5;7;0;0;17;61;7;5;0;100;13;76;13;62;7;34;11;77;6;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2024;16:42;A 49;1;1;0;7;8;6;5;1;0;1;0;0;100;0;0;0;0;0;0;0;100;0;100;0;0;8;6;16;45;0;0;2;91;2;6;3;3;1;1;7;17;7;8;0;100;5;68;2;41;2;66;8;85;7;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
