Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;D23Z;D23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;D83Z;D83B;V84Z;V84B;TF38Z;TF38B;TB38Z;TB38B;TF38aZ;TF38aB;TB38aZ;TB38aB;VK1_iOZ;VK1_iOB;VK2_iOZ;VK2_iOB
24.09.2024;01:19;A 61;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:18;A 61;1;0;0;0;0;1;0;0;0;2;0;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:17;A 61;1;0;0;0;0;0;0;0;0;39;4;1;0;1;1;1;6;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:16;A 61;1;0;0;1;1;1;1;2;10;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:15;A 61;1;0;0;0;0;0;0;0;0;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:14;A 61;1;0;0;0;0;0;0;0;0;9;0;1;0;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:13;A 61;1;0;0;0;0;0;0;0;0;62;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:12;A 61;1;0;0;1;0;1;1;1;9;110;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:11;A 61;1;0;0;0;0;1;2;0;0;115;11;1;0;1;0;1;5;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:10;A 61;1;1;0;1;0;1;1;1;10;102;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:09;A 61;1;0;0;0;0;0;0;0;0;112;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:08;A 61;1;1;0;1;0;1;0;1;6;90;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
