Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D41Z;D41B;D51Z;D51B;D81Z;D81B;D82Z;D82B;D211Z;D211B;D212Z;D212B;V57_M71_804Z;V57_M71_804B;H57_M72_805Z;H57_M72_805B;A57_M73_806Z;A57_M73_806B;V58_M81_812Z;V58_M81_812B;H58_M82_813Z;H58_M82_813B;A58_M83_814Z;A58_M83_814B;T1_1_10_1Z;T1_1_10_1B;T1_2_10_2Z;T1_2_10_2B;T2_1_7_1Z;T2_1_7_1B;T2_2_7_2Z;T2_2_7_2B;T8_1_9_1Z;T8_1_9_1B;T8_2_9_2Z;T8_2_9_2B
17.05.2024;02:00;A163;1;0;0;0;0;0;0;0;0;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
17.05.2024;01:59;A163;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
17.05.2024;01:58;A163;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
17.05.2024;01:57;A163;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
17.05.2024;01:56;A163;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
17.05.2024;01:55;A163;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
17.05.2024;01:54;A163;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;;;;;
17.05.2024;01:53;A163;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;;;
17.05.2024;01:52;A163;1;0;0;0;0;0;0;0;0;0;0;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;29;;;;;;
17.05.2024;01:51;A163;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;
17.05.2024;01:50;A163;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
