Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;V321Z;V321B;TF32aZ;TF32aB;TF32bZ;TF32bB;TBS32aZ;TBS32aB;TBS32bZ;TBS32bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB
05.07.2024;01:13;A103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:12;A103;1;2;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:11;A103;1;0;0;6;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:10;A103;1;0;0;1;2;5;13;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:09;A103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:08;A103;1;1;3;3;15;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:07;A103;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:06;A103;1;0;0;1;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:05;A103;1;1;2;3;21;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:04;A103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:03;A103;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:02;A103;1;0;0;3;8;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:01;A103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;01:00;A103;1;0;0;1;4;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:59;A103;1;1;3;2;10;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:58;A103;1;1;3;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:57;A103;1;0;0;3;4;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:56;A103;1;3;2;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:55;A103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:54;A103;1;2;2;8;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:53;A103;1;0;0;2;11;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:52;A103;1;0;0;2;10;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:51;A103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:50;A103;1;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:49;A103;1;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:48;A103;1;1;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:47;A103;1;2;4;3;17;2;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:46;A103;1;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:45;A103;1;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:44;A103;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:43;A103;1;1;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:42;A103;1;0;0;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:41;A103;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:40;A103;1;2;2;2;7;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:39;A103;1;4;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:38;A103;1;2;2;2;9;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:37;A103;1;1;2;3;12;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:36;A103;1;1;2;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:35;A103;1;1;0;2;8;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:34;A103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:33;A103;1;1;4;2;10;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:32;A103;1;0;0;1;5;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:31;A103;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:30;A103;1;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:29;A103;1;3;5;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:28;A103;1;0;0;1;4;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:27;A103;1;1;3;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:26;A103;1;2;6;4;15;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:25;A103;1;2;2;6;25;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:24;A103;1;2;3;2;9;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:23;A103;1;0;0;1;5;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:22;A103;1;1;2;6;14;3;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:21;A103;1;3;5;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:20;A103;1;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:19;A103;1;1;3;4;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:18;A103;1;0;0;1;6;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:17;A103;1;0;0;3;10;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:16;A103;1;1;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:15;A103;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:14;A103;1;3;4;6;15;1;6;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:13;A103;1;3;5;1;3;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:12;A103;1;0;0;4;17;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:11;A103;1;3;2;1;2;2;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:10;A103;1;2;2;5;10;2;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:09;A103;1;0;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:08;A103;1;3;6;3;18;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:07;A103;1;2;2;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:06;A103;1;0;0;1;0;1;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:05;A103;1;0;0;2;6;1;4;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
05.07.2024;00:04;A103;1;1;2;3;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:03;A103;1;0;0;1;4;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:02;A103;1;2;6;5;18;1;4;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:01;A103;1;3;3;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.07.2024;00:00;A103;1;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:59;A103;1;2;2;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:58;A103;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:57;A103;1;2;1;2;5;2;5;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:56;A103;1;1;2;2;15;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:55;A103;1;1;3;4;17;1;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:54;A103;1;1;3;5;10;2;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:53;A103;1;0;0;1;5;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:52;A103;1;0;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0
04.07.2024;23:51;A103;1;1;2;7;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:50;A103;1;1;3;2;12;2;8;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:49;A103;1;1;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:48;A103;1;3;1;1;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:47;A103;1;0;0;1;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:46;A103;1;0;0;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:45;A103;1;1;2;5;11;1;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:44;A103;1;6;10;6;29;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:43;A103;1;1;1;2;9;1;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:42;A103;1;4;2;4;24;1;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:41;A103;1;1;2;7;21;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:40;A103;1;0;0;2;2;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:39;A103;1;2;7;6;12;2;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:38;A103;1;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:37;A103;1;1;2;2;9;2;4;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:36;A103;1;2;5;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:35;A103;1;0;0;3;8;2;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:34;A103;1;2;2;3;9;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:33;A103;1;1;1;3;18;1;0;1;3;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0
04.07.2024;23:32;A103;1;0;17;7;29;3;8;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:31;A103;1;3;29;3;32;0;0;2;3;1;1;0;0;1;1;0;0;1;11;0;0;0;0;0;0
04.07.2024;23:30;A103;1;2;6;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:29;A103;1;2;2;4;17;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:28;A103;1;1;3;3;25;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:27;A103;1;0;0;7;13;1;5;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:26;A103;1;3;19;3;21;0;0;1;4;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0
04.07.2024;23:25;A103;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:24;A103;1;4;4;6;12;2;4;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:23;A103;1;0;0;0;0;2;7;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:22;A103;1;5;10;4;17;3;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:21;A103;1;1;2;3;24;3;2;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:20;A103;1;0;0;2;4;3;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:19;A103;1;0;0;5;10;2;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:18;A103;1;2;3;6;19;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:17;A103;1;3;5;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:16;A103;1;1;0;8;25;3;9;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:15;A103;1;1;3;3;8;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:14;A103;1;1;4;6;20;4;14;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:13;A103;1;7;12;6;37;2;5;4;4;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0
04.07.2024;23:12;A103;1;9;12;4;16;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:11;A103;1;0;0;3;13;1;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:10;A103;1;7;15;4;24;1;6;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:09;A103;1;2;2;3;13;2;10;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:08;A103;1;5;13;5;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:07;A103;1;9;14;9;35;1;8;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:06;A103;1;3;2;3;15;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:05;A103;1;8;10;6;29;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:04;A103;1;2;2;4;19;1;4;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:03;A103;1;1;2;7;32;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:02;A103;1;2;4;6;24;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:01;A103;1;0;0;4;22;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;23:00;A103;1;3;7;5;16;2;7;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:59;A103;1;4;12;5;25;0;0;1;4;0;0;2;3;0;0;0;0;1;13;0;0;0;0;0;0
04.07.2024;22:58;A103;1;8;14;6;17;1;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:57;A103;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:56;A103;1;4;13;6;34;0;18;2;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
04.07.2024;22:55;A103;1;0;0;5;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:54;A103;1;1;5;5;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:53;A103;1;1;4;3;24;2;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:52;A103;1;4;9;4;4;1;1;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:51;A103;1;1;1;6;9;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:50;A103;1;7;11;5;35;1;2;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:49;A103;1;5;7;4;23;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:48;A103;1;2;2;1;5;3;11;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:47;A103;1;3;5;4;12;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:46;A103;1;0;0;3;15;2;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:45;A103;1;5;8;5;35;0;0;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:44;A103;1;4;4;3;3;2;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:43;A103;1;3;6;6;15;1;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:42;A103;1;2;2;3;13;1;11;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
