Datum;Uhrzeit;Bezeichnung;Intervall;V111Z;V111B;V121Z;V121B;D21Z;D21B;D22Z;D22B;D23Z;D23B;V211Z;V211B;V221Z;V221B;V231Z;V231B;D33Z;D33B;V301Z;V301B;V311Z;V311B;V321Z;V321B;D41Z;D41B;D42Z;D42B;V411Z;V411B;V421Z;V421B;TA32Z;TA32B;TB32Z;TB32B;TA33Z;TA33B;TB33Z;TB33B;TA35Z;TA35B;TB35Z;TB35B;TA38Z;TA38B;TB38Z;TB38B;TA39Z;TA39B;TB39Z;TB39B;TA41Z;TA41B;TB41Z;TB41B;EG21Z;EG21B;EG22Z;EG22B;D11Z;D11B;D12Z;D12B;D30Z;D30B;D31Z;D31B;D32Z;D32B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB;A4_MP6Z;A4_MP6B;A22_MP1Z;A22_MP1B;A13_MP4Z;A13_MP4B;A45_MP2Z;A45_MP2B;A22_MP2Z;A22_MP2B
17.07.2024;14:19;A 22;1;0;0;7;70;0;0;10;11;0;0;1;69;1;1;1;1;1;3;0;71;1;5;2;8;1;4;4;53;0;0;1;0;6;6;1;52;1;53;1;51;1;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;14:18;A 22;1;0;0;2;16;0;0;5;5;0;0;2;61;5;5;2;54;3;12;2;68;2;35;1;5;1;4;4;10;0;0;1;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;14:16;A 22;1;1;1;3;16;1;0;5;4;0;0;2;53;2;2;2;84;2;7;1;61;1;90;0;0;0;0;1;63;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;13:58;A 22;1;3;4;5;64;1;0;7;7;0;0;0;0;2;3;0;0;2;12;0;0;1;2;0;0;0;0;3;7;0;0;0;0;3;2;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;13:52;A 22;1;0;0;7;35;1;0;9;8;0;0;3;6;2;3;4;83;1;5;2;22;1;96;1;4;0;0;5;17;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;13:43;A 22;1;2;2;2;6;3;1;2;1;0;0;2;37;1;0;1;5;1;2;2;45;1;5;2;2;1;5;4;12;0;0;0;0;5;4;1;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;13:41;A 22;1;0;0;3;50;0;0;5;4;0;0;2;9;4;5;1;0;4;21;1;15;1;2;1;3;0;0;2;54;0;0;0;0;3;4;0;0;1;60;0;0;1;7;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;13:08;A 22;1;0;0;3;17;0;0;5;4;0;0;0;0;1;1;2;10;1;2;0;0;1;5;1;3;1;3;2;7;0;0;1;0;2;3;1;0;2;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;13:01;A 22;1;2;4;0;16;1;0;2;2;0;0;1;8;3;2;0;51;2;9;0;75;0;51;3;13;1;2;5;15;0;0;1;0;6;5;1;1;2;1;0;0;1;4;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:52;A 22;1;0;0;2;43;0;0;3;3;0;0;1;16;1;1;1;49;2;6;0;18;1;54;0;0;1;4;2;64;0;0;1;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:47;A 22;1;1;6;3;13;0;0;4;3;0;0;1;4;1;1;2;55;2;10;1;14;2;43;3;35;0;0;2;7;0;0;0;0;2;1;1;15;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:23;A 22;1;0;0;6;20;0;0;6;5;0;0;1;61;1;1;2;1;1;6;1;66;1;4;2;8;1;2;6;59;0;0;1;0;7;6;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:21;A 22;1;0;0;1;19;0;0;1;0;0;0;3;42;2;22;1;68;0;0;1;51;1;5;1;4;0;0;2;21;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;0;0;1;1;0;0;0;0;3;5;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:17;A 22;1;0;0;7;26;0;0;6;4;0;0;3;5;4;4;3;2;1;5;3;14;3;11;0;0;0;0;2;56;0;0;0;0;2;1;3;76;3;6;0;100;0;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:13;A 22;1;0;0;4;18;0;0;6;6;0;0;3;69;0;0;0;0;1;2;2;77;2;10;3;4;0;0;7;18;0;0;0;0;7;6;0;0;1;0;0;0;2;5;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:12;A 22;1;0;0;3;19;0;0;5;6;0;0;2;64;2;1;1;2;2;6;0;69;1;7;2;2;1;2;1;4;0;0;1;0;2;2;0;0;2;61;0;0;0;67;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:11;A 22;1;0;0;2;7;1;1;2;1;0;0;2;50;1;0;2;39;0;0;2;62;0;44;1;3;0;0;2;6;0;0;0;0;2;2;2;12;2;60;0;0;2;30;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
