Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D41Z;D41B;D42Z;D42B;T1Z;T1B;T2Z;T2B;T3Z;T3B;T4Z;T4B
18.07.2024;01:11;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
18.07.2024;01:07;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
18.07.2024;01:05;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
18.07.2024;00:40;A 19;1;0;100;0;0;1;2;0;0;0;0;0;0;0;0
17.07.2024;23:34;A 19;1;0;100;2;54;0;0;0;0;0;0;0;0;0;0
17.07.2024;22:51;A 19;1;0;100;1;1;0;0;0;0;0;0;0;0;0;0
17.07.2024;22:20;A 19;1;0;100;2;3;0;0;0;0;0;0;0;0;0;0
17.07.2024;20:26;A 19;1;0;100;1;35;1;2;0;0;0;0;0;0;0;0
17.07.2024;17:14;A 19;1;0;100;0;0;0;0;1;1;1;5;1;2;0;0
17.07.2024;15:42;A 19;1;0;100;2;55;1;11;0;0;0;0;0;0;1;1
17.07.2024;15:40;A 19;1;0;100;3;65;0;51;0;0;0;0;0;0;0;0
17.07.2024;15:19;A 19;1;0;100;4;56;0;48;0;0;0;0;1;2;0;0
17.07.2024;15:02;A 19;1;0;100;1;99;0;99;0;0;1;1;2;5;3;7
17.07.2024;14:54;A 19;1;0;100;4;41;1;62;1;3;1;1;0;0;0;0
17.07.2024;14:21;A 19;1;0;100;1;1;0;0;0;0;8;15;0;0;0;0
17.07.2024;14:20;A 19;1;0;100;1;75;0;0;0;0;0;0;0;0;0;0
17.07.2024;14:19;A 19;1;0;100;1;64;0;61;1;1;0;0;3;3;0;0
17.07.2024;14:17;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;2;4
17.07.2024;13:59;A 19;1;0;100;6;80;1;1;0;0;1;1;0;0;0;0
17.07.2024;13:53;A 19;1;0;100;2;5;0;0;0;0;0;0;1;2;1;3
17.07.2024;13:44;A 19;1;0;100;0;60;0;0;0;0;0;0;2;5;0;0
17.07.2024;13:42;A 19;1;0;100;4;33;0;0;0;0;3;5;0;0;3;5
17.07.2024;13:09;A 19;1;0;100;1;62;0;0;1;1;0;0;0;0;0;0
17.07.2024;13:02;A 19;1;0;100;0;0;0;0;0;0;1;1;0;0;0;0
17.07.2024;12:53;A 19;1;0;100;4;21;2;2;0;0;0;0;2;2;0;0
17.07.2024;12:48;A 19;1;0;100;3;3;1;1;0;0;1;1;1;1;0;0
17.07.2024;12:24;A 19;1;0;100;2;68;1;53;0;0;4;4;0;0;0;0
17.07.2024;12:22;A 19;1;0;100;2;30;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:18;A 19;1;0;100;2;3;1;6;0;0;1;2;1;1;0;0
17.07.2024;12:14;A 19;1;0;100;0;0;1;22;0;0;0;0;0;0;0;0
17.07.2024;12:13;A 19;1;0;100;2;10;0;0;0;0;0;0;0;0;1;1
17.07.2024;12:12;A 19;1;0;100;2;38;1;47;0;0;0;0;0;0;1;1
17.07.2024;12:11;A 19;1;0;100;3;31;1;54;0;0;0;0;0;0;1;1
17.07.2024;12:10;A 19;1;0;100;1;24;1;20;0;0;0;0;0;0;1;0
17.07.2024;12:03;A 19;1;0;100;1;1;1;1;0;0;1;1;0;0;0;0
17.07.2024;12:00;A 19;1;0;100;2;3;1;1;0;0;1;2;0;0;0;0
17.07.2024;11:57;A 19;1;0;100;1;39;0;0;0;0;0;0;0;0;1;1
17.07.2024;11:48;A 19;1;0;100;3;8;1;1;1;1;0;0;1;1;0;0
17.07.2024;11:47;A 19;1;0;100;0;0;2;40;0;0;1;2;1;3;1;2
17.07.2024;11:41;A 19;1;0;100;1;3;1;1;0;0;0;0;1;2;0;0
17.07.2024;11:31;A 19;1;0;100;0;0;0;57;0;0;0;0;0;0;0;0
17.07.2024;11:30;A 19;1;0;100;2;46;1;61;0;0;0;0;0;0;0;0
17.07.2024;11:29;A 19;1;0;100;3;46;1;59;0;0;0;0;0;0;0;0
17.07.2024;11:26;A 19;1;0;100;3;47;1;1;0;0;0;0;0;0;4;2
17.07.2024;11:25;A 19;1;0;100;3;68;2;4;0;0;0;0;0;0;0;0
17.07.2024;11:23;A 19;1;0;100;2;27;2;33;0;0;0;0;1;2;0;0
17.07.2024;11:20;A 19;1;0;100;3;78;2;35;0;0;0;0;0;0;0;0
17.07.2024;11:14;A 19;1;0;100;2;14;0;0;0;0;0;0;0;0;1;3
17.07.2024;11:12;A 19;1;0;100;0;0;1;19;0;0;0;0;0;0;0;0
17.07.2024;11:11;A 19;1;0;100;2;57;0;77;1;1;0;0;1;2;0;0
17.07.2024;11:06;A 19;1;0;100;2;46;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:05;A 19;1;0;100;2;2;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:04;A 19;1;0;100;1;6;3;46;0;0;0;0;1;1;0;0
17.07.2024;11:02;A 19;1;0;100;2;32;1;24;0;0;0;0;0;0;0;0
17.07.2024;11:01;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;1;1
17.07.2024;10:57;A 19;1;0;100;0;76;0;0;0;0;2;4;0;0;0;0
17.07.2024;10:55;A 19;1;0;100;2;50;1;3;0;0;0;0;0;0;1;2
17.07.2024;10:50;A 19;1;0;100;2;78;0;0;0;0;0;0;0;0;1;2
17.07.2024;10:48;A 19;1;0;100;3;65;3;47;0;0;0;0;0;0;2;4
17.07.2024;10:44;A 19;1;0;100;2;65;1;82;2;5;0;0;0;0;0;0
17.07.2024;10:42;A 19;1;0;100;0;0;2;54;0;0;0;0;0;0;0;0
17.07.2024;04:48;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:47;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:46;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:45;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:44;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:43;A 19;1;0;100;0;0;1;1;0;0;0;0;0;0;0;0
17.07.2024;04:42;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:41;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:40;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:39;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:38;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:37;A 19;1;0;100;1;10;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:36;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:35;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:34;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:33;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:32;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:31;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:30;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:29;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:28;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:27;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:26;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:25;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:24;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:23;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:22;A 19;1;0;100;0;0;1;34;0;0;0;0;0;0;0;0
17.07.2024;04:21;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:20;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:19;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:18;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:17;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:16;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:15;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:14;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:13;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:12;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:11;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:10;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:09;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:08;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:07;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:06;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:05;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:04;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;04:03;A 19;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0
