Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D51Z;D51B;V52Z;V52B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D111Z;D111B;V112Z;V112B;D95Z;D95B;D911Z;D911B;TF32Z;TF32B;TF35Z;TF35B;TF38Z;TF38B;TF41Z;TF41B;TBS32Z;TBS32B;TBS35Z;TBS35B;TBS38Z;TBS38B;TBS41Z;TBS41B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB
18.07.2024;01:10;A 84;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
18.07.2024;01:06;A 84;1;1;2;2;2;1;8;1;3;0;0;0;0;1;6;0;0;1;9;0;0;0;0;1;0;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
18.07.2024;01:04;A 84;1;0;0;0;0;1;1;0;0;1;0;0;0;1;25;0;0;1;9;0;0;0;0;0;0;13;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
18.07.2024;00:39;A 84;1;3;21;0;0;2;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;23:33;A 84;1;1;1;0;0;2;6;0;0;0;0;1;4;1;1;0;0;2;6;0;0;0;0;0;0;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;22:50;A 84;1;8;37;0;0;1;47;0;0;0;0;0;0;2;1;0;0;1;13;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;22:19;A 84;1;2;1;2;3;1;5;2;7;1;0;0;0;1;25;0;0;1;13;0;0;0;0;0;0;3;1;2;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;;;;;;;;
17.07.2024;20:25;A 84;1;6;45;1;0;1;67;0;0;0;0;0;0;1;23;0;0;1;31;0;0;7;48;2;11;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;17:13;A 84;1;5;4;1;2;4;20;1;4;2;2;2;4;1;38;1;0;1;45;1;1;0;0;1;5;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;15:41;A 84;1;9;24;1;1;2;36;1;2;1;50;2;13;9;21;0;0;5;47;0;0;1;72;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;
17.07.2024;15:39;A 84;1;11;69;0;0;0;100;0;0;1;2;1;4;8;51;0;0;4;71;0;0;6;50;3;50;8;12;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;15:18;A 84;1;9;12;2;1;2;35;2;4;0;0;0;0;5;5;0;0;4;21;1;0;2;34;2;44;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;15:01;A 84;1;10;12;1;2;8;44;1;3;1;1;4;21;10;12;0;0;4;38;0;0;0;100;1;61;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;14:53;A 84;1;2;19;2;5;3;27;2;7;1;0;0;0;2;31;0;0;2;43;0;0;1;0;0;0;19;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;14:20;A 84;1;11;25;0;0;3;61;0;0;1;4;0;100;11;45;0;0;1;69;0;0;2;66;1;74;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;14:19;A 84;1;8;26;0;0;0;49;0;0;1;25;0;100;7;38;0;0;2;60;0;0;1;18;1;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;14:18;A 84;1;12;24;0;0;3;58;0;0;0;0;0;100;5;5;1;0;3;26;0;0;2;4;1;5;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;14:16;A 84;1;4;24;0;0;1;43;1;25;0;0;0;100;9;59;0;0;4;84;0;0;3;29;6;16;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;13:58;A 84;1;2;1;0;0;0;5;0;0;0;0;0;0;8;38;0;0;3;64;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;;;;;;;
17.07.2024;13:52;A 84;1;5;5;0;0;5;32;0;0;0;0;0;0;3;23;0;0;3;27;0;0;1;12;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;13:43;A 84;1;3;30;0;0;1;13;0;0;1;6;1;6;6;21;0;0;3;50;0;0;1;69;1;35;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;13:41;A 84;1;12;10;0;0;6;36;0;0;1;54;2;56;2;1;0;0;2;7;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;13:08;A 84;1;6;20;0;0;2;29;0;0;2;48;2;7;3;25;1;25;4;35;1;6;5;10;1;27;11;24;3;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;13:01;A 84;1;7;16;0;0;1;30;0;0;2;2;0;0;2;35;0;0;3;9;0;0;7;75;0;85;9;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:52;A 84;1;5;32;0;0;5;25;0;100;1;3;1;6;3;34;0;0;2;46;0;0;5;59;7;53;6;8;1;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:47;A 84;1;5;12;0;0;1;31;0;0;1;77;0;1;14;27;0;0;2;72;0;0;4;8;2;7;7;12;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:23;A 84;1;8;15;0;0;2;33;0;0;1;70;1;7;6;61;0;0;1;44;0;0;2;16;0;0;6;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:21;A 84;1;6;6;1;3;2;33;1;4;1;1;0;0;12;30;0;0;7;67;0;0;1;53;1;7;1;0;0;0;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:17;A 84;1;7;40;0;0;1;71;1;34;2;67;1;5;3;34;0;0;2;21;0;0;2;76;2;38;7;8;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:13;A 84;1;9;20;0;0;2;40;0;0;0;0;0;0;7;35;0;0;3;50;1;0;2;90;1;93;7;12;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:12;A 84;1;4;8;1;1;3;23;1;7;1;0;0;0;6;35;0;0;3;35;0;0;3;73;3;12;3;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:11;A 84;1;4;27;1;2;1;43;1;4;0;0;0;0;1;1;0;0;2;9;0;0;1;67;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:10;A 84;1;5;41;0;0;2;51;0;0;1;0;1;2;2;3;0;0;2;15;0;0;7;51;3;57;8;11;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:09;A 84;1;11;65;0;0;1;88;0;0;1;0;3;1;4;5;0;0;2;19;0;0;2;76;1;82;3;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;12:02;A 84;1;8;16;0;0;1;78;0;0;1;3;0;23;6;5;0;0;3;20;0;0;2;66;1;6;12;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.07.2024;11:59;A 84;1;7;56;0;0;2;57;0;0;1;1;2;4;9;47;0;0;4;78;0;0;1;44;1;7;10;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
