Datum;Uhrzeit;Bezeichnung;Intervall;TF32Z;TF32B;TB32Z;TB32B;TF32aZ;TF32aB;TB32aZ;TB32aB
18.07.2024;01:10;A140;1;0;0;0;0;0;0;0;0
18.07.2024;01:06;A140;1;0;0;0;0;0;0;0;0
18.07.2024;01:04;A140;1;0;0;0;0;0;0;0;0
18.07.2024;00:39;A140;1;0;0;0;0;0;0;0;0
17.07.2024;23:33;A140;1;0;0;0;0;0;0;0;0
17.07.2024;22:50;A140;1;0;0;0;0;0;0;0;0
17.07.2024;22:19;A140;1;0;0;0;0;0;0;0;0
17.07.2024;20:25;A140;1;0;0;0;0;0;0;0;0
17.07.2024;17:13;A140;1;0;0;0;0;0;0;0;0
17.07.2024;15:41;A140;1;0;0;0;0;0;0;0;0
17.07.2024;15:39;A140;1;0;0;0;0;4;6;0;0
17.07.2024;15:18;A140;1;0;0;0;0;0;0;0;0
17.07.2024;15:01;A140;1;0;0;0;0;0;0;0;0
17.07.2024;14:53;A140;1;0;0;0;0;0;0;0;0
17.07.2024;14:20;A140;1;0;0;0;0;0;0;0;0
17.07.2024;14:19;A140;1;0;0;0;0;0;0;0;0
17.07.2024;14:18;A140;1;0;0;0;0;0;0;0;0
17.07.2024;14:16;A140;1;0;0;0;0;0;0;0;0
17.07.2024;13:58;A140;1;0;0;0;0;0;0;0;0
17.07.2024;13:52;A140;1;0;0;0;0;1;1;0;0
17.07.2024;13:43;A140;1;0;0;0;0;0;0;0;0
17.07.2024;13:41;A140;1;0;0;0;0;0;0;0;0
17.07.2024;13:08;A140;1;0;0;0;0;0;0;0;0
17.07.2024;13:01;A140;1;0;0;0;0;0;0;0;0
17.07.2024;12:52;A140;1;0;0;0;0;0;0;0;0
17.07.2024;12:47;A140;1;0;0;0;0;0;0;0;0
17.07.2024;12:23;A140;1;0;0;0;0;0;0;0;0
17.07.2024;12:21;A140;1;0;0;0;0;0;0;0;0
17.07.2024;12:17;A140;1;0;0;0;0;1;1;0;0
17.07.2024;12:13;A140;1;0;0;0;0;0;0;0;0
17.07.2024;12:12;A140;1;0;0;0;0;0;0;0;0
17.07.2024;12:11;A140;1;0;0;0;0;0;0;0;0
17.07.2024;12:10;A140;1;2;3;2;14;1;1;0;0
17.07.2024;12:09;A140;1;0;0;0;0;0;0;0;0
17.07.2024;12:02;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:59;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:56;A140;1;1;3;0;0;0;0;0;0
17.07.2024;11:47;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:46;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:40;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:30;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:29;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:28;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:25;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:24;A140;1;0;0;0;0;1;1;0;0
17.07.2024;11:22;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:19;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:13;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:11;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:10;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:05;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:04;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:03;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:01;A140;1;0;0;0;0;0;0;0;0
17.07.2024;11:00;A140;1;0;0;0;0;0;0;0;0
17.07.2024;10:56;A140;1;0;0;0;0;0;0;0;0
17.07.2024;10:54;A140;1;0;0;0;0;0;0;0;0
17.07.2024;10:49;A140;1;0;0;0;0;0;0;0;0
17.07.2024;10:47;A140;1;0;0;0;0;0;0;0;0
17.07.2024;10:43;A140;1;0;0;0;0;0;0;0;0
17.07.2024;10:41;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:46;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:45;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:44;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:43;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:42;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:41;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:40;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:39;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:38;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:37;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:36;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:35;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:34;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:33;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:32;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:31;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:30;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:29;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:28;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:27;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:26;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:25;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:24;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:23;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:22;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:21;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:20;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:19;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:18;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:17;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:16;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:15;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:14;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:13;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:12;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:11;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:10;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:09;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:08;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:07;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:06;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:05;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:04;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:03;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:02;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:01;A140;1;0;0;0;0;0;0;0;0
17.07.2024;04:00;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:59;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:58;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:57;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:56;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:55;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:54;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:53;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:52;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:51;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:50;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:49;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:48;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:47;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:46;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:45;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:44;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:43;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:42;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:41;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:40;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:39;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:38;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:37;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:36;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:35;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:34;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:33;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:32;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:31;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:30;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:29;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:28;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:27;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:26;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:25;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:24;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:23;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:22;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:21;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:20;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:19;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:18;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:17;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:16;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:15;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:14;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:13;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:12;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:11;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:10;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:09;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:08;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:07;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:06;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:05;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:04;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:03;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:02;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:01;A140;1;0;0;0;0;0;0;0;0
17.07.2024;03:00;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:59;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:58;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:57;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:56;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:55;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:54;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:53;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:52;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:51;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:50;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:49;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:48;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:47;A140;1;0;0;0;0;0;0;0;0
17.07.2024;02:46;A140;1;0;0;0;0;0;0;0;0
