Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D41Z;D41B;D42Z;D42B;H75_M1_736Z;H75_M1_736B;AH75/HH81_M2_7XZ;AH75/HH81_M2_7XB;AD75/HD81_M2_7XZ;AD75/HD81_M2_7XB;AH81_M4_738Z;AH81_M4_738B;AH81_M5_769Z;AH81_M5_769B;AD81_M5_769Z;AD81_M5_769B;AH75_M7_770Z;AH75_M7_770B;T1_T2Z;T1_T2B;T5_T6Z;T5_T6B;T7_T8Z;T7_T8B;T11_T12Z;T11_T12B
18.07.2024;01:11;A  7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.07.2024;01:07;A  7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.07.2024;01:05;A  7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.07.2024;00:40;A  7;1;2;4;0;0;0;0;0;0;1;2;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;23:34;A  7;1;1;1;0;0;2;2;1;1;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;22:51;A  7;1;4;3;0;0;3;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;22:20;A  7;1;3;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;0;0;0;0;0;0
17.07.2024;20:26;A  7;1;3;1;2;1;4;3;1;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;17:14;A  7;1;8;7;4;3;8;6;9;6;1;2;1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;2;0;0
17.07.2024;15:42;A  7;1;5;3;3;2;6;5;3;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;22;0;0;0;0;0;0
17.07.2024;15:40;A  7;1;10;7;6;3;8;9;7;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
17.07.2024;15:19;A  7;1;7;5;0;0;4;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;1;2;1;3;0;0
17.07.2024;15:02;A  7;1;5;6;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;14:54;A  7;1;7;21;4;4;4;4;3;3;1;2;1;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;1;2;0;0
17.07.2024;14:21;A  7;1;7;5;6;5;8;9;5;4;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;2;0;0;0;0
17.07.2024;14:20;A  7;1;4;14;2;1;5;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
17.07.2024;14:19;A  7;1;9;10;2;1;7;8;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;8;1;2;0;0
17.07.2024;14:17;A  7;1;2;2;2;1;1;1;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;3;1;2;1;2
17.07.2024;13:59;A  7;1;8;5;5;4;5;17;4;3;1;2;1;2;0;0;1;2;0;0;0;0;0;0;2;6;1;2;0;0;0;0
17.07.2024;13:53;A  7;1;5;5;4;3;4;3;4;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;2;0;0;0;0;0;0
17.07.2024;13:44;A  7;1;6;9;0;0;6;8;8;10;0;0;0;0;0;0;1;2;0;0;0;0;1;2;0;0;2;4;0;0;1;2
17.07.2024;13:42;A  7;1;6;4;2;2;8;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
17.07.2024;13:09;A  7;1;2;2;0;0;4;3;5;4;2;3;2;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;2;0;0
17.07.2024;13:02;A  7;1;1;1;0;0;5;4;2;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;5;0;0;1;2;0;0
17.07.2024;12:53;A  7;1;5;5;2;2;6;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;2;0;0;0;0
17.07.2024;12:48;A  7;1;3;2;1;1;9;8;4;2;1;2;1;2;0;0;2;3;1;2;0;0;1;1;0;0;2;5;0;0;0;0
17.07.2024;12:24;A  7;1;4;4;1;1;8;15;4;3;0;0;0;0;0;0;1;2;0;0;0;0;1;2;0;0;2;4;1;3;0;0
17.07.2024;12:22;A  7;1;11;7;5;3;6;4;5;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:18;A  7;1;9;8;3;2;8;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
17.07.2024;12:14;A  7;1;7;5;5;4;6;11;7;9;2;3;1;2;0;0;0;0;0;0;0;0;1;2;0;0;1;2;0;0;0;0
17.07.2024;12:13;A  7;1;9;8;0;0;3;3;3;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;2;0;0;0;0;0;0
17.07.2024;12:12;A  7;1;3;3;4;3;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
17.07.2024;12:11;A  7;1;7;5;3;2;4;5;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;2;0;0
