Datum;Uhrzeit;Bezeichnung;Intervall;Fg35_T1_T2Z;Fg35_T1_T2B
18.07.2024;01:11;A105;1;0;0
18.07.2024;01:07;A105;1;0;0
18.07.2024;01:05;A105;1;0;0
18.07.2024;00:40;A105;1;0;0
17.07.2024;23:34;A105;1;0;0
17.07.2024;22:51;A105;1;0;0
17.07.2024;22:20;A105;1;0;0
17.07.2024;20:26;A105;1;0;0
17.07.2024;17:14;A105;1;0;0
17.07.2024;15:42;A105;1;1;4
17.07.2024;15:40;A105;1;1;2
17.07.2024;15:19;A105;1;1;2
17.07.2024;15:02;A105;1;0;0
17.07.2024;14:54;A105;1;1;2
17.07.2024;14:21;A105;1;0;0
17.07.2024;14:20;A105;1;0;0
17.07.2024;14:19;A105;1;0;0
17.07.2024;14:17;A105;1;0;0
17.07.2024;13:59;A105;1;0;0
17.07.2024;13:53;A105;1;1;2
17.07.2024;13:44;A105;1;2;4
17.07.2024;13:42;A105;1;0;0
17.07.2024;13:09;A105;1;0;0
17.07.2024;13:02;A105;1;0;0
17.07.2024;12:53;A105;1;0;0
17.07.2024;12:48;A105;1;1;2
17.07.2024;12:24;A105;1;1;2
17.07.2024;12:22;A105;1;3;6
17.07.2024;12:18;A105;1;0;0
17.07.2024;12:14;A105;1;0;0
17.07.2024;12:13;A105;1;0;0
17.07.2024;12:12;A105;1;0;0
17.07.2024;12:11;A105;1;0;0
17.07.2024;12:10;A105;1;1;2
17.07.2024;12:03;A105;1;0;0
17.07.2024;12:00;A105;1;0;0
17.07.2024;11:57;A105;1;0;0
17.07.2024;11:48;A105;1;0;0
17.07.2024;11:47;A105;1;1;2
17.07.2024;11:41;A105;1;0;0
17.07.2024;11:31;A105;1;0;0
17.07.2024;11:30;A105;1;0;0
17.07.2024;11:29;A105;1;0;0
17.07.2024;11:26;A105;1;0;0
17.07.2024;11:25;A105;1;0;0
17.07.2024;11:23;A105;1;0;0
17.07.2024;11:20;A105;1;0;0
17.07.2024;11:14;A105;1;0;0
17.07.2024;11:12;A105;1;0;0
17.07.2024;11:11;A105;1;0;0
17.07.2024;11:06;A105;1;0;0
17.07.2024;11:05;A105;1;0;1
17.07.2024;11:04;A105;1;1;2
17.07.2024;11:02;A105;1;0;0
17.07.2024;11:01;A105;1;1;2
17.07.2024;10:57;A105;1;0;0
17.07.2024;10:55;A105;1;0;0
17.07.2024;10:50;A105;1;1;2
17.07.2024;10:48;A105;1;0;0
17.07.2024;10:44;A105;1;0;0
17.07.2024;10:42;A105;1;0;0
17.07.2024;04:48;A105;1;0;0
17.07.2024;04:47;A105;1;0;0
17.07.2024;04:46;A105;1;0;0
17.07.2024;04:45;A105;1;0;0
17.07.2024;04:44;A105;1;0;0
17.07.2024;04:43;A105;1;0;0
17.07.2024;04:42;A105;1;0;0
17.07.2024;04:41;A105;1;0;0
17.07.2024;04:40;A105;1;0;0
17.07.2024;04:39;A105;1;0;0
17.07.2024;04:38;A105;1;0;0
17.07.2024;04:37;A105;1;0;0
17.07.2024;04:36;A105;1;0;0
17.07.2024;04:35;A105;1;0;0
17.07.2024;04:34;A105;1;0;0
17.07.2024;04:33;A105;1;0;0
17.07.2024;04:32;A105;1;0;0
17.07.2024;04:31;A105;1;0;0
17.07.2024;04:30;A105;1;0;0
17.07.2024;04:29;A105;1;0;0
17.07.2024;04:28;A105;1;0;0
17.07.2024;04:27;A105;1;0;0
17.07.2024;04:26;A105;1;0;0
17.07.2024;04:25;A105;1;0;0
17.07.2024;04:24;A105;1;0;0
17.07.2024;04:23;A105;1;0;0
17.07.2024;04:22;A105;1;0;0
17.07.2024;04:21;A105;1;0;0
17.07.2024;04:20;A105;1;0;0
17.07.2024;04:19;A105;1;0;0
17.07.2024;04:18;A105;1;0;0
17.07.2024;04:17;A105;1;0;0
17.07.2024;04:16;A105;1;0;0
17.07.2024;04:15;A105;1;0;0
17.07.2024;04:14;A105;1;0;0
17.07.2024;04:13;A105;1;0;0
17.07.2024;04:12;A105;1;0;0
17.07.2024;04:11;A105;1;0;0
17.07.2024;04:10;A105;1;0;0
17.07.2024;04:09;A105;1;0;0
17.07.2024;04:08;A105;1;0;0
17.07.2024;04:07;A105;1;0;0
