Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D50Z;D50B;D51Z;D51B;D52Z;D52B;V53Z;V53B;V54Z;V54B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;V85Z;V85B;D110Z;D110B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;V115Z;V115B;T32Z;T32B;T32bZ;T32bB;T35bZ;T35bB;T38Z;T38B;T38bZ;T38bB;T41bZ;T41bB;T35Z;T35B;T41Z;T41B
18.07.2024;01:10;A 17;1;0;100;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;36;0;0;5;41;0;0;0;0;0;0;1;72;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.07.2024;01:06;A 17;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.07.2024;01:04;A 17;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.07.2024;00:39;A 17;1;0;100;0;0;0;0;0;0;0;0;1;16;0;0;1;1;0;0;3;30;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;23:33;A 17;1;0;100;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;4;2;15;2;6;1;6;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;22:50;A 17;1;0;100;2;9;1;2;0;0;0;0;0;5;4;4;0;0;0;0;6;17;0;0;2;29;0;0;0;0;0;0;5;23;0;0;4;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;22:19;A 17;1;0;100;2;60;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;100;1;4;1;57;1;6;1;7;0;0;6;64;1;60;1;66;1;1;3;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;20:25;A 17;1;0;100;2;72;0;0;0;0;0;0;1;22;1;0;0;19;0;0;2;2;1;3;1;95;0;0;0;0;0;0;4;38;1;4;2;44;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;17:13;A 17;1;0;100;2;75;0;0;0;24;2;3;2;34;1;96;1;41;1;83;14;61;1;18;0;100;0;19;1;5;0;0;1;38;3;74;2;23;2;41;2;2;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
17.07.2024;15:41;A 17;1;0;100;6;24;0;0;0;0;3;1;4;18;0;13;2;27;0;0;4;74;2;81;1;89;1;86;1;12;0;0;15;37;5;50;5;85;3;55;3;38;0;0;0;0;0;0;2;3;0;0;0;0;0;0;1;1
17.07.2024;15:39;A 17;1;0;100;0;100;0;0;0;0;0;0;4;34;0;0;2;51;0;0;9;65;1;3;0;100;1;5;0;26;0;0;9;77;4;87;1;93;0;100;2;28;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1
17.07.2024;15:18;A 17;1;0;100;4;20;1;7;0;0;0;0;2;49;2;44;0;50;2;42;6;69;2;15;2;93;1;17;0;0;0;0;8;55;7;69;3;73;1;87;4;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;15:01;A 17;1;0;100;3;65;0;0;0;0;0;0;0;0;3;2;0;0;0;0;12;49;2;38;2;88;1;43;2;13;0;0;4;43;2;47;2;55;3;33;1;5;2;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0
17.07.2024;14:53;A 17;1;0;100;4;49;1;2;0;0;0;0;2;54;2;51;2;55;2;22;15;53;1;17;1;98;1;18;0;0;0;0;2;2;1;51;1;5;2;3;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;14:20;A 17;1;0;100;0;100;1;4;1;43;0;0;2;21;1;32;1;47;1;2;5;82;0;0;0;100;0;0;0;0;0;0;3;26;2;27;2;12;1;21;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;14:19;A 17;1;0;100;3;93;0;0;0;0;0;0;1;61;0;0;2;57;0;0;9;59;2;27;3;88;2;32;2;10;0;0;2;4;3;22;1;7;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;14:18;A 17;1;0;100;0;65;1;4;1;8;1;0;1;81;1;1;1;4;0;2;10;46;0;0;5;69;0;0;0;0;0;0;5;83;0;0;2;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;14:16;A 17;1;0;100;3;32;0;0;0;0;1;1;2;70;2;3;1;74;2;5;12;68;2;21;1;95;2;23;1;1;0;0;5;73;1;51;5;18;1;4;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;13:58;A 17;1;0;100;3;54;1;2;0;0;0;0;1;1;0;0;0;3;0;0;3;55;1;1;1;67;1;2;1;2;0;0;2;69;0;0;2;77;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
17.07.2024;13:52;A 17;1;0;100;5;58;0;0;0;0;1;0;2;58;1;16;3;61;1;5;12;69;1;18;2;98;1;22;1;7;0;0;3;74;2;51;3;74;4;6;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
17.07.2024;13:43;A 17;1;0;100;3;21;1;0;0;0;2;1;5;68;1;27;2;75;1;3;7;44;1;17;2;69;0;18;1;4;0;0;2;38;4;66;2;11;2;31;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;13:41;A 17;1;0;100;3;34;0;0;0;0;0;0;4;32;0;0;3;44;3;17;5;68;2;37;2;80;2;40;1;9;0;0;3;60;2;4;2;9;2;5;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;13:08;A 17;1;0;100;3;52;0;0;0;0;1;0;3;78;1;0;2;86;0;0;11;73;1;0;0;100;0;0;0;2;0;0;3;94;2;84;1;87;3;13;2;12;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
17.07.2024;13:01;A 17;1;0;100;7;53;0;0;0;0;1;29;1;31;1;74;4;18;1;2;14;36;2;1;5;79;2;3;1;1;0;0;1;86;1;31;2;62;2;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:52;A 17;1;0;100;3;17;0;0;0;0;3;1;2;2;9;81;2;7;2;7;3;51;2;4;2;65;2;30;2;35;0;0;3;73;2;80;0;81;2;58;2;27;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:47;A 17;1;0;100;4;70;0;0;1;3;1;0;1;1;1;0;2;5;0;0;11;10;8;53;0;100;7;61;6;10;0;0;5;19;2;2;3;26;1;3;2;6;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
17.07.2024;12:23;A 17;1;0;100;1;47;0;0;0;0;1;3;2;41;1;41;2;8;1;4;6;43;1;42;1;57;1;46;1;11;0;0;10;77;2;20;2;98;3;15;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
17.07.2024;12:21;A 17;1;0;100;0;74;1;3;0;0;0;0;1;6;1;72;1;13;1;4;7;48;2;64;1;72;2;67;3;11;0;0;5;74;2;11;1;86;1;12;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:17;A 17;1;0;100;3;51;1;2;0;0;5;63;4;68;2;57;3;85;3;6;5;87;2;2;1;99;2;5;4;7;0;0;6;47;1;2;5;21;2;3;1;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:13;A 17;1;0;100;2;28;0;0;0;0;1;41;1;42;0;7;3;6;0;0;7;30;1;3;3;52;1;3;1;1;0;0;5;62;2;40;4;78;2;46;3;7;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:12;A 17;1;0;100;1;60;0;0;0;0;0;0;1;0;1;61;1;5;1;4;4;3;1;1;4;22;1;3;1;4;0;0;3;4;3;28;2;7;2;7;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:11;A 17;1;0;100;3;67;0;0;0;0;1;0;2;2;0;0;2;8;0;0;9;37;2;22;1;64;1;43;1;36;0;0;3;71;1;0;2;55;2;2;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:10;A 17;1;0;100;3;49;0;0;0;0;1;0;1;0;0;0;1;3;0;0;10;35;2;7;5;72;2;11;3;13;0;0;4;79;3;87;2;42;1;87;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:09;A 17;1;0;100;4;19;1;3;0;0;0;0;1;0;0;0;1;3;0;0;5;42;1;26;4;63;1;27;0;0;0;0;5;71;2;3;2;81;2;5;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;12:02;A 17;1;0;100;2;20;3;6;0;0;1;0;3;17;0;0;3;24;0;0;6;44;1;58;3;34;1;59;0;0;0;0;2;23;6;39;2;16;2;11;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
17.07.2024;11:59;A 17;1;0;100;1;79;0;0;1;9;0;0;1;33;1;0;2;16;0;0;8;66;0;0;0;84;0;0;0;0;0;0;2;67;1;10;2;36;0;10;2;6;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:56;A 17;1;0;100;2;56;0;0;0;0;1;0;3;84;2;33;2;42;2;15;14;37;2;10;1;78;1;24;2;31;0;0;1;20;0;80;2;8;0;0;1;12;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:47;A 17;1;0;100;1;93;0;0;1;23;1;1;2;18;2;33;3;32;2;12;6;74;1;1;1;94;1;2;1;5;0;0;8;49;5;52;1;64;2;64;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
17.07.2024;11:46;A 17;1;0;100;2;77;0;0;0;0;3;1;2;2;1;0;2;6;0;0;15;58;1;1;1;97;1;2;1;0;0;0;2;76;1;61;1;80;2;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:40;A 17;1;0;100;3;33;1;3;0;0;0;0;2;40;3;27;1;12;6;20;6;53;1;0;2;71;0;0;0;0;0;0;2;44;2;49;2;8;1;38;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:30;A 17;1;0;100;4;36;0;0;0;0;0;0;0;0;1;38;0;0;1;5;18;44;1;1;2;98;1;3;1;2;0;0;1;93;1;20;2;96;2;4;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
17.07.2024;11:29;A 17;1;0;100;0;24;0;0;0;0;0;0;0;0;1;9;0;0;1;3;10;52;0;13;3;74;0;15;1;5;0;0;0;0;2;60;0;0;1;4;2;5;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:28;A 17;1;0;100;2;29;0;0;0;0;0;0;3;25;0;0;3;14;0;0;13;69;1;26;0;100;1;28;0;0;0;0;4;7;1;0;4;17;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:25;A 17;1;0;100;2;84;2;5;1;2;0;17;0;18;2;31;1;2;0;32;7;65;3;46;1;87;1;53;3;14;0;0;4;39;3;27;5;29;2;19;7;23;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:24;A 17;1;0;100;1;98;1;2;0;0;3;8;5;19;3;76;3;24;1;86;8;75;0;0;2;98;0;0;0;0;0;0;0;0;3;65;0;0;3;11;1;38;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;0
17.07.2024;11:22;A 17;1;0;100;1;54;0;0;1;15;0;0;0;0;0;0;0;0;0;0;13;67;1;41;0;100;0;47;1;26;0;0;0;0;2;76;0;0;2;11;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:19;A 17;1;0;100;1;60;1;3;1;19;1;1;4;52;1;9;1;61;1;5;11;65;2;2;1;97;2;3;10;10;0;0;5;82;2;45;2;37;2;3;4;48;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:13;A 17;1;0;100;4;28;1;3;0;0;4;6;1;0;0;0;1;4;0;0;8;69;0;0;4;89;0;0;0;0;0;0;1;0;1;1;1;5;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:11;A 17;1;0;100;2;82;1;3;0;0;0;0;4;13;1;38;5;25;1;3;8;9;0;0;4;44;0;0;0;0;0;0;3;67;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:10;A 17;1;0;100;4;18;1;2;0;0;0;0;0;0;0;0;0;0;0;0;14;52;2;27;1;86;0;32;1;5;0;0;1;1;1;2;1;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:05;A 17;1;0;100;1;90;0;0;0;0;2;1;5;49;1;37;4;31;1;38;5;58;1;23;4;83;2;26;1;8;0;0;2;14;2;1;2;12;1;2;2;16;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
17.07.2024;11:04;A 17;1;0;100;1;59;0;0;0;0;2;0;4;18;2;46;1;27;1;52;6;57;1;18;2;74;1;21;1;6;0;0;0;0;0;16;0;0;0;14;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:03;A 17;1;0;100;2;49;0;0;0;0;0;0;3;63;2;59;2;47;3;16;9;63;1;1;0;86;1;2;1;4;0;0;5;9;4;59;3;20;2;64;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:01;A 17;1;0;100;3;68;1;4;0;0;2;1;3;11;1;1;3;11;1;2;7;58;1;3;4;79;1;5;0;30;0;0;6;77;2;71;4;93;1;74;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;11:00;A 17;1;0;100;4;70;2;5;0;0;2;1;2;17;1;30;2;11;1;9;10;69;2;64;0;100;1;70;2;6;0;0;7;62;2;17;3;75;3;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;10:56;A 17;1;0;100;1;4;0;0;0;0;2;0;3;40;1;61;2;13;1;3;11;65;2;2;0;100;2;3;1;2;0;0;1;53;1;0;1;4;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.07.2024;10:54;A 17;1;0;100;4;38;0;0;0;0;0;82;2;89;0;0;1;81;1;1;14;47;1;12;2;98;1;18;0;9;0;0;3;36;1;2;3;47;1;2;3;20;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
17.07.2024;10:49;A 17;1;0;100;7;30;0;0;0;0;0;0;8;75;0;0;1;70;0;0;12;54;2;2;4;83;2;4;1;2;0;0;4;49;1;7;2;21;1;2;1;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
