Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D41Z;D41B;D42Z;D42B;res1Z;res1B;res2Z;res2B;res3Z;res3B;FG-AF_41aZ;FG-AF_41aB;FG-AF_BF41aZ;FG-AF_BF41aB;FG-AF_41bZ;FG-AF_41bB;FG-AF_BF41bZ;FG-AF_BF41bB;A88_MP2Z;A88_MP2B;A117/MP1Z;A117/MP1B;A117_MP2Z;A117_MP2B;A118_MP3Z;A118_MP3B;A117_MP3Z;A117_MP3B;A117_MP4Z;A117_MP4B
15.08.2024;09:30;A117;1;0;0;0;0;8;8;8;9;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:29;A117;1;0;0;0;0;11;13;11;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:28;A117;1;0;0;0;0;10;9;11;12;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:27;A117;1;0;0;0;0;13;16;12;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:26;A117;1;0;0;0;0;8;9;15;17;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:25;A117;1;0;0;0;0;12;13;20;24;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:24;A117;1;0;0;0;0;10;50;4;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;09:23;A117;1;0;0;0;0;15;23;7;10;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:22;A117;1;0;0;0;0;17;26;7;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:21;A117;1;0;57;0;0;10;42;11;45;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
