Datum;Uhrzeit;Bezeichnung;Intervall;V231Z;V231B;V241Z;V241B;V211Z;V211B;V222Z;V222B;D51Z;D51B;D52Z;D52B;V511Z;V511B;V521Z;V521B;V55Z;V55B;V51_1Z;V51_1B;ST51Z;ST51B;ST55_1Z;ST55_1B;T38Z;T38B;TB38Z;TB38B;TB35Z;TB35B;V821Z;V821B;V811Z;V811B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B;D81Z;D81B;D82Z;D82B;VK1_4_StoeZ;VK1_4_StoeB;VK5_7_StoeZ;VK5_7_StoeB
03.07.2024;23:24;A 38;1;3;1;0;0;2;8;0;0;2;1;1;0;1;6;1;1;0;0;0;0;0;0;0;0;1;0;2;1;1;1;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:23;A 38;1;1;1;0;0;1;8;0;0;1;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:22;A 38;1;2;1;1;0;1;6;1;1;1;0;1;0;1;3;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0;1;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:21;A 38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;9;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:20;A 38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:19;A 38;1;1;0;0;0;1;4;0;0;1;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;1;1;3;3;1;7;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:18;A 38;1;3;1;0;0;5;11;0;0;3;1;1;0;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:17;A 38;1;2;1;0;0;2;7;0;0;2;1;0;0;1;7;0;0;0;0;1;0;0;0;0;0;1;1;1;0;2;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:16;A 38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:15;A 38;1;2;1;0;0;4;8;0;0;2;1;1;0;2;7;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;3;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:14;A 38;1;1;46;0;0;0;45;0;0;3;2;1;1;1;10;1;5;0;0;0;0;0;0;0;0;0;0;2;36;0;0;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:13;A 38;1;4;18;0;0;5;36;0;0;3;2;0;0;3;14;0;0;0;0;1;17;0;0;2;13;0;0;2;15;0;0;3;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:12;A 38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;5;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:11;A 38;1;2;1;0;0;4;9;0;0;2;1;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:10;A 38;1;2;1;0;0;2;8;0;0;3;2;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:09;A 38;1;3;2;0;0;5;15;0;0;3;3;0;0;5;26;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:08;A 38;1;2;2;0;0;2;12;0;0;4;3;0;0;3;16;0;0;0;0;1;40;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:07;A 38;1;5;4;0;0;1;20;0;0;2;1;1;0;1;11;1;1;0;0;0;0;0;0;0;0;1;0;2;1;0;0;2;16;0;0;0;0;0;0;0;0;1;5;1;6;0;0;0;0;0;0
03.07.2024;23:06;A 38;1;2;33;0;0;3;15;0;0;3;2;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:05;A 38;1;1;8;0;0;2;10;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;1;3;1;2;14;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:04;A 38;1;3;3;0;0;2;13;0;0;2;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;23:03;A 38;1;1;40;0;0;0;0;0;0;1;1;1;1;1;7;1;5;0;0;0;0;0;0;0;0;1;0;3;34;1;3;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
