Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;D11Z;D11B;D12Z;D12B;TF32Z;TF32B;TB32Z;TB32B;TF33Z;TF33B;TB33Z;TB33B;ST51Z;ST51B;ST55Z;ST55B;LUe_AbFV2_A8Z;LUe_AbFV2_A8B
11.04.2024;00:42;A 80;1;0;0;3;8;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;18:25;A 80;1;0;0;6;28;1;0;2;28;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;18:20;A 80;1;0;0;4;29;1;2;2;55;1;19;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;18:16;A 80;1;0;0;4;40;1;2;4;18;0;0;0;100;0;0;0;0;1;1;0;0;0;0;0;0;0;0
10.04.2024;18:07;A 80;1;0;0;4;46;1;1;2;20;0;80;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0
10.04.2024;18:03;A 80;1;0;0;3;18;2;2;3;27;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;18:00;A 80;1;2;5;3;24;1;2;4;22;0;0;0;100;0;0;0;0;1;1;1;1;0;0;0;0;0;0
10.04.2024;17:59;A 80;1;1;0;5;32;1;2;3;22;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:58;A 80;1;0;0;5;28;1;0;4;43;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:57;A 80;1;0;0;2;70;1;2;2;44;0;37;0;100;0;0;0;0;1;1;1;1;0;0;0;0;0;0
10.04.2024;17:56;A 80;1;1;0;5;30;1;2;5;30;1;17;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:55;A 80;1;1;1;4;26;1;1;4;31;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:54;A 80;1;3;4;5;56;4;8;2;50;0;28;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:53;A 80;1;1;0;6;37;1;8;2;77;1;83;0;100;0;0;0;0;1;1;1;1;0;0;0;0;0;0
10.04.2024;17:52;A 80;1;0;0;9;50;2;2;5;24;0;0;0;100;0;0;0;0;1;1;2;4;0;0;0;0;0;0
10.04.2024;17:51;A 80;1;2;2;2;8;1;2;5;34;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:50;A 80;1;0;0;5;44;0;0;3;43;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:49;A 80;1;1;1;4;49;5;6;4;39;0;0;0;100;0;0;0;0;1;1;0;0;0;0;0;0;0;0
10.04.2024;17:48;A 80;1;1;0;7;37;2;3;1;3;0;0;0;100;0;0;0;0;1;1;1;1;0;0;0;0;0;0
