Datum;Uhrzeit;Bezeichnung;Intervall;D51Z;D51B;D52Z;D52B;V51Z;V51B;D111Z;D111B;V111Z;V111B;D112Z;D112B;TF35aZ;TF35aB;TB35aZ;TB35aB;TF35bZ;TF35bB;TB35bZ;TB35bB
11.04.2024;00:42;A149;1;1;2;1;2;3;12;2;1;1;0;1;4;0;0;0;0;0;0;0;0
10.04.2024;18:25;A149;1;6;5;9;7;7;29;5;5;2;18;4;4;0;0;0;0;0;0;0;0
10.04.2024;18:20;A149;1;6;5;5;4;3;23;3;2;3;16;1;1;0;0;0;0;0;0;0;0
10.04.2024;18:16;A149;1;7;6;7;4;4;17;4;7;3;23;5;16;1;1;0;0;1;1;0;0
10.04.2024;18:07;A149;1;2;91;3;3;0;100;3;26;2;14;3;3;0;0;0;0;0;0;1;1
10.04.2024;18:03;A149;1;3;3;3;2;2;16;5;11;4;30;3;3;0;0;0;0;0;0;0;0
10.04.2024;18:00;A149;1;2;1;2;1;2;8;1;1;1;5;4;8;0;0;0;0;0;0;0;0
10.04.2024;17:59;A149;1;5;5;3;2;3;18;9;10;3;43;9;12;0;0;0;0;0;0;0;0
10.04.2024;17:58;A149;1;7;7;6;5;4;37;2;2;2;10;2;2;1;1;0;0;0;0;0;0
10.04.2024;17:57;A149;1;2;2;4;3;1;9;3;4;2;16;3;3;0;0;0;0;0;0;0;0
10.04.2024;17:56;A149;1;3;15;3;2;3;15;6;6;4;26;6;8;0;0;0;0;0;0;1;1
10.04.2024;17:55;A149;1;7;5;5;4;2;20;6;6;4;29;7;7;0;0;0;0;0;0;0;0
10.04.2024;17:54;A149;1;7;34;5;4;2;51;9;63;5;75;10;11;0;0;0;0;1;1;1;1
10.04.2024;17:53;A149;1;8;7;5;4;4;23;0;100;2;9;3;2;1;1;0;0;0;0;0;0
10.04.2024;17:52;A149;1;9;8;9;7;6;32;6;18;4;33;5;6;0;0;0;0;0;0;0;0
10.04.2024;17:51;A149;1;3;22;2;1;2;35;5;23;4;25;5;5;0;0;0;0;0;0;0;0
10.04.2024;17:50;A149;1;8;41;8;7;2;60;3;2;2;10;4;3;0;0;0;0;0;0;1;2
10.04.2024;17:49;A149;1;5;12;7;9;3;59;10;9;5;47;9;7;0;0;0;0;0;0;0;0
10.04.2024;17:48;A149;1;4;4;4;4;1;12;4;4;3;41;3;3;0;0;0;0;0;0;0;0
10.04.2024;17:47;A149;1;3;28;2;1;1;33;2;1;4;20;4;4;0;0;0;0;0;0;0;0
10.04.2024;17:46;A149;1;8;9;7;5;4;36;7;6;2;26;5;4;1;1;1;2;1;1;1;1
10.04.2024;17:45;A149;1;6;8;5;6;4;21;9;12;3;49;9;32;0;0;0;0;0;0;0;0
10.04.2024;17:44;A149;1;6;54;5;3;2;66;4;14;5;24;5;9;1;1;0;0;1;1;1;1
10.04.2024;17:43;A149;1;7;7;7;5;6;33;6;6;4;24;5;5;0;0;0;0;1;1;1;1
10.04.2024;17:42;A149;1;4;31;3;2;4;40;6;27;3;58;5;7;0;0;0;0;1;1;0;0
10.04.2024;17:41;A149;1;6;8;9;8;4;24;7;12;5;39;9;13;0;0;0;0;1;1;1;2
10.04.2024;17:40;A149;1;9;38;7;7;1;43;7;11;4;42;8;10;0;0;0;0;1;1;0;0
10.04.2024;17:39;A149;1;4;54;3;4;0;100;9;9;3;37;6;6;0;0;0;0;1;1;0;0
10.04.2024;17:38;A149;1;9;9;11;13;5;45;6;5;4;28;9;9;0;0;0;0;0;0;0;0
10.04.2024;17:37;A149;1;6;10;5;4;8;38;4;29;2;37;4;4;0;0;0;0;0;0;0;0
10.04.2024;17:36;A149;1;9;8;11;9;8;37;5;4;2;13;4;4;0;0;0;0;1;1;1;1
10.04.2024;17:35;A149;1;4;3;4;3;4;16;3;2;3;11;6;5;0;0;0;0;1;1;0;0
10.04.2024;17:34;A149;1;15;23;10;9;5;57;5;4;3;18;4;4;0;0;0;0;0;0;0;0
10.04.2024;17:33;A149;1;12;18;14;16;3;51;7;6;9;31;8;8;0;0;0;0;0;0;0;0
10.04.2024;17:32;A149;1;6;14;7;6;4;30;6;34;5;57;5;15;0;0;0;0;0;0;0;0
10.04.2024;17:31;A149;1;3;2;3;2;3;12;4;4;3;20;5;9;0;0;0;0;1;1;0;0
10.04.2024;17:30;A149;1;6;6;4;3;3;21;3;3;3;14;3;3;0;0;0;0;0;0;0;0
10.04.2024;17:29;A149;1;10;32;10;9;3;68;9;19;3;47;9;12;0;0;0;0;0;0;0;0
10.04.2024;17:28;A149;1;3;3;5;3;5;22;9;9;3;39;9;9;0;0;0;0;2;3;1;1
10.04.2024;17:27;A149;1;8;25;6;4;8;57;5;29;6;35;5;6;0;0;0;0;1;1;0;0
10.04.2024;17:26;A149;1;2;2;4;3;2;14;4;15;4;27;5;6;0;0;0;0;0;0;0;0
10.04.2024;17:25;A149;1;10;32;7;6;4;55;9;30;3;56;8;16;1;1;0;0;1;1;0;0
10.04.2024;17:24;A149;1;8;8;11;9;5;56;3;2;2;12;4;4;0;0;0;0;1;1;0;0
10.04.2024;17:23;A149;1;7;10;3;1;4;32;9;9;6;25;9;10;0;0;0;0;0;0;0;0
10.04.2024;17:22;A149;1;4;33;6;7;4;49;5;4;4;20;5;4;0;0;0;0;0;0;0;0
10.04.2024;17:21;A149;1;9;9;9;7;6;38;5;4;3;21;5;5;1;1;1;1;0;0;0;0
10.04.2024;17:20;A149;1;3;2;3;2;3;18;8;9;2;31;6;6;0;0;0;0;0;0;0;0
10.04.2024;17:19;A149;1;8;20;8;7;4;46;8;26;3;60;10;11;0;0;0;0;1;1;1;1
10.04.2024;17:18;A149;1;2;1;1;0;2;5;8;28;5;57;6;7;0;0;0;0;0;0;0;0
10.04.2024;17:17;A149;1;10;50;11;14;1;82;8;38;6;29;8;13;1;1;1;1;0;0;0;0
10.04.2024;17:16;A149;1;4;3;8;5;3;20;5;9;3;21;5;5;0;0;0;0;1;1;0;0
10.04.2024;17:15;A149;1;9;10;6;5;2;23;8;13;2;40;4;13;0;0;0;0;0;0;0;0
10.04.2024;17:14;A149;1;7;41;9;7;3;64;6;32;5;36;8;9;4;6;0;0;0;0;0;0
10.04.2024;17:13;A149;1;9;11;8;6;4;40;7;6;5;27;6;6;2;3;1;3;0;0;0;0
10.04.2024;17:12;A149;1;3;3;5;4;4;22;4;3;4;15;5;4;0;0;0;0;0;0;0;0
10.04.2024;17:11;A149;1;6;5;5;3;3;23;8;7;4;31;7;7;0;0;0;0;0;0;0;0
10.04.2024;17:10;A149;1;3;17;5;4;3;31;7;24;5;55;9;10;1;1;0;0;0;0;0;0
10.04.2024;17:09;A149;1;8;8;5;5;3;35;8;42;2;37;3;3;0;0;0;0;1;1;0;0
10.04.2024;17:08;A149;1;7;37;7;7;1;60;2;1;3;15;7;9;1;1;0;0;0;0;0;0
10.04.2024;17:07;A149;1;9;9;10;7;5;38;5;5;3;22;3;3;1;1;0;0;1;1;1;2
10.04.2024;17:06;A149;1;9;9;10;8;4;49;8;7;5;28;8;7;0;0;0;0;0;0;0;0
10.04.2024;17:05;A149;1;7;7;7;6;5;31;5;11;4;31;4;4;0;0;0;0;0;0;0;0
10.04.2024;17:04;A149;1;10;9;10;8;8;42;2;1;2;9;3;4;0;0;0;0;0;0;0;0
10.04.2024;17:03;A149;1;4;4;4;3;3;19;3;10;3;13;4;3;0;0;0;0;0;0;0;0
10.04.2024;17:02;A149;1;11;11;11;8;5;43;3;2;2;8;2;1;0;0;0;0;1;1;1;1
10.04.2024;17:01;A149;1;12;14;9;12;3;48;10;16;4;46;6;7;0;0;0;0;0;0;0;0
10.04.2024;17:00;A149;1;11;11;12;16;5;38;3;7;3;17;7;45;0;0;0;0;0;0;0;0
10.04.2024;16:59;A149;1;6;7;8;6;5;31;1;1;1;4;1;1;0;0;0;0;0;0;0;0
10.04.2024;16:58;A149;1;12;14;9;10;8;59;4;4;3;19;3;3;0;0;0;0;0;0;0;0
10.04.2024;16:57;A149;1;12;34;14;27;3;67;8;17;4;33;9;9;1;1;0;0;0;0;0;0
10.04.2024;16:56;A149;1;5;17;6;5;4;23;3;4;2;22;3;3;1;1;0;0;0;0;0;0
10.04.2024;16:55;A149;1;5;21;4;3;3;48;6;8;4;46;5;5;0;0;0;0;1;1;1;1
10.04.2024;16:54;A149;1;7;25;5;3;3;48;9;37;5;41;8;8;0;0;0;0;1;1;1;1
10.04.2024;16:53;A149;1;7;50;7;8;1;76;5;6;5;22;7;7;0;0;0;0;1;1;0;0
10.04.2024;16:52;A149;1;11;11;15;13;7;70;3;3;1;14;3;4;0;0;0;0;0;0;0;0
10.04.2024;16:51;A149;1;4;3;6;5;5;22;6;25;4;46;5;5;0;0;0;0;1;1;0;0
10.04.2024;16:50;A149;1;4;4;4;3;4;21;6;8;5;22;6;8;0;0;0;0;0;0;0;0
10.04.2024;16:49;A149;1;3;2;4;2;1;7;13;11;8;56;14;15;0;0;0;0;0;0;0;0
10.04.2024;16:48;A149;1;5;5;5;3;6;32;8;8;4;32;6;9;0;0;0;0;0;0;0;0
10.04.2024;16:47;A149;1;9;12;7;5;3;35;8;7;3;31;10;13;0;0;0;0;0;0;0;0
