Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D41Z;D41B;D42Z;D42B;D55Z;D55B;H51_M1_637Z;H51_M1_637B;A51_M2_638Z;A51_M2_638B;H55_M3_640Z;H55_M3_640B;A55_M4_641Z;A55_M4_641B;V51_M5_636Z;V51_M5_636B;T1Z;T1B;T2Z;T2B;T5Z;T5B;T6Z;T6B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B
10.04.2024;17:34;A 83;1;12;20;0;0;0;0;1;77;1;5;1;4;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:33;A 83;1;12;62;3;7;0;25;2;29;11;66;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:32;A 83;1;2;2;0;0;1;69;0;0;8;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:31;A 83;1;9;12;1;1;0;0;1;23;15;24;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:30;A 83;1;7;57;0;0;1;2;1;2;10;41;1;2;0;0;0;0;0;0;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:29;A 83;1;5;8;1;1;0;0;0;0;15;40;3;3;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:28;A 83;1;3;3;0;0;0;86;1;2;17;41;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:27;A 83;1;10;10;2;1;1;22;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:26;A 83;1;3;3;0;0;0;0;1;4;8;54;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:25;A 83;1;4;5;0;0;0;0;1;16;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:24;A 83;1;8;29;2;1;0;0;1;32;9;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:23;A 83;1;5;6;2;2;0;0;1;76;9;44;2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
