Datum;Uhrzeit;Bezeichnung;Intervall;D11_1Z;D11_1B;D11_2Z;D11_2B;V12Z;V12B;V22Z;V22B;V51Z;V51B;V52Z;V52B;V111Z;V111B;V121Z;V121B;V122Z;V122B;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;T4_sZ;T4_sB;T4_bZ;T4_bB;T5_sZ;T5_sB;T5_bZ;T5_bB;T7_sZ;T7_sB;T7_bZ;T7_bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB
25.01.2025;00:35;A141;1;0;24;0;0;0;0;1;4;1;5;1;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:34;A141;1;2;59;2;4;1;3;2;3;2;3;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:33;A141;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:32;A141;1;1;9;0;6;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:31;A141;1;4;48;2;54;2;14;0;0;1;5;1;7;1;5;1;4;0;0;0;0;0;0;0;0;0;0;4;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:30;A141;1;1;16;2;15;1;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:29;A141;1;0;0;0;0;0;0;1;3;0;0;3;9;1;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:28;A141;1;1;13;0;0;1;3;0;0;0;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:27;A141;1;0;0;0;0;0;0;3;16;1;3;2;12;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:26;A141;1;2;20;3;13;1;4;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:25;A141;1;1;33;1;1;0;0;0;0;1;10;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:24;A141;1;1;23;1;4;0;0;1;6;1;5;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:23;A141;1;0;0;0;0;0;0;2;19;1;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:22;A141;1;0;0;0;0;0;0;1;3;0;0;2;8;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:21;A141;1;1;27;1;1;0;0;0;0;0;0;1;5;0;0;2;5;0;0;0;0;0;0;0;0;0;0;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:20;A141;1;2;51;1;8;0;0;3;13;0;0;1;8;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:19;A141;1;2;36;2;3;0;0;2;6;0;0;3;18;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:18;A141;1;2;19;0;18;0;0;2;4;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:17;A141;1;1;21;2;20;0;0;1;6;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:16;A141;1;2;26;2;5;2;3;0;0;0;0;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:15;A141;1;1;0;0;0;0;0;1;7;1;5;0;0;1;5;2;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:14;A141;1;1;20;1;1;1;3;2;16;0;0;4;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:13;A141;1;1;19;1;2;2;4;1;7;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:12;A141;1;1;64;1;2;1;4;1;10;1;8;3;11;1;3;2;4;0;0;0;0;0;0;0;0;0;0;1;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:11;A141;1;3;33;3;5;1;5;1;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:10;A141;1;1;36;1;6;1;4;0;0;0;0;2;9;1;3;1;4;0;0;0;0;0;0;0;0;0;0;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:09;A141;1;0;0;0;0;0;0;2;10;1;5;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:08;A141;1;1;25;1;2;1;3;0;0;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:07;A141;1;1;1;1;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:06;A141;1;2;23;3;13;2;9;0;0;4;23;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;23;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
25.01.2025;00:05;A141;1;2;31;1;7;0;0;0;0;2;14;3;18;1;5;1;6;0;0;0;0;0;0;0;0;0;0;2;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:04;A141;1;6;44;5;21;3;13;1;4;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:03;A141;1;2;30;3;3;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:02;A141;1;1;43;2;7;1;0;3;10;1;5;1;11;2;11;1;8;0;0;0;0;0;0;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2025;00:01;A141;1;1;19;2;10;0;0;2;10;3;17;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
