Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D57Z;D57B;A5_M1_460Z;A5_M1_460B;A57_M2_464Z;A57_M2_464B;T7_8Z;T7_8B;D43Z;D43B
08.01.2025;00:56;A 10;1;0;0;0;0;0;0;0;0;1;25;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.01.2025;00:49;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.01.2025;00:36;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.01.2025;00:31;A 10;1;0;0;0;0;0;0;0;0;1;29;1;29;0;0;1;1;0;0;0;0;0;0;1;29;0;0;0;0;1;29;0;0
08.01.2025;00:20;A 10;1;2;6;0;0;0;0;0;0;1;44;1;44;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;44;0;0
08.01.2025;00:16;A 10;1;0;0;0;0;0;0;0;0;1;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0
08.01.2025;00:15;A 10;1;0;0;0;0;1;1;0;0;1;22;1;22;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;22;0;0
08.01.2025;00:13;A 10;1;0;0;0;0;0;0;0;0;1;41;1;40;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;40;0;0
08.01.2025;00:12;A 10;1;0;0;0;0;0;0;0;0;1;51;1;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;50;0;0
08.01.2025;00:07;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.01.2025;00:02;A 10;1;0;0;0;0;0;0;0;0;1;7;1;7;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;1;7;0;0
07.01.2025;23:57;A 10;1;0;0;0;0;0;0;0;0;1;27;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27;2;3
07.01.2025;23:54;A 10;1;0;0;1;1;0;0;0;0;1;36;1;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;36;0;0
07.01.2025;23:53;A 10;1;1;1;1;2;0;0;0;0;1;37;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;37;0;0
07.01.2025;23:51;A 10;1;0;0;0;0;0;0;0;0;1;11;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0
07.01.2025;23:50;A 10;1;2;5;3;3;1;1;0;0;1;18;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;2;2
07.01.2025;23:47;A 10;1;0;0;0;0;0;0;0;0;1;92;1;92;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;1;92;2;2
07.01.2025;23:45;A 10;1;4;7;0;0;0;0;0;0;0;100;0;100;1;1;0;0;1;1;1;14;0;0;0;0;0;0;0;0;0;100;0;0
07.01.2025;23:44;A 10;1;1;2;0;0;0;0;0;0;0;100;0;100;1;1;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;100;0;0
07.01.2025;23:43;A 10;1;1;2;0;0;0;0;0;0;0;100;0;100;2;3;1;1;0;0;2;2;0;0;0;0;0;0;0;0;0;100;2;3
07.01.2025;23:42;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;1;2;1;59;0;0;0;0;0;0;0;0;0;100;0;0
07.01.2025;23:41;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;2;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;100;3;5
07.01.2025;23:40;A 10;1;0;0;1;1;1;2;0;0;0;100;0;100;2;4;1;1;0;0;2;66;0;0;0;0;0;0;0;0;0;100;0;0
07.01.2025;23:39;A 10;1;0;0;2;4;1;2;0;0;0;100;0;100;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;100;1;2
07.01.2025;23:38;A 10;1;0;0;2;2;1;1;0;0;1;10;1;10;1;1;0;0;0;0;1;9;0;0;0;0;0;0;0;0;1;10;0;0
07.01.2025;23:37;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;43;0;0;0;0
07.01.2025;23:35;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;23:26;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;23:25;A 10;1;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;23:24;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;23:20;A 10;1;1;2;0;0;0;0;0;0;1;71;1;71;1;1;0;0;0;0;2;13;0;0;0;0;0;0;0;0;1;2;2;2
07.01.2025;23:17;A 10;1;0;0;1;1;0;0;0;0;1;21;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
07.01.2025;23:13;A 10;1;0;0;0;0;0;0;0;0;1;7;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;23:06;A 10;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;23:05;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;23:03;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;23:01;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:59;A 10;1;2;6;0;0;0;0;0;0;1;32;1;32;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
07.01.2025;22:58;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:57;A 10;1;0;0;0;0;1;2;1;0;0;0;0;0;1;1;0;0;1;2;1;1;1;1;0;0;1;2;0;0;0;0;0;0
07.01.2025;22:53;A 10;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:50;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:49;A 10;1;1;2;3;5;1;1;0;0;0;0;0;0;0;0;0;0;1;2;3;66;0;0;0;0;0;0;0;0;1;4;0;0
07.01.2025;22:48;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:44;A 10;1;1;1;2;2;0;0;0;0;1;3;1;3;2;2;1;2;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:43;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:26;A 10;1;0;0;0;0;0;0;0;0;1;20;1;20;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:23;A 10;1;0;0;1;1;0;0;0;0;1;74;1;73;0;0;2;4;1;2;3;32;0;0;0;0;0;0;0;0;0;0;3;5
07.01.2025;22:22;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:19;A 10;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:16;A 10;1;0;0;1;1;0;0;0;0;1;45;1;45;3;8;0;0;1;2;1;45;0;0;0;0;0;0;0;0;1;1;0;0
07.01.2025;22:04;A 10;1;0;0;0;0;0;0;0;0;1;31;1;30;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;22:03;A 10;1;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;21:57;A 10;1;1;2;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;21:55;A 10;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;21:53;A 10;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2025;21:51;A 10;1;1;2;1;1;1;1;0;0;1;16;1;15;1;1;0;0;1;3;1;15;0;0;0;0;0;0;0;0;1;2;0;0
07.01.2025;21:50;A 10;1;1;1;1;2;0;0;0;0;0;0;0;0;2;2;0;0;1;2;1;2;0;0;0;0;0;0;0;0;1;34;0;0
