Datum;Uhrzeit;Bezeichnung;Intervall;VD21Z;VD21B;V22Z;V22B;V51Z;V51B;V52Z;V52B;VD81Z;VD81B;VD82Z;VD82B;V83Z;V83B;V111Z;V111B;V112Z;V112B;TF32Z;TF32B;TBS32Z;TBS32B;TF35Z;TF35B;TBS35Z;TBS35B;TF38Z;TF38B;TBS38Z;TBS38B;TF41Z;TF41B;TBS41Z;TBS41B
26.10.2024;02:00;A 59;1;0;0;0;0;0;0;0;0;0;0;1;3;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
26.10.2024;01:59;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
26.10.2024;01:58;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;1;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;11;0;0
26.10.2024;01:57;A 59;1;0;0;0;0;0;0;0;0;0;0;2;8;1;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
26.10.2024;01:56;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
26.10.2024;01:55;A 59;1;0;0;0;0;0;0;1;1;0;0;0;7;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
26.10.2024;01:54;A 59;1;1;15;1;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:53;A 59;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:52;A 59;1;0;0;0;0;0;0;0;0;0;0;1;3;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
26.10.2024;01:51;A 59;1;0;0;0;0;0;0;1;16;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
26.10.2024;01:50;A 59;1;0;0;0;0;0;0;1;1;0;0;1;8;1;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
26.10.2024;01:49;A 59;1;1;15;1;9;0;0;0;0;0;0;1;0;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
26.10.2024;01:48;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:47;A 59;1;0;0;0;0;0;0;1;64;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;0;0
26.10.2024;01:46;A 59;1;1;69;1;7;0;0;0;100;0;0;1;11;3;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0
26.10.2024;01:45;A 59;1;0;0;0;0;0;0;2;17;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
