Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D28Z;D28B;D29Z;D29B;D70Z;D70B;H53-Bahn_M1_Z;H53-Bahn_M1_B;A53-Bahn_M2_Z;A53-Bahn_M2_B;H53-Bus_M3_Z;H53-Bus_M3_B;A53-Bus_M4_Z;A53-Bus_M4_B;STRAB_53dZ;STRAB_53dB;STRAB_57dZ;STRAB_57dB;Anf_32Z;Anf_32B;Anf_38Z;Anf_38B;FeuerwehrZ;FeuerwehrB
26.10.2024;02:00;A 12;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:59;A 12;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;6;1;6;0;0;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:58;A 12;1;0;0;1;0;0;0;0;0;0;0;2;2;1;1;0;0;1;1;1;51;0;0;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:57;A 12;1;1;1;1;1;2;4;1;0;0;0;1;2;0;0;0;0;2;3;2;64;2;1;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:56;A 12;1;1;2;0;0;1;59;0;44;0;0;0;0;0;0;0;0;2;3;2;63;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:55;A 12;1;1;1;1;1;0;0;1;29;1;3;3;4;1;1;0;0;0;0;1;21;1;1;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:54;A 12;1;2;2;0;0;0;0;0;0;0;0;6;9;2;2;1;2;0;0;0;0;2;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:53;A 12;1;2;4;2;2;0;0;0;0;0;0;1;3;1;1;0;0;0;0;0;0;2;2;2;2;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:52;A 12;1;2;1;2;1;0;0;1;72;1;71;1;0;0;0;1;1;0;0;0;0;1;1;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:51;A 12;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;1;1;0;0;1;34;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:50;A 12;1;0;0;0;0;0;0;2;33;28;17;1;1;1;1;0;0;1;1;1;1;3;3;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:49;A 12;1;3;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;5;1;1;2;2;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:48;A 12;1;1;2;1;1;1;1;1;6;3;44;2;1;1;1;1;54;1;2;0;0;1;1;2;2;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:47;A 12;1;0;0;1;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:46;A 12;1;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;4;3;3;3;0;0;1;1;0;100;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
26.10.2024;01:45;A 12;1;1;1;2;2;0;0;1;73;1;0;1;1;1;1;0;0;0;0;1;0;2;2;2;2;0;100;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
26.10.2024;01:44;A 12;1;1;1;1;1;1;1;0;0;0;0;3;4;1;2;0;0;1;0;0;75;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:43;A 12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;6;1;1;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:42;A 12;1;2;3;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:41;A 12;1;0;0;0;0;0;0;0;0;0;0;5;4;3;4;1;19;3;4;3;24;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
26.10.2024;01:40;A 12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;13;0;0;0;0;0;100;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.10.2024;01:39;A 12;1;0;0;0;0;0;0;1;2;1;26;3;3;2;3;0;0;0;0;1;15;0;0;2;2;0;100;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4
26.10.2024;01:38;A 12;1;1;1;0;0;0;0;0;0;1;59;0;0;1;1;0;0;1;1;1;5;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
