Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B
18.10.2024;02:00;A 29;1;0;0;0;0
18.10.2024;01:59;A 29;1;0;0;0;0
18.10.2024;01:58;A 29;1;0;0;0;0
18.10.2024;01:57;A 29;1;0;0;0;0
18.10.2024;01:56;A 29;1;0;0;0;0
18.10.2024;01:55;A 29;1;0;0;0;0
18.10.2024;01:54;A 29;1;0;0;0;0
18.10.2024;01:53;A 29;1;0;0;0;0
18.10.2024;01:52;A 29;1;0;0;0;0
18.10.2024;01:51;A 29;1;1;5;0;0
18.10.2024;01:50;A 29;1;0;0;0;0
18.10.2024;01:49;A 29;1;0;0;0;0
18.10.2024;01:48;A 29;1;0;0;0;0
18.10.2024;01:47;A 29;1;0;0;0;0
18.10.2024;01:46;A 29;1;0;0;0;0
18.10.2024;01:45;A 29;1;0;0;0;0
18.10.2024;01:44;A 29;1;0;0;1;10
18.10.2024;01:43;A 29;1;0;0;0;0
18.10.2024;01:42;A 29;1;0;0;0;0
18.10.2024;01:41;A 29;1;0;0;2;18
18.10.2024;01:40;A 29;1;0;0;1;5
18.10.2024;01:39;A 29;1;0;0;1;10
18.10.2024;01:38;A 29;1;0;0;0;0
18.10.2024;01:37;A 29;1;0;0;1;1
18.10.2024;01:36;A 29;1;0;0;0;0
18.10.2024;01:35;A 29;1;0;0;0;0
18.10.2024;01:34;A 29;1;0;0;1;29
18.10.2024;01:33;A 29;1;0;0;1;39
18.10.2024;01:32;A 29;1;0;0;1;6
18.10.2024;01:31;A 29;1;0;0;0;0
18.10.2024;01:30;A 29;1;0;0;0;0
18.10.2024;01:29;A 29;1;0;0;0;0
18.10.2024;01:28;A 29;1;0;0;0;4
18.10.2024;01:27;A 29;1;0;0;1;18
18.10.2024;01:26;A 29;1;0;0;0;0
18.10.2024;01:25;A 29;1;0;0;0;0
18.10.2024;01:24;A 29;1;0;0;0;0
18.10.2024;01:23;A 29;1;0;0;0;0
18.10.2024;01:22;A 29;1;0;0;0;0
18.10.2024;01:21;A 29;1;0;0;0;0
18.10.2024;01:20;A 29;1;0;3;2;34
18.10.2024;01:19;A 29;1;1;3;1;6
18.10.2024;01:18;A 29;1;0;0;0;0
18.10.2024;01:17;A 29;1;1;7;2;2
18.10.2024;01:16;A 29;1;0;0;0;0
18.10.2024;01:15;A 29;1;0;3;2;17
18.10.2024;01:14;A 29;1;1;30;0;0
18.10.2024;01:13;A 29;1;0;0;0;0
18.10.2024;01:12;A 29;1;0;0;0;0
18.10.2024;01:11;A 29;1;0;0;0;0
18.10.2024;01:10;A 29;1;0;0;0;4
18.10.2024;01:09;A 29;1;0;0;1;4
18.10.2024;01:08;A 29;1;0;0;1;25
18.10.2024;01:07;A 29;1;0;0;0;0
18.10.2024;01:06;A 29;1;1;21;0;0
18.10.2024;01:05;A 29;1;0;0;0;0
18.10.2024;01:04;A 29;1;0;2;0;0
18.10.2024;01:03;A 29;1;1;8;0;0
18.10.2024;01:02;A 29;1;0;0;0;0
18.10.2024;01:01;A 29;1;0;0;0;0
18.10.2024;01:00;A 29;1;0;0;0;4
18.10.2024;00:59;A 29;1;0;0;3;32
18.10.2024;00:58;A 29;1;0;0;0;0
18.10.2024;00:57;A 29;1;1;23;1;1
18.10.2024;00:56;A 29;1;0;0;2;11
18.10.2024;00:55;A 29;1;0;0;0;0
18.10.2024;00:54;A 29;1;0;0;1;6
18.10.2024;00:53;A 29;1;0;0;0;0
18.10.2024;00:52;A 29;1;0;0;0;0
18.10.2024;00:51;A 29;1;0;0;0;0
18.10.2024;00:50;A 29;1;0;0;1;4
18.10.2024;00:49;A 29;1;0;0;0;0
18.10.2024;00:48;A 29;1;0;0;1;16
18.10.2024;00:47;A 29;1;0;0;2;2
18.10.2024;00:46;A 29;1;0;0;0;0
18.10.2024;00:45;A 29;1;1;8;0;0
18.10.2024;00:44;A 29;1;1;6;1;5
18.10.2024;00:43;A 29;1;0;0;1;3
18.10.2024;00:42;A 29;1;0;0;1;25
18.10.2024;00:41;A 29;1;0;0;0;0
18.10.2024;00:40;A 29;1;2;10;1;1
18.10.2024;00:39;A 29;1;0;0;1;28
18.10.2024;00:38;A 29;1;0;0;1;10
18.10.2024;00:37;A 29;1;1;6;0;0
18.10.2024;00:36;A 29;1;0;0;0;0
18.10.2024;00:35;A 29;1;2;39;0;0
18.10.2024;00:34;A 29;1;1;1;0;0
18.10.2024;00:33;A 29;1;0;0;1;14
18.10.2024;00:32;A 29;1;0;0;1;11
18.10.2024;00:31;A 29;1;0;0;0;0
18.10.2024;00:30;A 29;1;0;0;0;0
18.10.2024;00:29;A 29;1;0;0;0;0
18.10.2024;00:28;A 29;1;0;0;0;0
18.10.2024;00:27;A 29;1;0;0;0;0
18.10.2024;00:26;A 29;1;0;0;0;0
18.10.2024;00:25;A 29;1;0;0;0;0
18.10.2024;00:24;A 29;1;0;0;1;5
18.10.2024;00:23;A 29;1;0;0;1;15
18.10.2024;00:22;A 29;1;0;0;0;0
18.10.2024;00:21;A 29;1;0;0;0;0
18.10.2024;00:20;A 29;1;0;16;0;0
18.10.2024;00:19;A 29;1;1;3;0;0
18.10.2024;00:18;A 29;1;0;0;0;0
18.10.2024;00:17;A 29;1;0;0;0;0
18.10.2024;00:16;A 29;1;2;8;1;6
18.10.2024;00:15;A 29;1;1;5;2;16
18.10.2024;00:14;A 29;1;1;8;1;18
18.10.2024;00:13;A 29;1;0;0;1;9
18.10.2024;00:12;A 29;1;0;0;0;13
18.10.2024;00:11;A 29;1;0;0;1;13
18.10.2024;00:10;A 29;1;0;0;1;6
18.10.2024;00:09;A 29;1;0;0;0;0
18.10.2024;00:08;A 29;1;0;0;0;0
18.10.2024;00:07;A 29;1;0;0;0;0
18.10.2024;00:06;A 29;1;0;0;0;0
18.10.2024;00:05;A 29;1;0;0;0;0
18.10.2024;00:04;A 29;1;0;0;1;39
18.10.2024;00:03;A 29;1;1;28;0;0
18.10.2024;00:02;A 29;1;1;4;0;0
