Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V21Z;V21B;V51Z;V51B;V81Z;V81B;V111Z;V111B;V321Z;V321B;T32aZ;T32aB;T32bZ;T32bB;T32b_aZ;T32b_aB;T32b_bZ;T32b_bB;T33b_aZ;T33b_aB;T33b_bZ;T33b_bB;ST51Z;ST51B;ST55Z;ST55B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB;V5_StoerZ;V5_StoerB
14.04.2024;00:09;A154;1;0;0;2;15;0;0;0;7;0;0;0;0;0;0;2;9;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;19:42;A154;1;0;0;4;27;0;0;2;22;0;0;0;0;1;1;5;35;1;3;3;22;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
13.04.2024;18:50;A154;1;0;0;2;23;1;0;2;54;0;0;0;0;0;0;3;22;0;0;2;28;0;0;0;0;1;2;0;0;0;0;0;0;1;1;0;0;0;0
13.04.2024;17:51;A154;1;1;3;1;6;1;5;2;9;0;0;0;0;0;0;2;31;0;0;4;48;3;5;3;5;3;9;3;9;0;0;1;3;0;0;1;0;0;0
13.04.2024;17:49;A154;1;0;0;2;9;0;0;3;27;0;0;0;0;0;0;3;34;0;0;2;24;1;2;1;1;1;3;1;2;0;0;2;17;0;0;0;0;0;0
13.04.2024;13:32;A154;1;1;4;4;27;1;5;3;24;0;0;0;0;1;3;1;27;1;4;1;28;0;0;0;0;0;0;0;0;0;0;2;6;0;0;1;1;0;0
13.04.2024;05:16;A154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;04:42;A154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;04:39;A154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;03:48;A154;1;0;0;1;3;0;0;1;3;0;0;0;0;0;0;2;10;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;03:29;A154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;03:24;A154;1;0;0;2;9;0;0;2;13;0;0;0;0;0;0;1;4;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
