Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D21Z;D21B;D31Z;D31B;D41Z;D41B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B
21.05.2024;02:00;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:59;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:58;A111;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
21.05.2024;01:57;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:56;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:55;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:54;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:53;A111;1;0;0;1;4;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:52;A111;1;1;0;0;6;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:51;A111;1;0;0;1;4;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:50;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:49;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:48;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:47;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:46;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:45;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:44;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:43;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:42;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:41;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:40;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:39;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:38;A111;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0
21.05.2024;01:37;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:36;A111;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:35;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:34;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:33;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:32;A111;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
21.05.2024;01:31;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:30;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:29;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:28;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:27;A111;1;2;4;1;1;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:26;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:25;A111;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:24;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:23;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:22;A111;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:21;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:20;A111;1;0;0;1;36;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:19;A111;1;0;0;1;15;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:18;A111;1;2;1;0;0;2;2;0;0;0;0;0;0;0;0
21.05.2024;01:17;A111;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0
21.05.2024;01:16;A111;1;0;0;1;17;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:15;A111;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:14;A111;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:13;A111;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:12;A111;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
21.05.2024;01:11;A111;1;0;0;2;42;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:10;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:09;A111;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;01:08;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:07;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:06;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:05;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:04;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:03;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:02;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;01:01;A111;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0
21.05.2024;01:00;A111;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:59;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:58;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:57;A111;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:56;A111;1;1;2;1;1;1;1;1;0;0;0;0;0;0;0
21.05.2024;00:55;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:54;A111;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0
21.05.2024;00:53;A111;1;1;2;0;0;1;6;0;0;0;0;0;0;1;3
21.05.2024;00:52;A111;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:51;A111;1;0;0;0;0;3;3;0;0;0;0;0;0;0;0
21.05.2024;00:50;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:49;A111;1;0;0;0;51;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:48;A111;1;0;0;1;0;2;2;0;0;0;0;0;0;0;0
21.05.2024;00:47;A111;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:46;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:45;A111;1;0;0;1;2;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:44;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:43;A111;1;0;0;0;0;3;5;0;0;0;0;0;0;0;0
21.05.2024;00:42;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:41;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:40;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:39;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:38;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:37;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:36;A111;1;1;1;1;2;2;3;0;0;0;0;0;0;0;0
21.05.2024;00:35;A111;1;0;0;0;54;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:34;A111;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:33;A111;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
21.05.2024;00:32;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:31;A111;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:30;A111;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0
21.05.2024;00:29;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:28;A111;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:27;A111;1;2;3;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:26;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:25;A111;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:24;A111;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0
21.05.2024;00:23;A111;1;1;2;2;28;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:22;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:21;A111;1;2;2;0;0;1;7;0;0;0;0;0;0;1;3
21.05.2024;00:20;A111;1;0;0;2;13;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:19;A111;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:18;A111;1;0;0;0;0;3;3;0;0;0;0;0;0;0;0
21.05.2024;00:17;A111;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:16;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:15;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:14;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:13;A111;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:12;A111;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:11;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:10;A111;1;0;0;1;7;1;1;0;0;0;0;1;3;0;0
21.05.2024;00:09;A111;1;1;1;0;0;2;2;0;0;1;3;0;0;0;0
21.05.2024;00:08;A111;1;0;0;1;34;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:07;A111;1;0;0;1;3;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:06;A111;1;2;2;1;3;2;3;0;0;0;0;0;0;0;0
21.05.2024;00:05;A111;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0
21.05.2024;00:04;A111;1;2;16;0;0;2;4;0;0;0;0;0;0;0;0
21.05.2024;00:03;A111;1;1;2;1;47;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:02;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.05.2024;00:01;A111;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
21.05.2024;00:00;A111;1;1;1;0;17;1;1;0;0;0;0;0;0;0;0
20.05.2024;23:59;A111;1;0;0;1;24;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:58;A111;1;0;0;1;43;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:57;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:56;A111;1;2;3;0;0;0;1;1;1;0;0;0;0;0;0
20.05.2024;23:55;A111;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0
20.05.2024;23:54;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:53;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:52;A111;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:51;A111;1;1;1;0;0;2;5;0;0;0;0;0;0;1;3
20.05.2024;23:50;A111;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:49;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
20.05.2024;23:48;A111;1;1;2;1;1;2;2;0;0;0;0;0;0;0;0
20.05.2024;23:47;A111;1;2;2;0;12;1;1;0;0;0;0;0;0;0;0
20.05.2024;23:46;A111;1;0;0;5;44;2;2;0;0;0;0;0;0;0;0
20.05.2024;23:45;A111;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:44;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:43;A111;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
20.05.2024;23:42;A111;1;0;0;3;42;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:41;A111;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0
20.05.2024;23:40;A111;1;1;1;0;0;2;3;0;0;0;0;0;0;0;0
20.05.2024;23:39;A111;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0
20.05.2024;23:38;A111;1;2;3;2;63;1;1;0;0;1;3;1;3;0;0
20.05.2024;23:37;A111;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0
20.05.2024;23:36;A111;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:35;A111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:34;A111;1;0;0;2;13;1;1;0;0;0;0;0;0;0;0
20.05.2024;23:33;A111;1;2;4;1;8;2;3;0;0;0;0;0;0;0;0
20.05.2024;23:32;A111;1;0;0;1;35;0;0;0;0;0;0;0;0;0;0
20.05.2024;23:31;A111;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0
