Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;Anf_35Z;Anf_35B;Anf_41Z;Anf_41B
18.05.2024;02:00;A 70;1;0;0;1;13;1;12;1;1;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:59;A 70;1;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:58;A 70;1;0;0;1;69;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:57;A 70;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:56;A 70;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:55;A 70;1;0;0;0;0;1;1;0;0;1;0;0;0;1;3;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:54;A 70;1;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:53;A 70;1;1;22;0;0;0;0;1;1;1;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:52;A 70;1;1;2;0;41;1;42;2;5;2;1;0;0;0;33;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:51;A 70;1;0;0;1;24;1;23;0;0;1;0;0;0;1;35;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:50;A 70;1;0;33;0;30;1;30;1;1;1;0;0;0;0;30;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:49;A 70;1;2;29;2;69;2;38;1;2;2;1;0;0;3;13;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:48;A 70;1;0;0;1;42;0;0;0;0;1;0;0;0;0;0;0;100;2;2;0;0;0;0;;;;;;;;;;
18.05.2024;01:47;A 70;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;100;0;32;0;0;0;0;;;;;;;;;;
18.05.2024;01:46;A 70;1;0;0;1;66;0;0;2;2;2;1;0;0;0;0;0;100;1;6;0;0;0;0;;;;;;;;;;
18.05.2024;01:45;A 70;1;0;0;0;0;0;56;1;1;2;1;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;01:44;A 70;1;0;0;0;0;1;18;1;1;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:43;A 70;1;0;0;0;0;1;53;1;1;3;1;0;0;0;0;0;100;2;2;0;0;0;0;;;;;;;;;;
18.05.2024;01:42;A 70;1;0;0;1;68;1;34;0;0;0;0;0;0;0;0;0;100;1;2;0;0;0;0;;;;;;;;;;
18.05.2024;01:41;A 70;1;1;2;0;0;0;0;4;8;5;8;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:40;A 70;1;0;0;1;9;2;82;2;6;1;1;0;0;1;5;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:39;A 70;1;1;64;0;0;2;3;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:38;A 70;1;0;0;0;21;0;0;2;4;0;0;0;0;3;5;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:37;A 70;1;0;0;2;26;1;6;1;2;2;2;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:36;A 70;1;0;0;3;4;3;5;1;1;2;1;0;0;1;7;0;100;0;0;1;2;1;2;;;;;;;;;;
18.05.2024;01:35;A 70;1;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:34;A 70;1;0;0;0;0;0;51;0;0;0;0;0;0;2;45;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:33;A 70;1;0;0;0;0;1;20;2;3;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:32;A 70;1;0;0;1;1;1;7;1;1;1;0;0;0;1;1;0;100;1;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:31;A 70;1;0;0;0;0;0;0;1;2;1;2;0;0;0;17;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:30;A 70;1;0;1;0;3;1;2;0;0;0;0;0;0;1;53;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;01:29;A 70;1;1;63;2;79;2;79;2;3;2;1;0;0;3;57;0;100;1;39;0;0;0;0;;;;;;;;;;
18.05.2024;01:28;A 70;1;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;100;1;36;0;0;0;0;;;;;;;;;;
18.05.2024;01:27;A 70;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:26;A 70;1;0;50;1;14;0;0;2;2;2;6;0;0;0;0;0;100;1;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:25;A 70;1;1;23;0;0;0;0;0;0;3;4;0;0;2;22;0;100;1;2;0;0;0;0;;;;;;;;;;
18.05.2024;01:24;A 70;1;0;23;0;0;0;0;3;5;3;1;0;0;4;42;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;01:23;A 70;1;1;50;0;0;0;0;1;1;1;1;0;0;1;44;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:22;A 70;1;0;0;0;49;0;0;3;5;2;2;0;0;0;0;0;100;1;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:21;A 70;1;0;0;2;44;1;8;2;2;0;0;0;0;0;0;0;100;1;2;0;0;1;2;;;;;;;;;;
18.05.2024;01:20;A 70;1;1;61;0;0;0;0;1;1;1;1;0;0;0;0;0;100;3;15;1;2;0;0;;;;;;;;;;
18.05.2024;01:19;A 70;1;0;2;0;0;1;1;1;1;1;1;0;0;1;1;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:18;A 70;1;1;72;0;0;0;0;1;1;1;0;0;0;1;1;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:17;A 70;1;0;0;0;0;0;0;2;2;4;2;0;0;1;70;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;01:16;A 70;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:15;A 70;1;0;0;0;59;0;56;0;0;1;0;0;0;0;0;0;100;3;3;0;0;0;0;;;;;;;;;;
18.05.2024;01:14;A 70;1;0;0;2;7;1;6;1;4;0;0;0;0;1;63;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:13;A 70;1;0;0;0;0;0;0;0;0;1;1;0;0;1;12;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;01:12;A 70;1;0;0;0;0;1;17;2;3;2;1;0;0;0;39;0;100;1;2;0;0;0;0;;;;;;;;;;
18.05.2024;01:11;A 70;1;0;0;0;0;0;0;2;2;1;1;0;0;1;30;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;01:10;A 70;1;0;0;1;3;1;1;1;1;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:09;A 70;1;0;0;1;2;2;2;1;1;1;0;0;0;2;6;0;100;1;67;0;0;0;0;;;;;;;;;;
18.05.2024;01:08;A 70;1;0;0;3;14;2;1;2;4;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:07;A 70;1;0;0;2;5;2;20;1;1;1;1;0;0;2;36;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;01:06;A 70;1;0;0;1;1;2;1;1;2;0;0;0;0;1;7;0;100;0;0;0;0;1;2;;;;;;;;;;
18.05.2024;01:05;A 70;1;0;0;0;0;0;0;1;1;2;1;0;0;1;3;0;100;2;1;1;2;0;0;;;;;;;;;;
18.05.2024;01:04;A 70;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;01:03;A 70;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:02;A 70;1;0;0;0;0;0;0;2;3;2;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;01:01;A 70;1;0;0;0;29;0;0;1;1;2;1;0;0;1;2;0;100;2;1;0;0;0;0;;;;;;;;;;
18.05.2024;01:00;A 70;1;0;0;1;42;0;0;1;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:59;A 70;1;0;0;1;79;1;34;0;0;0;0;0;0;1;61;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:58;A 70;1;0;0;2;73;1;1;0;0;1;1;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;00:57;A 70;1;0;0;0;0;1;0;2;2;1;1;0;0;1;31;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;00:56;A 70;1;0;0;0;0;3;3;1;2;0;0;0;0;1;4;0;100;0;69;0;0;0;0;;;;;;;;;;
18.05.2024;00:55;A 70;1;0;0;1;15;1;13;0;0;0;0;0;0;0;0;0;100;1;13;0;0;0;0;;;;;;;;;;
18.05.2024;00:54;A 70;1;1;1;0;0;0;0;2;3;1;1;0;0;0;0;0;100;1;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:53;A 70;1;0;0;2;7;2;7;0;0;2;2;0;0;1;4;0;100;2;4;0;0;0;0;;;;;;;;;;
18.05.2024;00:52;A 70;1;0;0;0;19;1;23;0;0;0;0;0;0;2;2;0;100;0;0;1;2;1;2;;;;;;;;;;
18.05.2024;00:51;A 70;1;0;0;1;51;0;0;0;0;1;0;0;0;0;0;0;100;2;1;0;0;0;0;;;;;;;;;;
18.05.2024;00:50;A 70;1;0;0;1;6;2;5;1;1;0;0;0;0;1;1;0;100;3;5;0;0;0;0;;;;;;;;;;
18.05.2024;00:49;A 70;1;0;3;1;68;1;63;0;0;1;1;0;0;1;1;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:48;A 70;1;1;13;1;38;1;1;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:47;A 70;1;0;0;0;0;0;0;3;3;4;2;0;0;0;45;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;00:46;A 70;1;0;0;0;0;0;0;1;2;2;1;0;0;1;24;0;100;1;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:45;A 70;1;0;30;1;15;1;1;4;4;1;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:44;A 70;1;1;42;0;0;1;1;4;22;2;24;0;0;0;0;0;100;2;3;0;0;0;0;;;;;;;;;;
18.05.2024;00:43;A 70;1;0;0;0;0;0;0;1;4;1;9;0;0;0;0;0;100;2;2;0;0;0;0;;;;;;;;;;
18.05.2024;00:42;A 70;1;0;0;2;40;0;0;2;5;2;1;0;0;1;58;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;00:41;A 70;1;0;0;1;1;2;2;2;3;3;2;0;0;4;19;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:40;A 70;1;0;0;1;1;3;20;1;1;1;1;0;0;1;4;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:39;A 70;1;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
18.05.2024;00:38;A 70;1;0;0;0;0;1;71;0;0;2;1;0;0;0;0;0;100;2;1;0;0;0;0;;;;;;;;;;
18.05.2024;00:37;A 70;1;0;0;1;5;1;4;0;0;0;0;0;0;0;0;0;100;0;0;1;2;1;2;;;;;;;;;;
18.05.2024;00:36;A 70;1;0;0;0;0;0;0;3;4;3;2;0;0;0;0;0;100;1;2;0;0;0;0;;;;;;;;;;
18.05.2024;00:35;A 70;1;0;0;0;0;0;57;4;4;3;2;0;0;0;0;0;100;2;3;0;0;0;0;;;;;;;;;;
18.05.2024;00:34;A 70;1;0;54;0;0;1;13;1;1;1;0;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
18.05.2024;00:33;A 70;1;1;16;1;1;2;1;0;0;2;1;0;0;2;25;0;100;2;7;0;0;0;0;;;;;;;;;;
