Datum;Uhrzeit;Bezeichnung;Intervall;D1Z;D1B;D2Z;D2B;D3Z;D3B;D4Z;D4B;D5Z;D5B;D6Z;D6B;D7Z;D7B;D8Z;D8B;D9Z;D9B;D10Z;D10B;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D15Z;D15B;D16Z;D16B;D17Z;D17B;D18Z;D18B;D19Z;D19B;D20Z;D20B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B
19.03.2025;01:00;A  6;1;0;100;0;100;0;0;1;1;-1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:59;A  6;1;0;100;0;100;0;0;0;0;125;59;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;100;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
19.03.2025;00:58;A  6;1;0;100;0;100;0;0;1;1;195;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:57;A  6;1;0;100;0;100;0;0;0;0;45;50;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1
19.03.2025;00:56;A  6;1;0;100;0;100;0;0;1;1;139;40;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:55;A  6;1;0;100;0;100;0;0;0;0;212;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:54;A  6;1;0;100;0;100;0;0;0;0;223;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:53;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:52;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:51;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1
19.03.2025;00:50;A  6;1;0;100;0;100;0;0;0;0;27;79;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:49;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:48;A  6;1;0;100;0;100;0;0;0;0;234;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:47;A  6;1;0;100;0;100;0;0;0;0;214;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:46;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;56;1;1;0;100;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
19.03.2025;00:45;A  6;1;0;100;0;100;1;1;0;0;40;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1;5;1;1;0;100;0;0;0;0;0;0;0;0;2;2;2;1;0;0;0;0
19.03.2025;00:44;A  6;1;0;100;0;100;0;0;1;1;143;41;1;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:43;A  6;1;0;100;0;100;0;0;0;0;197;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
19.03.2025;00:42;A  6;1;0;100;0;100;0;0;1;1;23;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;2;2;0;100;2;3;2;3;0;0;0;0;2;2;2;2;1;3;1;3
19.03.2025;00:41;A  6;1;0;100;0;100;0;0;1;1;-1;0;1;3;1;2;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:40;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
19.03.2025;00:39;A  6;1;0;100;0;100;0;0;1;1;-1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;100;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1
19.03.2025;00:38;A  6;1;0;100;0;100;0;0;1;1;39;85;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1
19.03.2025;00:37;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:36;A  6;1;0;100;0;100;0;0;0;0;178;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:35;A  6;1;0;100;0;100;0;0;0;0;23;67;1;1;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;100;2;2;2;2;0;0;0;0;0;0;0;0;2;1;1;1
19.03.2025;00:34;A  6;1;0;100;0;100;0;0;1;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:33;A  6;1;0;100;0;100;0;0;0;0;69;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:32;A  6;1;0;100;0;100;0;0;0;0;218;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:31;A  6;1;0;100;0;100;0;0;0;0;115;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
19.03.2025;00:30;A  6;1;0;100;0;100;0;0;1;0;89;37;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;100;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
19.03.2025;00:29;A  6;1;0;100;0;100;0;0;0;0;32;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:28;A  6;1;0;100;0;100;0;0;1;1;-1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1
19.03.2025;00:27;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;1;2;2;0;0;0;0;0;0;0;0;2;2;2;2
19.03.2025;00:26;A  6;1;0;100;0;100;0;0;2;1;83;35;1;2;1;1;1;0;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;100;4;3;3;3;0;0;0;0;0;0;0;0;3;3;3;3
19.03.2025;00:25;A  6;1;0;100;0;100;0;0;0;0;192;53;2;3;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1
19.03.2025;00:24;A  6;1;0;100;0;100;0;0;0;0;227;51;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
19.03.2025;00:23;A  6;1;0;100;0;100;0;0;0;0;166;43;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:22;A  6;1;0;100;0;100;0;0;0;0;116;42;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;0;0;2;1;2;1
19.03.2025;00:21;A  6;1;0;100;0;100;0;0;0;0;119;39;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:20;A  6;1;0;100;0;100;0;0;0;0;23;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;2;2;2;2;0;0;0;0;0;0;0;0;2;2;2;2
19.03.2025;00:19;A  6;1;0;100;0;100;0;0;3;2;-1;0;0;0;0;0;0;0;3;2;3;3;0;0;0;0;0;0;0;0;1;1;0;100;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1
19.03.2025;00:18;A  6;1;0;100;0;100;0;0;0;0;14;28;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;100;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
19.03.2025;00:17;A  6;1;0;100;0;100;0;0;2;1;242;80;0;0;0;0;0;0;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;100;3;3;3;3;0;0;0;0;0;0;0;0;2;2;2;2
19.03.2025;00:16;A  6;1;0;100;0;100;0;0;0;0;-1;0;2;3;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:15;A  6;1;0;100;0;100;0;0;1;1;19;51;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;100;2;2;2;2;0;0;0;0;0;0;0;0;2;2;2;2
19.03.2025;00:14;A  6;1;0;100;0;100;1;0;1;1;214;47;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;100;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1
19.03.2025;00:13;A  6;1;0;100;0;100;0;0;2;2;114;38;1;1;1;1;1;0;2;1;2;2;0;0;0;0;0;0;0;0;1;1;0;100;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
19.03.2025;00:12;A  6;1;0;100;0;100;0;0;0;0;177;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:11;A  6;1;0;100;0;100;0;0;1;1;26;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;100;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
19.03.2025;00:10;A  6;1;0;100;0;100;0;0;2;1;-1;0;0;0;1;1;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;100;2;2;4;2;0;0;0;0;0;0;0;0;2;2;2;2
19.03.2025;00:09;A  6;1;0;100;0;100;0;0;1;1;143;15;1;2;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1
19.03.2025;00:08;A  6;1;0;100;0;100;0;0;1;1;88;34;1;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;100;2;2;2;2;0;0;0;0;0;0;0;0;3;3;3;2
19.03.2025;00:07;A  6;1;0;100;0;100;0;0;2;1;94;36;0;0;0;0;0;0;2;1;2;2;0;0;0;0;0;0;0;0;1;1;0;100;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1
19.03.2025;00:06;A  6;1;0;100;0;100;0;0;1;1;216;50;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;2;2;0;100;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
19.03.2025;00:05;A  6;1;0;100;0;100;0;0;1;1;217;48;1;1;1;1;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;100;2;1;2;1;0;0;0;0;0;0;0;0;2;2;2;1
19.03.2025;00:04;A  6;1;0;100;0;100;0;0;1;1;78;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:03;A  6;1;0;100;0;100;0;0;0;0;157;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:02;A  6;1;0;100;0;100;0;0;0;0;30;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:01;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;00:00;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:59;A  6;1;0;100;0;100;0;0;1;0;215;100;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;100;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
18.03.2025;23:58;A  6;1;0;100;0;100;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
18.03.2025;23:57;A  6;1;0;100;0;100;0;0;0;0;10;27;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0
18.03.2025;23:56;A  6;1;0;100;0;100;0;0;1;1;-1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
